Imagine imagine
that that
you you
invented invent
a a
device device
that that
can can
record record
my my
memories memory
, ,
my my
dreams dream
, ,
my my
ideas idea
, ,
and and
transmit transmit
them them
to to
your your
brain brain
. .
That that
would would
be be
a a
game-changing game-changing
technology technology
, ,
right right
? ?
But but
in in
fact fact
, ,
we we
already already
possess possess
this this
device device
, ,
and and
it it
' '
s s
called call
human human
communication communication
system system
and and
effective effective
storytelling storytelling
. .
To to
understand understand
how how
this this
device device
works work
, ,
we we
have have
to to
look look
into into
our our
brains brain
. .
And and
we we
have have
to to
formulate formulate
the the
question question
in in
a a
slightly slightly
different different
manner manner
. .
Now now
we we
have have
to to
ask ask
how how
these these
neuron neuron
patterns pattern
in in
my my
brain brain
that that
are be
associated associate
with with
my my
memories memory
and and
ideas idea
are be
transmitted transmit
into into
your your
brains brain
. .
And and
we we
think think
there there
are be
two two
factors factor
that that
enable enable
us us
to to
communicate communicate
. .
First first
, ,
your your
brain brain
is be
now now
physically physically
coupled couple
to to
the the
sound sound
wave wave
that that
I i
' '
m m
transmitting transmit
to to
your your
brain brain
. .
And and
second second
, ,
we we
developed develop
a a
common common
neural neural
protocol protocol
that that
enabled enable
us us
to to
communicate communicate
. .
So so
how how
do do
we we
know know
that that
? ?
In in
my my
lab lab
in in
Princeton princeton
, ,
we we
bring bring
people people
to to
the the
fMRI fmri
scanner scanner
and and
we we
scan scan
their their
brains brain
while while
they they
are be
either either
telling tell
or or
listening listen
to to
real-life real-life
stories story
. .
And and
to to
give give
you you
a a
sense sense
of of
the the
stimulus stimulus
we we
are be
using use
, ,
let let
me me
play play
20 @card@
seconds second
from from
a a
story story
that that
we we
used use
, ,
told tell
by by
a a
very very
talented talented
storyteller storyteller
, ,
Jim jim
O o
' '
Grady grady
. .
Jim jim
O o
' '
Grady grady
: :
So so
I i
' '
m m
banging bang
out out
my my
story story
and and
I i
know know
it it
' '
s s
good good
, ,
and and
then then
I i
start start
to to
make make
it it
better good
— -
by by
adding add
an an
element element
of of
embellishment embellishment
. .
Reporters reporter
call call
this this
" "
making make
shit shit
up up
. .
" "
And and
they they
recommend recommend
against against
crossing cross
that that
line line
. .
But but
I i
had have
just just
seen see
the the
line line
crossed cross
between between
a a
high-powered high-powered
dean dean
and and
assault assault
with with
a a
pastry pastry
. .
And and
I i
kinda kinda
liked like
it it
. .
" "
Uri uri
Hasson hasson
: :
OK ok
, ,
so so
now now
let let
' '
s s
look look
into into
your your
brain brain
and and
see see
what what
' '
s s
happening happening
when when
you you
listen listen
to to
these these
kinds kind
of of
stories story
. .
And and
let let
' '
s s
start start
simple simple
— -
let let
' '
s s
start start
with with
one one
listener listener
and and
one one
brain brain
area area
: :
the the
auditory auditory
cortex cortex
that that
processes process
the the
sounds sound
that that
come come
from from
the the
ear ear
. .
And and
as as
you you
can can
see see
, ,
in in
this this
particular particular
brain brain
area area
, ,
the the
responses response
are be
going go
up up
and and
down down
as as
the the
story story
is be
unfolding unfold
. .
Now now
we we
can can
take take
these these
responses response
and and
compare compare
them them
to to
the the
responses response
in in
other other
listeners listener
in in
the the
same same
brain brain
area area
. .
And and
we we
can can
ask ask
: :
How how
similar similar
are be
the the
responses response
across across
all all
listeners listener
? ?
So so
here here
you you
can can
see see
five five
listeners listener
. .
And and
we we
start start
to to
scan scan
their their
brains brain
before before
the the
story story
starts start
, ,
when when
they they
' '
re re
simply simply
lying lie
in in
the the
dark dark
and and
waiting wait
for for
the the
story story
to to
begin begin
. .
As as
you you
can can
see see
, ,
the the
brain brain
area area
is be
going go
up up
and and
down down
in in
each each
one one
of of
them them
, ,
but but
the the
responses response
are be
very very
different different
, ,
and and
not not
in in
sync sync
. .
However however
, ,
immediately immediately
as as
the the
story story
is be
starting start
, ,
something something
amazing amazing
is be
happening happen
. .
JO jo
: :
So so
I i
' '
m m
banging bang
out out
my my
story story
and and
I i
know know
it it
' '
s s
good good
, ,
and and
then then
I i
start start
to to
make make
it it
— -
UH uh
: :
Suddenly suddenly
, ,
you you
can can
see see
that that
the the
responses response
in in
all all
of of
the the
subjects subject
lock lock
to to
the the
story story
, ,
and and
now now
they they
are be
going go
up up
and and
down down
in in
a a
very very
similar similar
way way
across across
all all
listeners listener
. .
And and
in in
fact fact
, ,
this this
is be
exactly exactly
what what
is be
happening happen
now now
in in
your your
brains brain
when when
you you
listen listen
to to
my my
sound sound
