One one
morning morning
, ,
in in
the the
year year
1957 @card@
, ,
the the
neurosurgeon neurosurgeon
Wilder wilder
Penfield penfield
saw see
himself himself
like like
this this
, ,
a a
weird weird
freak freak
with with
huge huge
hands hand
, ,
huge huge
mouth mouth
, ,
and and
a a
tiny tiny
bottom bottom
. .
Actually actually
this this
creature creature
is be
the the
result result
of of
the the
Penfield penfield
research research
. .
He he
named name
it it
homunculus homunculus
. .
Basically basically
the the
homunculus homunculus
is be
the the
visualization visualization
of of
a a
human human
being being
where where
each each
part part
of of
the the
body body
is be
proportional proportional
to to
the the
surface surface
it it
takes take
in in
the the
brain brain
. .
So so
, ,
of of
course course
, ,
homunculus homunculus
is be
definitely definitely
not not
a a
freak freak
. .
It it
' '
s s
you you
. .
It it
' '
s s
me me
. .
It it
' '
s s
our our
invisible invisible
reality reality
. .
This this
visualization visualization
could could
explain explain
, ,
for for
example example
, ,
why why
newborns newborn
, ,
or or
smokers smoker
, ,
put put
, ,
instinctively instinctively
, ,
their their
fingers finger
in in
the the
mouth mouth
. .
Unfortunately unfortunately
it it
doesn doesn
' '
t t
explain explain
why why
so so
many many
designers designer
remain remain
mainly mainly
interested interested
in in
designing design
chairs chair
. .
So so
anyway anyway
, ,
even even
if if
I i
do do
not not
understand understand
science science
entirely entirely
, ,
for for
my my
design design
I i
essentially essentially
refer refer
to to
it it
. .
I i
' '
m m
fascinated fascinate
by by
its its
ability ability
to to
deeply deeply
investigate investigate
the the
human human
being be
, ,
its its
way way
of of
working work
, ,
its its
way way
of of
feeling feeling
. .
And and
it it
really really
helps help
me me
to to
understand understand
how how
we we
see see
, ,
how how
we we
hear hear
, ,
how how
we we
breathe breathe
, ,
how how
our our
brain brain
can can
inform inform
or or
mislead mislead
us us
. .
It it
' '
s s
a a
great great
tool tool
for for
me me
to to
understand understand
what what
could could
be be
our our
real real
needs need
. .
Marketing marketing
people people
have have
never never
been be
able able
to to
do do
that that
. .
Marketing marketing
reduces reduce
things thing
. .
Marketing marketing
simplifies simplify
. .
Marketing marketing
creates create
user user
groups group
. .
And and
scientists scientist
, ,
amidst amidst
complexity complexity
, ,
amidst amidst
fluctuation fluctuation
and and
uniqueness uniqueness
. .
What what
could could
be be
our our
real real
needs need
? ?
Maybe maybe
the the
silence silence
. .
In in
our our
daily daily
life life
we we
are be
continuously continuously
disturbed disturb
by by
aggressive aggressive
sounds sound
. .
And and
you you
know know
all all
those those
kind kind
of of
sound sound
puts put
us us
in in
a a
kind kind
of of
stressful stressful
state state
, ,
and and
prevent prevent
us us
from from
being be
quiet quiet
and and
focused focus
. .
So so
I i
wanted want
to to
create create
a a
kind kind
of of
sound sound
filter filter
, ,
able able
to to
preserve preserve
ourselves ourselves
from from
noise noise
pollution pollution
. .
But but
I i
didn didn
' '
t t
want want
it it
to to
make make
it it
by by
isolating isolating
people people
, ,
without without
any any
earmuffs earmuff
or or
those those
kind kind
of of
things thing
. .
Or or
neither neither
with with
including include
complex complex
technology technology
. .
I i
just just
wanted want
to to
, ,
using use
the the
complexity complexity
and and
the the
technology technology
of of
the the
brain brain
, ,
of of
the the
human human
brain brain
. .
So so
I i
worked work
with with
white white
noise noise
. .
dB db
is be
basically basically
— -
dB db
is be
the the
name name
of of
the the
product product
, ,
basically basically
a a
white white
noise noise
diffuser diffuser
. .
This this
is be
white white
noise noise
. .
The the
white white
noise noise
is be
the the
sum sum
of of
all all
frequencies frequency
that that
are be
audible audible
by by
the the
human human
being being
, ,
brought bring
to to
the the
same same
intensity intensity
. .
And and
this this
noise noise
is be
like like
a a
" "
shhhhhhhhhhhhh shhhhhhhhhhhhh
, ,
" "
like like
that that
. .
And and
this this
noise noise
is be
the the
most most
neutral neutral
. .
It it
is be
the the
perfect perfect
sound sound
for for
our our
ears ear
and and
our our
brain brain
. .
So so
when when
you you
hear hear
this this
sound sound
you you
feel feel
like like
a a
kind kind
of of
shelter shelter
, ,
preserved preserve
from from
noise noise
pollution pollution
. .
And and
when when
you you
hear hear
the the
white white
noise noise
, ,
your your
brain brain
is be
immediately immediately
focused focus
on on
it it
. .
And and
do do
not not
be be
disturbed disturb
any any
more more
by by
the the
other other
aggressive aggressive
sound sound
. .
It it
seems seem
to to
be be
magic magic
. .
But but
it it
is be
just just
physiology physiology
. .
It it
' '
s s
just just
in in
your your
brain brain
. .
And and
in in
mine mine
, ,
I i
hope hope
. .
So so
in in
order order
to to
make make
this this
white white
noise noise
a a
little little
bit bit
active active
and and
reactive reactive
, ,
I i
create create
a a
ball ball
, ,
a a
rolling rolling
ball ball
able able
to to
analyze analyze
and and
find find
where where
does do
aggressive aggressive
sound sound
come come
from from
, ,
and and
roll roll
, ,
at at
home home
or or
at at
work work
, ,
towards towards
aggressive aggressive
noise noise
, ,
and and
emits emit
white white
noise noise
in in
order order
to to
neutralize neutralize
it it
. .
It it
works work
. .
You you
feel feel
the the
effect effect
of of
the the
white white
noise noise
? ?
It it
' '
s s
too too
in in
silence silence
. .
If if
you you
make make
some some
noise noise
you you
can can
feel feel
the the
effect effect
. .
So so
even even
if if
this this
object object
, ,
even even
if if
this this
product product
includes include
some some
technology technology
, ,
it it
includes include
some some
speakers speaker
, ,
it it
includes include
some some
microphones microphone
and and
some some
electronic electronic
devices device
, ,
this this
object object
is be
not not
a a
very very
smart smart
object object
. .
And and
I i
don don
' '
t t
want want
to to
make make
a a
very very
smart smart
object object
. .
I i
don don
' '
t t
want want
to to
create create
a a
perfect perfect
object object
like like
a a
perfect perfect
robot robot
. .
I i
want want
to to
create create
an an
object object
like like
you you
and and
me me
. .
So so
, ,
definitely definitely
not not
perfect perfect
. .
So so
imagine imagine
, ,
for for
instance instance
, ,
you you
are be
at at
home home
. .
A a
loving loving
dispute dispute
with with
your your
girl girl
or or
boyfriend boyfriend
. .
You you
shout shout
. .
You you
say say
, ,
" "
Blah blah
blah blah
blah blah
, ,
Blah blah
blah blah
blah blah
. .
Who who
is be
this this
guy guy
? ?
" "
And and
dB db
will will
probably probably
roll roll
toward toward
you you
. .
And and
turning turn
around around
you you
is be
" "
shhhhhhh shhhhhhh
, ,
" "
like like
that that
. .
Definitely definitely
not not
perfect perfect
. .
So so
you you
would would
probably probably
shut shut
it it
, ,
at at
this this
point point
. .
Anyway anyway
, ,
in in
this this
same same
kind kind
of of
approach approach
, ,
I i
designed design
K k
. .
K k
is be
a a
daylight daylight
receiver receiver
transmitter transmitter
. .
So so
this this
object object
is be
supposed suppose
to to
be be
displayed display
on on
your your
desk desk
, ,
or or
on on
your your
piano piano
, ,
where where
you you
are be
supposed suppose
to to
spend spend
most most
of of
your your
time time
in in
the the
day day
. .
And and
this this
object object
will will
be be
able able
to to
know know
exactly exactly
the the
quantity quantity
of of
light light
you you
receive receive
during during
the the
day day
, ,
and and
able able
to to
give give
you you
the the
quantity quantity
of of
light light
you you
need need
. .
This this
object object
is be
completely completely
covered cover
by by
fiber fiber
opticals optical
. .
And and
the the
idea idea
of of
those those
fiber fiber
opticals optical
is be
to to
inform inform
the the
object object
, ,
for for
sure sure
, ,
but but
creates create
the the
idea idea
of of
an an
eye eye
sensibility sensibility
of of
the the
object object
. .
I i
want want
, ,
by by
this this
design design
feel feel
, ,
when when
you you
see see
it it
, ,
you you
see see
, ,
instinctively instinctively
, ,
this this
object object
seems seem
to to
be be
very very
sensitive sensitive
, ,
very very
reactive reactive
. .
And and
this this
object object
knows know
, ,
better good
than than
you you
and and
probably probably
before before
you you
, ,
what what
you you
really really
need need
. .
You you
have have
to to
know know
that that
the the
lack lack
of of
daylight daylight
can can
provoke provoke
some some
problem problem
of of
energy energy
, ,
or or
problem problem
of of
libido libido
. .
So so
, ,
a a
huge huge
problem problem
. .
Most most
of of
the the
projects project
I i
work work
on on
— -
I i
live live
in in
collaboration collaboration
with with
scientists scientist
. .
I i
' '
m m
just just
a a
designer designer
. .
So so
I i
need need
them them
. .
So so
there there
can can
be be
some some
biologists biologist
, ,
psychiatrists psychiatrist
, ,
mathematicians mathematician
, ,
and and
so so
on on
. .
And and
I i
submit submit
them them
, ,
my my
intuitions intuition
, ,
my my
hypothesis hypothesis
, ,
my my
first first
ideas idea
. .
And and
they they
react react
. .
They they
told tell
me me
what what
is be
possible possible
, ,
what what
is be
impossible impossible
. .
And and
together together
we we
improve improve
the the
original original
concept concept
. .
And and
we we
build build
the the
project project
to to
the the
end end
. .
And and
this this
kind kind
of of
relationship relationship
between between
designer designer
and and
scientist scientist
started start
when when
I i
was be
at at
school school
. .
Indeed indeed
in in
my my
studies study
I i
was be
a a
guinea guinea
pig pig
for for
a a
pharmaceutical pharmaceutical
industry industry
. .
And and
the the
irony irony
for for
me me
was be
of of
course course
, ,
I i
didn didn
' '
t t
do do
that that
for for
the the
sake sake
of of
science science
progress progress
. .
I i
just just
do do
that that
