Let let
' '
s s
talk talk
about about
thrift thrift
. .
Thrift thrift
is be
a a
concept concept
where where
you you
reduce reduce
, ,
reuse reuse
and and
recycle recycle
, ,
but but
yet yet
with with
an an
economic economic
aspect aspect
I i
think think
has have
a a
real real
potential potential
for for
change change
. .
My my
grandmother grandmother
, ,
she she
knew know
about about
thrift thrift
. .
This this
is be
her her
string string
jar jar
. .
She she
never never
bought buy
any any
string string
. .
Basically basically
, ,
she she
would would
collect collect
string string
. .
It it
would would
come come
from from
the the
butcher butcher
' '
s s
, ,
it it
would would
come come
from from
presents present
. .
She she
would would
put put
it it
in in
the the
jar jar
and and
then then
use use
it it
when when
it it
was be
needed need
. .
When when
it it
was be
finished finish
, ,
whether whether
it it
was be
tying tie
up up
the the
roses rose
or or
a a
part part
of of
my my
bike bike
, ,
once once
finished finish
with with
that that
, ,
it it
' '
d d
go go
back back
into into
the the
jar jar
. .
This this
is be
a a
perfect perfect
idea idea
of of
thrift thrift
; ;
you you
use use
what what
you you
need need
, ,
you you
don don
' '
t t
actually actually
purchase purchase
anything anything
, ,
so so
you you
save save
money money
. .
Kids kid
also also
inherently inherently
know know
this this
idea idea
. .
When when
you you
want want
to to
throw throw
out out
a a
cardboard cardboard
box box
, ,
the the
average average
kid kid
will will
say say
, ,
" "
Don don
' '
t t
! !
I i
want want
to to
use use
it it
for for
a a
robot robot
head head
or or
for for
a a
canoe canoe
to to
paddle paddle
down down
a a
river river
. .
" "
They they
understand understand
the the
value value
of of
the the
second second
life life
of of
products product
. .
So so
, ,
I i
think think
thrift thrift
is be
a a
perfect perfect
counterpoint counterpoint
to to
the the
current current
age age
which which
we we
live live
in in
. .
All all
of of
our our
current current
products product
are be
replaceable replaceable
. .
When when
we we
get get
that that
bright bright
, ,
new new
, ,
shiny shiny
toy toy
, ,
it it
' '
s s
because because
, ,
basically basically
, ,
we we
got get
rid rid
of of
the the
old old
one one
. .
The the
idea idea
of of
that that
is be
, ,
of of
course course
, ,
it it
' '
s s
great great
in in
the the
moment moment
, ,
but but
the the
challenge challenge
is be
, ,
as as
we we
keep keep
doing do
this this
, ,
we we
' '
re re
going go
to to
cause cause
a a
problem problem
. .
That that
problem problem
is be
that that
there there
is be
really really
no no
way way
. .
When when
you you
throw throw
something something
away away
, ,
it it
typically typically
goes go
into into
a a
landfill landfill
. .
Now now
, ,
a a
landfill landfill
is be
basically basically
something something
which which
is be
not not
going go
to to
go go
away away
, ,
and and
it it
' '
s s
increasing increase
. .
At at
the the
moment moment
, ,
we we
have have
about about
1 @card@
. .
3 @card@
billion billion
tons ton
of of
material material
every every
year year
going go
into into
landfills landfill
. .
By by
2100 @card@
, ,
it it
' '
s s
going go
to to
be be
about about
four four
billion billion
tons ton
. .
See see
, ,
instead instead
, ,
I i
' '
d d
prefer prefer
if if
we we
started start
thrifting thrifting
. .
What what
that that
means mean
is be
, ,
we we
consider consider
materials material
when when
they they
go go
into into
products product
and and
also also
when when
they they
get get
used use
