Most most
of of
you you
can can
probably probably
relate relate
to to
what what
I i
' '
m m
feeling feeling
right right
now now
. .
My my
heart heart
is be
racing race
in in
my my
chest chest
. .
My my
palms palm
are be
a a
little little
bit bit
clammy clammy
. .
I i
' '
m m
sweating sweat
. .
And and
my my
breath breath
is be
a a
little little
bit bit
shallow shallow
. .
Now now
, ,
these these
familiar familiar
sensations sensation
are be
obviously obviously
the the
result result
of of
standing stand
up up
in in
front front
of of
a a
thousand thousand
of of
you you
and and
giving give
a a
talk talk
that that
might might
be be
streamed stream
online online
to to
perhaps perhaps
a a
million million
more more
. .
But but
the the
physical physical
sensations sensation
I i
' '
m m
experiencing experience
right right
now now
are be
actually actually
the the
result result
of of
a a
much much
more more
basic basic
mind- mind-
body body
mechanism mechanism
. .
My my
nervous nervous
system system
is be
sending send
a a
flood flood
of of
hormones hormone
like like
cortisol cortisol
and and
adrenaline adrenaline
into into
my my
bloodstream bloodstream
. .
It it
' '
s s
a a
very very
old old
and and
very very
necessary necessary
response response
that that
sends send
blood blood
and and
oxygen oxygen
to to
the the
organs organ
and and
muscles muscle
that that
I i
might might
need need
to to
respond respond
quickly quickly
to to
a a
potential potential
threat threat
. .
But but
there there
' '
s s
a a
problem problem
with with
this this
response response
, ,
and and
that that
is be
, ,
it it
can can
get get
over- over-
activated activate
. .
If if
I i
face face
these these
kinds kind
of of
stressors stressors
on on
a a
daily daily
basis basis
, ,
particularly particularly
over over
an an
extended extended
period period
of of
time time
, ,
my my
system system
can can
get get
overloaded overload
. .
So so
basically basically
, ,
if if
this this
response response
happens happen
infrequently infrequently
: :
super-necessary super-necessary
for for
my my
well-being well-being
and and
survival survival
. .
But but
if if
it it
happens happen
too too
much much
, ,
it it
can can
actually actually
make make
me me
sick sick
. .
There there
' '
s s
a a
growing grow
body body
of of
research research
examining examine
the the
relationship relationship
between between
chronic chronic
stress stress
and and
illness illness
. .
Things thing
like like
heart heart
disease disease
and and
even even
cancer cancer
are be
being be
shown show
to to
have have
a a
relationship relationship
to to
stress stress
. .
And and
that that
' '
s s
because because
, ,
over over
time time
, ,
too too
much much
activation activation
from from
stress stress
can can
interfere interfere
with with
my my
body body
' '
s s
processes process
that that
keep keep
me me
healthy healthy
. .
Now now
, ,
let let
' '
s s
imagine imagine
for for
a a
moment moment
that that
I i
was be
pregnant pregnant
. .
What what
might might
this this
kind kind
of of
stress stress
, ,
particularly particularly
over over
the the
length length
of of
my my
pregnancy pregnancy
, ,
what what
kind kind
of of
impact impact
might might
that that
have have
on on
the the
health health
of of
my my
developing develop
fetus fetus
? ?
You you
probably probably
won win
' '
t t
be be
surprised surprise
when when
I i
tell tell
you you
that that
this this
kind kind
of of
stress stress
during during
pregnancy pregnancy
is be
not not
good good
. .
It it
can can
even even
cause cause
the the
body body
to to
initiate initiate
labor labor
too too
early early
, ,
because because
in in
a a
basic basic
sense sense
, ,
the the
stress stress
communicates communicate
that that
the the
womb womb
is be
no no
longer long
a a
safe safe
place place
for for
the the
child child
. .
Stress stress
during during
pregnancy pregnancy
is be
linked link
with with
things thing
like like
high high
blood blood
pressure pressure
and and
low low
infant infant
birth birth
weight weight
, ,
and and
it it
can can
begin begin
a a
cascade cascade
of of
health health
challenges challenge
that that
make make
birth birth
much much
more more
dangerous dangerous
for for
both both
parent parent
and and
child child
. .
Now now
of of
course course
stress stress
, ,
particularly particularly
in in
our our
modern modern
lifestyle lifestyle
, ,
is be
a a
somewhat somewhat
universal universal
experience experience
, ,
right right
? ?
Maybe maybe
you you
' '
ve ve
never never
stood stand
up up
to to
give give
a a
TED ted
Talk talk
, ,
but but
you you
' '
ve ve
faced face
a a
big big
presentation presentation
at at
work work
, ,
a a
sudden sudden
job job
loss loss
, ,
a a
big big
test test
, ,
a a
heated heated
conflict conflict
with with
a a
family family
member member
or or
friend friend
. .
But but
it it
turns turn
out out
that that
the the
kind kind
of of
stress stress
we we
experience experience
and and
whether whether
we we
' '
re re
able able
to to
stay stay
in in
a a
relaxed relax
state state
long long
enough enough
to to
keep keep
our our
bodies body
working work
properly properly
depends depend
a a
lot lot
on on
who who
we we
are be
. .
There there
' '
s s
also also
a a
growing grow
body body
of of
research research
showing show
that that
people people
who who
experience experience
more more
discrimination discrimination
are be
more more
likely likely
to to
have have
poor poor
health health
