Tiq tiq
Milan milan
: :
Our our
first first
conversation conversation
was be
on on
Facebook facebook
, ,
and and
it it
was be
three three
days day
long long
. .
We we
shared share
over over
3 @card@
, ,
000 @card@
messages message
between between
us us
, ,
and and
it it
was be
during during
those those
72 @card@
hours hour
that that
I i
knew know
she she
was be
going go
to to
be be
my my
wife wife
. .
We we
didn didn
' '
t t
wait wait
any any
prerequisite prerequisite
amount amount
of of
time time
for for
our our
courtship courtship
; ;
we we
told tell
each each
other other
the the
vulnerable vulnerable
truths truth
up up
front front
: :
I i
am be
a a
transgender transgender
man man
, ,
which which
means mean
the the
F f
on on
my my
birth birth
certificate certificate
should should
have have
stood stand
for for
" "
False false
, ,
" "
instead instead
of of
" "
Female female
. .
" "
Walking walk
around around
as as
a a
woman woman
in in
the the
world world
felt feel
like like
walking walk
with with
pebbles pebble
in in
my my
shoes shoe
. .
It it
took take
the the
rhythm rhythm
out out
of of
my my
swagger swagger
, ,
it it
threw throw
me me
off off
balance balance
, ,
it it
pained pain
me me
with with
every every
step step
I i
took take
forward forward
. .
But but
today today
I i
' '
m m
a a
man man
of of
my my
own own
intention intention
; ;
a a
man man
of of
my my
own own
design design
. .
Kim kim
Katrin katrin
Milan milan
: :
I i
am be
a a
cisgender cisgender
queer queer
woman woman
. .
Cisgender cisgender
means mean
the the
gender gender
I i
was be
assigned assign
at at
birth birth
is be
still still
and and
has have
always always
been be
female female
. .
This this
doesn doesn
' '
t t
make make
me me
natural natural
or or
normal normal
, ,
this this
is be
just just
one one
way way
of of
describing describe
the the
many many
different different
ways way
that that
we we
exist exist
in in
this this
world world
. .
And and
queer queer
is be
a a
cultural cultural
term term
, ,
but but
in in
this this
case case
, ,
it it
refers refer
to to
the the
way way
that that
I i
' '
m m
not not
restricted restrict
by by
gender gender
when when
it it
comes come
to to
choosing choose
partners partner
. .
I i
' '
ve ve
identified identify
in in
a a
few few
different different
ways way
— -
as as
a a
bisexual bisexual
, ,
as as
a a
lesbian lesbian
— -
but but
for for
me me
, ,
queerness queerness
encompasses encompass
all all
of of
the the
layers layer
of of
who who
I i
am be
and and
how how
I i
' '
ve ve
loved love
. .
I i
' '
m m
layers layer
, ,
and and
not not
fractions fraction
. .
And and
for for
me me
, ,
the the
fact fact
that that
he he
was be
queer queer
meant mean
that that
I i
could could
trust trust
his his
courtship courtship
from from
the the
very very
beginning beginning
. .
As as
