Chris chris
Anderson anderson
: :
Elon elon
, ,
hey hey
, ,
welcome welcome
back back
to to
TED ted
. .
It it
' '
s s
great great
to to
have have
you you
here here
. .
Elon elon
Musk musk
: :
Thanks thanks
for for
having have
me me
. .
CA ca
: :
So so
, ,
in in
the the
next next
half half
hour hour
or or
so so
, ,
we we
' '
re re
going go
to to
spend spend
some some
time time
exploring explore
your your
vision vision
for for
what what
an an
exciting exciting
future future
might might
look look
like like
, ,
which which
I i
guess guess
makes make
the the
first first
question question
a a
little little
ironic ironic
: :
Why why
are be
you you
boring bore
? ?
EM em
: :
Yeah yeah
. .
I i
ask ask
myself myself
that that
frequently frequently
. .
We we
' '
re re
trying try
to to
dig dig
a a
hole hole
under under
LA la
, ,
and and
this this
is be
to to
create create
the the
beginning beginning
of of
what what
will will
hopefully hopefully
be be
a a
3D 3d
network network
of of
tunnels tunnel
to to
alleviate alleviate
congestion congestion
. .
So so
right right
now now
, ,
one one
of of
the the
most most
soul-destroying soul-destroying
things thing
is be
traffic traffic
. .
It it
affects affect
people people
in in
every every
part part
of of
the the
world world
. .
It it
takes take
away away
so so
much much
of of
your your
life life
. .
It it
' '
s s
horrible horrible
. .
It it
' '
s s
particularly particularly
horrible horrible
in in
LA la
. .
CA ca
: :
I i
think think
you you
' '
ve ve
brought bring
with with
you you
the the
first first
visualization visualization
that that
' '
s s
been be
shown show
of of
this this
. .
Can can
I i
show show
this this
? ?
EM em
: :
Yeah yeah
, ,
absolutely absolutely
. .
So so
this this
is be
the the
first first
time time
— -
Just just
to to
show show
what what
we we
' '
re re
talking talk
about about
. .
So so
a a
couple couple
of of
key key
things thing
that that
are be
important important
in in
having have
a a
3D 3d
tunnel tunnel
network network
. .
First first
of of
all all
, ,
you you
have have
to to
be be
able able
to to
integrate integrate
the the
entrance entrance
and and
exit exit
of of
the the
tunnel tunnel
seamlessly seamlessly
into into
the the
fabric fabric
of of
the the
city city
. .
So so
by by
having have
an an
elevator elevator
, ,
sort sort
of of
a a
car car
skate skate
, ,
that that
' '
s s
on on
an an
elevator elevator
, ,
you you
can can
integrate integrate
the the
entrance entrance
and and
exits exit
to to
the the
tunnel tunnel
network network
just just
by by
using use
two two
parking parking
spaces space
. .
And and
then then
the the
car car
gets get
on on
a a
skate skate
. .
There there
' '
