Interestingly interestingly
, ,
Charles charles
Darwin darwin
was be
born bear
a a
very very
lightly lightly
pigmented pigmented
man man
, ,
in in
a a
moderately-to-darkly moderately-to-darkly
pigmented pigmented
world world
. .
Over over
the the
course course
of of
his his
life life
, ,
Darwin darwin
had have
great great
privilege privilege
. .
He he
lived live
in in
a a
fairly fairly
wealthy wealthy
home home
. .
He he
was be
raised raise
by by
very very
supportive supportive
and and
interested interested
parents parent
. .
And and
when when
he he
was be
in in
his his
20s 20s
he he
embarked embark
upon upon
a a
remarkable remarkable
voyage voyage
on on
the the
ship ship
the the
Beagle beagle
. .
And and
during during
the the
course course
of of
that that
voyage voyage
, ,
he he
saw see
remarkable remarkable
things thing
: :
tremendous tremendous
diversity diversity
of of
plants plant
and and
animals animal
, ,
and and
humans human
. .
And and
the the
observations observation
that that
he he
made make
on on
that that
epic epic
journey journey
were be
to to
be be
eventually eventually
distilled distil
into into
his his
wonderful wonderful
book book
, ,
" "
On on
the the
Origin origin
of of
Species species
, ,
" "
published publish
150 @card@
years year
ago ago
. .
Now now
what what
is be
so so
interesting interesting
and and
to to
some some
, ,
the the
extent extent
, ,
what what
' '
s s
a a
bit bit
infamous infamous
about about
" "
The the
Origin origin
of of
Species species
, ,
" "
is be
that that
there there
is be
only only
one one
line line
in in
it it
about about
human human
evolution evolution
. .
" "
Light light
will will
be be
thrown throw
on on
the the
origin origin
of of
man man
and and
his his
history history
. .
" "
It it
wasn wasn
' '
t t
until until
much much
longer long
, ,
much much
later later
, ,
that that
Darwin darwin
actually actually
spoke speak
and and
wrote write
about about
humans human
. .
Now now
in in
his his
years year
of of
traveling travel
on on
the the
Beagle beagle
, ,
and and
from from
listening listen
to to
the the
accounts account
or or
explorers explorer
and and
naturalists naturalist
, ,
he he
knew know
that that
skin skin
color color
was be
one one
of of
the the
most most
important important
ways way
in in
which which
people people
varied vary
. .
And and
he he
was be
somewhat somewhat
interested interested
in in
the the
pattern pattern
of of
skin skin
color color
. .
He he
knew know
that that
darkly darkly
pigmented pigmented
peoples people
were be
found find
close close
to to
the the
equator equator
; ;
lightly lightly
pigmented pigmented
peoples people
, ,
like like
himself himself
, ,
were be
found find
closer closer
to to
the the
poles pole
. .
So so
what what
did do
he he
make make
of of
all all
this this
? ?
Well well
he he
didn didn
' '
t t
write write
anything anything
about about
it it
in in
The the
Origin origin
of of
Species species
. .
But but
much much
later later
, ,
in in
1871 @card@
, ,
he he
did do
have have
something something
to to
say say
about about
it it
. .
And and
it it
was be
quite quite
curious curious
. .
He he
said say
, ,
" "
Of of
all all
the the
differences difference
between between
the the
races race
of of
men man
, ,
the the
color color
of of
the the
skin skin
is be
the the
most most
conspicuous conspicuous
and and
one one
of of
the the
best well
marked marked
. .
" "
And and
he he
went go
on on
to to
say say
, ,
" "
These these
differences difference
do do
not not
coincide coincide
with with
corresponding corresponding
differences difference
in in
climate climate
. .
" "
So so
he he
had have
traveled travel
all all
around around
. .
He he
had have
seen see
people people
of of
different different
colors color
living live
in in
different different
places place
. .
And and
yet yet
he he
rejected reject
the the
idea idea
that that
human human
skin skin
pigmentation pigmentation
was be
related relate
to to
the the
climate climate
. .
If if
only only
Darwin darwin
lived live
today today
. .
If if
only only
Darwin darwin
had have
NASA nasa
. .
Now now
, ,
one one
of of
the the
wonderful wonderful
things thing
that that
NASA nasa
does do
is be
it it
puts put
up up
a a
variety variety
of of
satellites satellite
that that
detect detect
all all
sort sort
of of
interesting interesting
things thing
about about
our our
environment environment
. .
And and
for for
many many
decades decade
now now
there there
have have
been be
a a
series series
of of
TOMS tom
satellites satellite
that that
have have
collected collect
data datum
about about
the the
radiation radiation
of of
the the
Earth earth
' '
s s
surface surface
. .
The the
TOMS tom
7 @card@
satellite satellite
data datum
, ,
shown show
here here
, ,
show show
the the
annual annual
average average
ultraviolet ultraviolet
radiation radiation
at at
the the
Earth earth
' '
s s
surface surface
. .
Now now
the the
really really
hot hot
pink pink
and and
red red
areas area
are be
those those
parts part
of of
the the
world world
that that
receive receive
the the
highest high
amounts amount
of of
UV uv
during during
the the
year year
. .
The the
incrementally incrementally
cooler cool
colors color
— -
blues blue
, ,
greens green
, ,
yellows yellow
, ,
and and
finally finally
grays gray
— -
indicate indicate
areas area
of of
much much
lower low
ultraviolet ultraviolet
radiation radiation
. .
What what
' '
s s
significant significant
to to
the the
story story
of of
human human
skin skin
pigmentation pigmentation
is be
just just
how how
much much
of of
the the
Northern northern
Hemisphere hemisphere
is be
in in
these these
cool cool
gray gray
zones zone
. .
This this
has have
tremendous tremendous
implications implication
for for
our our
understanding understanding
of of
the the
evolution evolution
of of
human human
skin skin
pigmentation pigmentation
. .
And and
what what
Darwin darwin
could could
not not
appreciate appreciate
, ,
or or
didn didn
' '
t t
perhaps perhaps
want want
to to
appreciate appreciate
at at
the the
time time
, ,
is be
that that
there there
was be
a a
fundamental fundamental
relationship relationship
between between
the the
intensity intensity
of of
ultraviolet ultraviolet
radiation radiation
and and
skin skin
pigmentation pigmentation
. .
And and
that that
skin skin
pigmentation pigmentation
itself itself
was be
a a
product product
of of
evolution evolution
. .
And and
so so
when when
we we
look look
at at
a a
map map
of of
skin skin
color color
, ,
and and
predicted predict
skin skin
color color
, ,
as as
we we
know know
it it
today today
, ,
what what
we we
see see
is be
a a
beautiful beautiful
gradient gradient
from from
the the
darkest dark
skin skin
pigmentations pigmentation
toward toward
the the
equator equator
, ,
and and
the the
lightest light
ones one
toward toward
the the
poles pole
. .
What what
' '
s s
very very
, ,
very very
important important
here here
is be
that that
the the
earliest early
humans human
evolved evolve
in in
high-UV high-uv
environments environment
, ,
in in
equatorial equatorial
Africa africa
. .
The the
earliest early
members member
of of
our our
lineage lineage
, ,
the the
genus genus
Homo homo
, ,
were be
darkly darkly
pigmented pigmented
. .
And and
we we
all all
share share
this this
incredible incredible
heritage heritage
of of
having have
originally originally
been be
darkly darkly
pigmented pigmented
, ,
two two
million million
to to
one one
and and
half half
million million
years year
ago ago
. .
Now now
what what
happened happen
in in
our our
history history
? ?
Let let
' '
s s
first first
look look
at at
the the
relationship relationship
of of
ultraviolet ultraviolet
radiation radiation
to to
the the
Earth earth
' '
s s
surface surface
. .
In in
those those
early early
days day
of of
our our
evolution evolution
, ,
looking look
at at
the the
equator equator
, ,
we we
were be
bombarded bombard
by by
high high
levels level
of of
ultraviolet ultraviolet
radiation radiation
. .
The the
UVC uvc
, ,
the the
most most
energetic energetic
type type
, ,
was be
occluded occlude
by by
the the
Earth earth
' '
s s
atmosphere atmosphere
. .
But but
UVB uvb
and and
UVA uva
especially especially
, ,
came come
in in
unimpeded unimpeded
. .
UVB uvb
turns turn
out out
to to
be be
incredibly incredibly
important important
. .
It it
' '
s s
very very
destructive destructive
, ,
but but
it it
also also
catalyzes catalyze
the the
production production
of of
vitamin vitamin
D d
in in
the the
skin skin
, ,
vitamin vitamin
D d
being be
a a
molecule molecule
that that
we we
very very
much much
need need
for for
our our
strong strong
bones bone
, ,
the the
health health
of of
our our
immune immune
system system
, ,
and and
myriad myriad
other other
important important
functions function
in in
our our
bodies body
. .
So so
, ,
living live
at at
the the
equator equator
, ,
we we
got get
lots lot
and and
lots lot
of of
ultraviolet ultraviolet
radiation radiation
and and
the the
melanin melanin
— -
this this
wonderful wonderful
, ,
complex complex
, ,
ancient ancient
polymer polymer
compound compound
in in
our our
skin skin
— -
served serve
as as
a a
superb superb
natural natural
sunscreen sunscreen
. .
This this
polymer polymer
is be
amazing amazing
because because
it it
' '
s s
present present
in in
so so
many many
different different
organisms organism
. .
Melanin melanin
, ,
in in
various various
forms form
, ,
has have
probably probably
been be
on on
the the
Earth earth
a a
billion billion
years year
, ,
and and
has have
been be
recruited recruit
over over
and and
over over
again again
by by
evolution evolution
, ,
as as
often often
happens happen
. .
Why why
change change
it it
if if
it it
works work
? ?
So so
melanin melanin
was be
recruited recruit
, ,
in in
our our
lineage lineage
, ,
and and
specifically specifically
in in
our our
earliest early
ancestors ancestor
evolving evolve
in in
Africa africa
, ,
to to
be be
a a
natural natural
sunscreen sunscreen
. .
Where where
it it
protected protect
the the
body body
against against
the the
degradations degradation
of of
ultraviolet ultraviolet
radiation radiation
, ,
the the
destruction destruction
, ,
or or
damage damage
to to
DNA dna
, ,
and and
the the
breakdown breakdown
of of
a a
very very
important important
molecule molecule
called call
folate folate
, ,
which which
helps help
to to
fuel fuel
cell cell
production production
, ,
and and
reproduction reproduction
in in
the the
body body
. .
So so
, ,
it it
' '
s s
wonderful wonderful
. .
We we
evolved evolve
this this
very very
protective protective
, ,
wonderful wonderful
covering covering
of of
melanin melanin
. .
But but
then then
we we
moved move
. .
And and
humans human
dispersed disperse
— -
not not
once once
, ,
but but
twice twice
. .
Major major
moves move
, ,
outside outside
of of
our our
equatorial equatorial
homeland homeland
, ,
from from
Africa africa
into into
other other
parts part
of of
the the
Old old
World world
, ,
and and
most most
recently recently
, ,
into into
the the
New new
World world
. .
When when
humans human
dispersed disperse
into into
these these
latitudes latitude
, ,
what what
did do
they they
face face
? ?
Conditions condition
were be
significantly significantly
colder cold
, ,
but but
they they
were be
also also
less less
intense intense
with with
respect respect
to to
the the
ultraviolet ultraviolet
regime regime
. .
So so
if if
we we
' '
re re
somewhere somewhere
in in
the the
Northern northern
Hemisphere hemisphere
, ,
look look
at at
what what
' '
s s
happening happen
to to
the the
ultraviolet ultraviolet
radiation radiation
. .
We we
' '
re re
still still
getting get
a a
dose dose
of of
UVA uva
. .
But but
all all
of of
the the
UVB uvb
, ,
or or
nearly nearly
all all
of of
it it
, ,
is be
dissipated dissipate
through through
the the
thickness thickness
of of
the the
atmosphere atmosphere
. .
In in
the the
winter winter
, ,
when when
you you
are be
skiing ski
in in
the the
Alps alp
, ,
you you
may may
experience experience
ultraviolet ultraviolet
radiation radiation
. .
But but
it it
' '
s s
all all
UVA uva
, ,
and and
, ,
significantly significantly
, ,
that that
UVA uva
has have
no no
ability ability
to to
make make
vitamin vitamin
D d
in in
your your
skin skin
. .
So so
people people
inhabiting inhabit
northern northern
hemispheric hemispheric
environments environment
were be
bereft bereave
of of
the the
potential potential
to to
make make
vitamin vitamin
D d
in in
their their
skin skin
for for
most most
of of
the the
year year
. .
This this
had have
tremendous tremendous
consequences consequence
for for
the the
evolution evolution
of of
human human
skin skin
pigmentation pigmentation
. .
Because because
what what
happened happen
, ,
in in
order order
to to
ensure ensure
health health
and and
well-being well-being
, ,
these these
lineages lineage
of of
people people
dispersing disperse
into into
the the
Northern northern
Hemisphere hemisphere
lost lose
their their
pigmentation pigmentation
. .
There there
was be
natural natural
selection selection
for for
the the
evolution evolution
of of
lightly lightly
pigmented pigmented
skin skin
. .
Here here
we we
begin begin
to to
see see
the the
evolution evolution
of of
the the
beautiful beautiful
sepia sepia
rainbow rainbow
that that
now now
characterizes characterize
all all
of of
humanity humanity
. .
Lightly lightly
pigmented pigmented
skin skin
evolved evolve
not not
just just
once once
, ,
not not
just just
twice twice
, ,
but but
probably probably
three three
times time
. .
Not not
just just
in in
modern modern
humans human
, ,
but but
in in
one one
of of
our our
distant distant
unrelated unrelated
ancestors ancestor
, ,
the the
Neanderthals neanderthal
. .
A a
remarkable remarkable
, ,
remarkable remarkable
testament testament
to to
the the
power power
of of
evolution evolution
. .
Humans human
have have
been be
on on
the the
move move
for for
a a
long long
time time
. .
And and
just just
in in
the the
last last
5 @card@
, ,
000 @card@
years year
, ,
in in
increasing increase
rates rate
, ,
over over
increasing increase
distances distance
. .
Here here
are be
just just
some some
of of
the the
biggest big
movements movement
of of
people people
, ,
voluntary voluntary
movements movement
, ,
in in
the the
last last
5 @card@
, ,
000 @card@
years year
. .
Look look
at at
some some
of of
the the
major major
latitudinal latitudinal
transgressions transgression
: :
people people
from from
high high
UV uv
areas area
going go
to to
low low
UV uv
and and
vice vice
versa versa
. .
And and
not not
all all
these these
moves move
were be
voluntary voluntary
. .
Between between
1520 @card@
and and
1867 @card@
, ,
12 @card@
million million
, ,
500 @card@
people people
were be
moved move
from from
high high
UV uv
to to
low low
UV uv
areas area
in in
the the
transatlantic transatlantic
slave slave
trade trade
. .
Now now
this this
had have
all all
sorts sort
of of
invidious invidious
social social
consequences consequence
. .
But but
it it
also also
had have
deleterious deleterious
health health
consequences consequence
to to
people people
. .
So so
what what
? ?
We we
' '
ve ve
been be
on on
the the
move move
. .
We we
' '
re re
so so
clever clever
we we
can can
overcome overcome
all all
of of
these these
seeming seeming
biological biological
impediments impediment
. .
Well well
, ,
often often
we we
' '
re re
unaware unaware
of of
the the
fact fact
that that
we we
' '
re re
living living
in in
environments environment
in in
which which
our our
skin skin
is be
inherently inherently
poorly poorly
adapted adapt
. .
Some some
of of
us us
with with
lightly lightly
pigmented pigmented
skin skin
live live
in in
high-UV high-uv
areas area
. .
Some some
of of
us us
with with
darkly darkly
pigmented pigmented
skin skin
live live
in in
low-UV low-uv
areas area
. .
These these
have have
tremendous tremendous
consequences consequence
for for
our our
health health
. .
We we
have have
to to
, ,
if if
we we
' '
re re
lightly lightly
pigmented pigmented
, ,
be be
careful careful
about about
the the
problems problem
of of
skin skin
cancer cancer
, ,
and and
destruction destruction
of of
folate folate
in in
our our
bodies body
, ,
by by
lots lot
of of
sun sun
. .
Epidemiologists epidemiologist
and and
doctors doctor
have have
been be
very very
good good
about about
telling tell
us us
about about
