Hey hey
, ,
we we
' '
re re
Leifer leifer
' '
s s
, ,
it it
' '
s s
Adam adam
, ,
we we
' '
re re
getting get
close close
to to
the the
premiere premiere
of of
Season season
four four
of of
our our
show show
, ,
but but
today today
I i
' '
ve ve
got get
another another
conversation conversation
for for
you you
from from
our our
taken take
for for
granted granted
series series
of of
unscripted unscripted
interviews interview
about about
rethinking rethink
assumptions assumption
this this
year year
and and
last last
. .
Many many
of of
us us
have have
been be
forced force
to to
communicate communicate
with with
our our
closest close
colleagues colleague
and and
friends friend
from from
a a
distance distance
, ,
and and
that that
skill skill
is be
not not
uniquely uniquely
human human
. .
Whoa whoa
, ,
whoa whoa
, ,
whoa whoa
, ,
whoa whoa
, ,
whoa whoa
. .
Oh oh
, ,
this this
is be
the the
distance distance
greeting greeting
. .
And and
that that
simply simply
means mean
this this
is be
me me
going go
. .
Yep yep
. .
This this
is be
Jane jane
Goodall goodall
, ,
legendary legendary
ethologist ethologist
, ,
an an
expert expert
on on
primate primate
behavior behavior
. .
Jane jane
greeted greet
us us
from from
her her
home home
in in
the the
U u
. .
K k
. .
over over
Zoome zoome
. .
It it
' '
s s
an an
unnatural unnatural
habitat habitat
for for
a a
person person
who who
usually usually
spends spend
most most
of of
her her
time time
outdoors outdoors
. .
More more
than than
60 @card@
years year
ago ago
, ,
Jane jane
started start
her her
career career
studying study
chimpanzees chimpanzee
in in
Tanzania tanzania
, ,
along along
with with
anthropologist anthropologist
Lewis lewis
Leakey leakey
. .
She she
famously famously
immersed immerse
herself herself
with with
wild wild
chimps chimp
and and
made make
groundbreaking groundbreaking
discoveries discovery
about about
how how
primates primate
behave behave
and and
communicate communicate
. .
It it
turns turn
out out
that that
we we
have have
a a
lot lot
more more
in in
common common
with with
apes ape
than than
we we
realize realize
. .
And and
by by
observing observe
their their
actions action
and and
interactions interaction
, ,
I i
think think
we we
can can
learn learn
a a
lot lot
about about
leadership leadership
, ,
status status
and and
culture culture
among among
humans human
. .
I i
' '
m m
Adam adam
Grant grant
and and
this this
is be
taken take
for for
granted grant
by by
podcast podcast
with with
the the
TED ted
Audio audio
Collective collective
. .
I i
' '
m m
an an
organizational organizational
psychologist psychologist
. .
My my
job job
is be
to to
think think
again again
about about
how how
we we
work work
, ,
lead lead
and and
live live
. .
So so
I i
guess guess
the the
place place
to to
start start
is be
can can
you you
tell tell
me me
a a
little little
bit bit
about about
where where
you you
are be
right right
now now
and and
what what
it it
' '
s s
like like
to to
be be
working work
from from
home home
instead instead
of of
in in
the the
wild wild
? ?
Well well
, ,
first first
of of
all all
, ,
I i
was be
very very
lucky lucky
to to
be be
caught catch
and and
grounded ground
in in
my my
home home
. .
This this
is be
the the
house house
where where
I i
grew grow
up up
, ,
although although
this this
is be
the the
longest long
I i
' '
ve ve
been be
here here
in in
one one
place place
since since
the the
age age
of of
, ,
well well
, ,
18 @card@
, ,
I i
think think
. .
Wow wow
. .
You you
know know
, ,
here here
I i
have have
all all
my my
work work
, ,
all all
my my
books book
behind behind
me me
. .
If if
you you
could could
see see
this this
, ,
the the
books book
I i
read read
as as
a a
child child
outside outside
the the
window window
of of
the the
trees tree
that that
I i
climbed climb
when when
I i
was be
a a
child child
and and
you you
asked ask
about about
how how
I i
was be
coping cope
and and
what what
it it
was be
like like
working work
from from
home home
. .
Well well
, ,
to to
be be
honest honest
, ,
I i
' '
ve ve
never never
worked work
so so
hard hard
in in
my my
life life
as as
in in
the the
last last
four four
months month
. .
I i
mean mean
, ,
it it
' '
s s
just just
been be
nonstop nonstop
video video
messaging message
. .
Do do
you you
do do
virtual virtual
calls call
with with
chimps chimp
as as
well well
? ?
I i
don don
' '
t t
speak speak
to to
the the
chimps chimp
. .
No no
, ,
I i
wasn wasn
' '
t t
sure sure
. .
So so
it it
' '
s s
really really
interesting interesting
that that
you you
' '
ve ve
you you
' '
ve ve
never never
worked work
this this
hard hard
before before
. .
Does do
that that
mean mean
you you
' '
re re
you you
' '
re re
adapting adapt
well well
to to
remote remote
work work
and and
being be
sort sort
of of
in in
one one
place place
in in
an an
office office
? ?
Well well
, ,
it it
' '
s s
not not
an an
office office
. .
It it
' '
s s
up up
in in
my my
room room
. .
It it
' '
s s
a a
little little
area area
and and
it it
' '
s s
very very
small small
. .
And and
so so
my my
my my
little little
studio studio
is be
sitting sit
on on
a a
very very
hard hard
stool stool
. .
But but
, ,
you you
know know
, ,
I i
' '
m m
happy happy
. .
What what
I i
miss miss
, ,
I i
mean mean
, ,
I i
was be
travelling travel
300 @card@
days day
a a
year year
around around
the the
world world
, ,
and and
you you
would would
think think
that that
was be
