Bruno bruno
Giussani giussani
: :
We we
are be
at at
the the
end end
of of
day day
six six
of of
the the
war war
in in
Ukraine ukraine
or or
, ,
more more
correctly correctly
, ,
of of
the the
Russian russian
invasion invasion
of of
Ukraine ukraine
, ,
launched launch
on on
February february
24 @card@
by by
President president
Vladimir vladimir
Putin putin
. .
We we
are be
all all
shocked shock
and and
saddened sadden
by by
the the
events event
and and
by by
the the
human human
suffering suffering
they they
are be
causing cause
. .
And and
as as
we we
speak speak
, ,
really really
, ,
a a
Russian russian
military military
convoy convoy
is be
headed head
towards towards
Kyiv kyiv
, ,
other other
Ukrainian ukrainian
cities city
are be
being be
bombarded bombard
, ,
half half
a a
million million
Ukrainians ukrainians
have have
already already
fled flee
to to
neighboring neighboring
countries country
and and
much much
more more
. .
It it
' '
s s
still still
early early
days day
, ,
and and
it it
' '
s s
difficult difficult
to to
predict predict
how how
the the
situation situation
will will
evolve evolve
even even
just just
in in
the the
next next
few few
hours hour
. .
But but
this this
is be
a a
war war
that that
should should
concern concern
everyone everyone
, ,
everywhere everywhere
. .
And and
so so
today today
, ,
in in
this this
TED ted
Membership membership
conversation conversation
, ,
we we
want want
to to
try try
to to
give give
it it
a a
broader broad
context context
with with
our our
guest guest
, ,
historian historian
and and
author author
, ,
Yuval yuval
Noah noah
Harari harari
. .
Yuval yuval
, ,
welcome welcome
. .
Yuval yuval
Noah noah
Harari harari
: :
Hello hello
. .
Thank thank
you you
for for
inviting invite
me me
. .
BG bg
: :
I i
want want
to to
start start
from from
Ukraine ukraine
itself itself
and and
its its
42 @card@
million million
people people
and and
its its
particular particular
place place
between between
the the
East east
and and
the the
West west
. .
What what
do do
we we
need need
to to
know know
about about
Ukraine ukraine
to to
understand understand
this this
war war
and and
what what
' '
s s
at at
stake stake
? ?
YNH ynh
: :
The the
most most
crucial crucial
thing thing
to to
know know
is be
that that
Ukrainians ukrainians
are be
not not
Russians russian
, ,
and and
that that
Ukraine ukraine
is be
an an
ancient ancient
, ,
independent independent
nation nation
. .
Ukraine ukraine
has have
a a
history history
of of
more more
than than
a a
thousand thousand
years year
. .
Kyiv kyiv
was be
a a
major major
metropolis metropolis
and and
cultural cultural
center center
when when
Moscow moscow
was be
not not
even even
a a
village village
. .
For for
most most
of of
these these
thousand thousand
years year
Kyiv kyiv
was be
not not
ruled rule
by by
Moscow moscow
. .
They they
were be
not not
part part
of of
the the
same same
political political
entity entity
. .
For for
centuries century
, ,
Kyiv kyiv
was be
looking look
westwards westward
and and
was be
a a
part part
of of
a a
union union
with with
Lithuania lithuania
and and
Poland poland
until until
it it
was be
eventually eventually
conquered conquer
and and
absorbed absorb
by by
the the
Russian russian
Empire empire
, ,
by by
the the
czarist czarist
empire empire
. .
But but
even even
after after
that that
, ,
Ukrainians ukrainians
remained remain
a a
separate separate
people people
to to
a a
large large
extent extent
, ,
and and
it it
' '
s s
important important
to to
know know
that that
because because
this this
is be
really really
what what
is be
at at
stake stake
in in
this this
war war
. .
The the
key key
issue issue
of of
the the
war war
, ,
at at
least least
for for
President president
Putin putin
, ,
is be
whether whether
Ukraine ukraine
is be
an an
independent independent
nation nation
, ,
whether whether
it it
is be
a a
nation nation
at at
all all
. .
He he
has have
this this
fantasy fantasy
that that
Ukraine ukraine
isn isn
' '
t t
a a
nation nation
, ,
that that
Ukraine ukraine
is be
just just
a a
part part
of of
Russia russia
, ,
that that
Ukrainians ukrainians
are be
Russians russian
. .
In in
his his
fantasy fantasy
, ,
Ukrainians ukrainians
are be
Russians russian
that that
want want
to to
be be
back back
in in
the the
fold fold
of of
Mother mother
Russia russia
, ,
and and
that that
the the
only only
ones one
preventing prevent
it it
is be
a a
very very
small small
gang gang
at at
the the
top top
, ,
which which
he he
portrays portray
as as
Nazis nazi
, ,
even even
if if
the the
president president
is be
Jewish jewish
; ;
but but
OK ok
, ,
a a
Nazi nazi
Jew jew
. .
And and
his his
belief belief
was be
, ,
at at
least least
, ,
that that
he he
just just
needs need
to to
invade invade
, ,
Zelenskyy zelenskyy
will will
flee flee
, ,
the the
government government
will will
collapse collapse
, ,
the the
army army
would would
lay lay
down down
its its
arms arm
, ,
and and
the the
Ukrainian ukrainian
people people
would would
welcome welcome
the the
Russian russian
liberators liberator
, ,
throwing throw
flowers flower
on on
them them
. .
And and
this this
fantasy fantasy
has have
been be
shattered shatter
already already
. .
Zelenskyy zelenskyy
hasn hasn
' '
t t
fled flee
, ,
the the
Ukrainian ukrainian
army army
is be
fighting fight
. .
And and
the the
Ukrainian ukrainian
people people
is be
not not
throwing throw
flowers flower
on on
the the
Russian russian
tanks tank
, ,
it it
' '
s s
throwing throw
Molotov molotov
cocktails cocktail
. .
BG bg
: :
So so
let let
' '
s s
unpack unpack
that that
and and
maybe maybe
take take
the the
different different
pieces piece
one one
way way
one one
. .
So so
Ukraine ukraine
has have
a a
long long
history history
of of
being be
dominated dominate
and and
occupied occupy
. .
You you
mentioned mention
the the
czar czar
, ,
but but
also also
the the
Soviet soviet
Union union
, ,
Hitler hitler
' '
s s
armies army
. .
It it
also also
has have
a a
long long
history history
of of
mistrust mistrust
of of
authority authority
and and
of of
resistance resistance
, ,
which which
goes go
some some
way way
to to
explain explain
the the
current current
strong strong
resistance resistance
that that
the the
Russians russians
are be
encountering encounter
. .
Anne anne
Applebaum applebaum
, ,
the the
journalist journalist
, ,
even even
suggests suggest
that that
this this
mistrust mistrust
, ,
this this
resistance resistance
to to
authority authority
, ,
is be
the the
very very
essence essence
of of
Ukraine-ness ukraine-ness
, ,
do do
you you
agree agree
? ?
YNH ynh
: :
We we
did do
see see
in in
the the
last last
30 @card@
years year
Ukrainians ukrainians
twice twice
rising rise
in in
revolt revolt
when when
there there
was be
a a
danger danger
of of
an an
authoritarian authoritarian
regime regime
being be
established establish
-- --
once once
in in
2004 @card@
, ,
once once
in in
2013 @card@
. .
And and
when when
I i
was be
in in
Kyiv kyiv
a a
few few
years year
ago ago
, ,
what what
really really
struck strike
me me
was be
this this
very very
strong strong
feeling feeling
of of
the the
desire desire
for for
independence independence
and and
for for
democracy democracy
. .
And and
I i
remember remember
walking walk
around around
this this
museum museum
of of
the the
Revolution revolution
of of
2013-2014 @card@
and and
seeing see
these these
images image
, ,
like like
these these
two two
elderly elderly
women woman
who who
were be
bringing bring
