Chris chris
Anderson anderson
: :
Joia joia
, ,
both both
you you
and and
Partners partners
In in
Health health
have have
spent spend
decades decade
in in
various various
battlegrounds battleground
, ,
battling battle
epidemics epidemic
. .
Perhaps perhaps
, ,
for for
context context
, ,
you you
could could
give give
us us
a a
couple couple
examples example
of of
that that
work work
. .
Joia joia
Mukherjee mukherjee
: :
Yeah yeah
, ,
so so
Partners partners
In in
Health health
is be
a a
global global
nonprofit nonprofit
that that
is be
more more
than than
30 @card@
years year
old old
. .
We we
started start
famously famously
in in
Haiti haiti
in in
a a
squatter squatter
settlement settlement
, ,
people people
who who
were be
displaced displace
. .
And and
when when
we we
talked talk
to to
them them
, ,
they they
wanted want
health health
care care
and and
education education
, ,
houses house
, ,
jobs job
. .
And and
that that
has have
informed inform
our our
work work
, ,
that that
proximity proximity
to to
people people
who who
are be
suffering suffer
. .
When when
you you
think think
about about
health health
care care
and and
the the
poor poor
, ,
there there
is be
always always
disproportionate disproportionate
suffering suffering
for for
people people
who who
have have
been be
historically historically
marginalized marginalize
, ,
like like
our our
communities community
that that
we we
serve serve
in in
Haiti haiti
. .
And and
so so
we we
' '
ve ve
always always
tried try
to to
provide provide
health health
care care
for for
the the
poorest poor
people people
on on
earth earth
. .
And and
we we
were be
launched launch
into into
an an
international international
dialogue dialogue
about about
whether whether
that that
was be
possible possible
for for
drug-resistant drug-resistant
tuberculosis tuberculosis
, ,
for for
HIV hiv
. .
Indeed indeed
, ,
for for
surgery surgery
, ,
for for
cancer cancer
, ,
for for
mental mental
health health
, ,
for for
noncommunicable noncommunicable
diseases disease
. .
And and
we we
believe believe
it it
' '
s s
possible possible
, ,
and and
it it
is be
part part
of of
the the
basic basic
human human
right right
to to
care care
. .
So so
when when
COVID covid
started start
, ,
we we
saw see
this this
immediately immediately
as as
a a
threat threat
to to
the the
health health
of of
people people
who who
were be
the the
poorest poor
. .
And and
Partners partners
In in
Health health
now now
works work
in in
11 @card@
countries country
, ,
five five
on on
the the
African african
continent continent
, ,
Latin latin
America america
and and
the the
Caribbean caribbean
, ,
as as
well well
as as
the the
former former
Soviet soviet
Union union
. .
And and
we we
immediately immediately
prepared prepare
to to
scale scale
up up
testing testing
, ,
contact contact
tracing tracing
, ,
treatment treatment
, ,
care care
, ,
and and
then then
saw see
that that
