Turmeric turmeric
ginger ginger
shots shot
, ,
elderberry elderberry
syrup syrup
, ,
vitamin vitamin
C c
tablets tablet
. .
No no
one one
likes like
to to
be be
sick sick
, ,
so so
it it
' '
s s
100 @card@
percent percent
understandable understandable
why why
we we
' '
re re
all all
intrigued intrigue
by by
products product
that that
promise promise
to to
boost boost
our our
immune immune
system system
. .
[ [
Body body
Stuff stuff
with with
Dr dr
. .
Jen jen
Gunter gunter
] ]
The the
problem problem
is be
that that
we we
often often
think think
about about
the the
immune immune
system system
in in
the the
wrong wrong
way way
. .
We we
think think
of of
it it
like like
a a
muscle muscle
that that
we we
can can
strengthen strengthen
by by
feeding feed
it it
lots lot
of of
antioxidants antioxidant
and and
supplements supplement
. .
But but
that that
' '
s s
just just
not not
how how
the the
immune immune
system system
works work
. .
While while
the the
immune immune
system system
can can
be be
suppressed suppress
and and
can can
be be
less less
effective effective
-- --
for for
example example
, ,
in in
people people
receiving receive
chemotherapy chemotherapy
-- --
the the
reverse reverse
, ,
strengthening strengthen
the the
system system
overall overall
, ,
just just
doesn doesn
' '
t t
happen happen
. .
Our our
immune immune
system system
is be
what what
protects protect
us us
from from
the the
bacteria bacterium
, ,
viruses virus
, ,
fungi fungus
and and
toxins toxin
we we
encounter encounter
on on
a a
constant constant
basis basis
. .
It it
also also
plays play
an an
integral integral
part part
in in
wound wound
healing healing
. .
It it
' '
s s
an an
elegant elegant
network network
of of
cells cell
, ,
tissues tissue
and and
organs organ
, ,
all all
working work
together together
. .
You you
can can
think think
of of
the the
immune immune
system system
in in
two two
broad broad
terms term
, ,
innate innate
immunity immunity
and and
adaptive adaptive
immunity immunity
. .
Innate innate
immunity immunity
means mean
nonspecific nonspecific
defense defense
mechanisms mechanism
, ,
and and
this this
is be
our our
first first
line line
of of
protection protection
. .
It it
helps help
fight fight
off off
pathogens pathogen
before before
they they
cause cause
a a
problem problem
. .
It it
' '
s s
like like
a a
bouncer bouncer
at at
the the
door door
of of
a a
club club
. .
The the
innate innate
immunity immunity
keeps keep
invaders invader
out out
or or
neutralizes neutralize
them them
shortly shortly
after after
entry entry
so so
they they
don don
' '
t t
start start
a a
fight fight
inside inside
. .
It it
can can
only only
recognize recognize
self self
, ,
meaning mean
what what
' '
s s
allowed allow
in in
the the
club club
, ,
and and
nonself nonself
, ,
meaning mean
what what
' '
s s
not not
allowed allow
inside inside
. .
Think think
the the
physical physical
barriers barrier
of of
our our
skin skin
, ,
the the
hairs hair
in in
our our
nose nose
, ,
the the
eyelashes eyelash
that that
blink blink
out out
dirt dirt
, ,
even even
vaginal vaginal
discharge discharge
that that
prevents prevent
infections infection
. .
Now now
if if
a a
pathogen pathogen
does do
manage manage
to to
get get
past past
the the
first first
line line
of of
defense defense
, ,
we we
have have
another another
layer layer
of of
protection protection
, ,
the the
adaptive adaptive
immune immune
system system
, ,
which which
is be
more more
complex complex
and and
targeted target
than than
our our
bouncer bouncer
. .
The the
adaptive adaptive
immune immune
system system
responds respond
to to
antigens antigen
. .
Antigens antigen
are be
unique unique
proteins protein
on on
the the
surface surface
of of
pathogens pathogen
, ,
which which
helps help
identify identify
what what
kind kind
of of
pathogen pathogen
it it
is be
. .
Kind kind
of of
like like
a a
name name
tag tag
. .
Your your
immune immune
system system
is be
constantly constantly
reading read
name name
tags tag
, ,
and and
when when
one one
is be
recognized recognize
as as
being be
on on
the the
no-entry no-entry
list list
, ,
the the
adaptive adaptive
immune immune
system system
creates create
special special
immune immune
cells cell
to to
attack attack
, ,
which which
are be
specialized specialize
white white
blood blood
cells cell
called call
lymphocytes lymphocyte
. .
Here here
' '
s s
what what
' '
s s
really really
amazing amazing
: :
our our
immune immune
system system
remembers remember
this this
process process
. .
So so
the the
next next
time time
we we
' '
re re
exposed expose
to to
that that
same same
pathogen pathogen
, ,
our our
immune immune
system system
recognizes recognize
it it
and and
remembers remember
how how
to to
respond respond
. .
While while
we we
' '
re re
not not
sure sure
how how
many many
different different
antigens antigen
we we
can can
