How	WRB	how
much	RB	much
do	VBP	do
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
about	IN	about
a	DT	a
person	NN	person
before	IN	before
you	PP	you
'	POS	'
d	NN	d
feel	VBP	feel
comfortable	JJ	comfortable
making	VBG	make
a	DT	a
loan	NN	loan
?	SENT	?
Suppose	VB	suppose
you	PP	you
wanted	VBD	want
to	TO	to
lend	VB	lend
1	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
to	TO	to
the	DT	the
person	NN	person
sitting	VBG	sit
two	CD	two
rows	NNS	row
behind	IN	behind
you	PP	you
.	SENT	.
What	WP	what
would	MD	would
you	PP	you
need	VB	need
to	TO	to
know	VB	know
about	IN	about
that	DT	that
person	NN	person
before	IN	before
you	PP	you
'	POS	'
d	NN	d
feel	VBP	feel
comfortable	JJ	comfortable
?	SENT	?
My	PP$	my
mom	NN	mom
came	VBD	come
to	TO	to
the	DT	the
US	NP	US
from	IN	from
India	NP	India
in	IN	in
her	PP$	her
late	JJ	late
thirties	NNS	thirty
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
a	DT	a
doctor	NN	doctor
in	IN	in
Brooklyn	NP	Brooklyn
,	,	,
and	CC	and
she	PP	she
often	RB	often
lets	VBZ	let
friends	NNS	friend
and	CC	and
neighbors	NNS	neighbor
come	VBP	come
to	TO	to
see	VB	see
her	PP	her
for	IN	for
health	NN	health
services	NNS	service
,	,	,
whether	IN	whether
they	PP	they
can	MD	can
pay	VB	pay
right	RB	right
away	RB	away
or	CC	or
not	RB	not
.	SENT	.
I	PP	I
remember	VBP	remember
running	VBG	run
into	IN	into
her	PP$	her
patients	NNS	patient
with	IN	with
her	PP	her
at	IN	at
the	DT	the
grocery	NN	grocery
store	NN	store
or	CC	or
on	IN	on
the	DT	the
sidewalk	NN	sidewalk
,	,	,
and	CC	and
sometimes	RB	sometimes
they	PP	they
would	MD	would
come	VB	come
and	CC	and
pay	VB	pay
her	PP$	her
right	NN	right
on	IN	on
the	DT	the
spot	NN	spot
for	IN	for
previous	JJ	previous
appointments	NNS	appointment
.	SENT	.
She	PP	she
would	MD	would
thank	VB	thank
them	PP	them
,	,	,
and	CC	and
ask	VB	ask
them	PP	them
about	IN	about
their	PP$	their
families	NNS	family
and	CC	and
their	PP$	their
health	NN	health
.	SENT	.
She	PP	she
gave	VBD	give
them	PP	them
credit	NN	credit
because	IN	because
she	PP	she
trusted	VBD	trust
them	PP	them
.	SENT	.
Most	JJS	most
of	IN	of
us	PP	us
are	VBP	be
like	IN	like
my	PP$	my
mom	NN	mom
.	SENT	.
We	PP	we
would	MD	would
give	VB	give
credit	NN	credit
to	TO	to
someone	NN	someone
we	PP	we
know	VBP	know
or	CC	or
that	IN	that
we	PP	we
live	VBP	live
next	JJ	next
to	TO	to
.	SENT	.
But	CC	but
most	JJS	most
of	IN	of
us	PP	us
are	VBP	be
probably	RB	probably
not	RB	not
going	VBG	go
to	TO	to
lend	VB	lend
to	TO	to
a	DT	a
stranger	NN	stranger
unless	IN	unless
we	PP	we
know	VBP	know
a	DT	a
little	JJ	little
something	NN	something
about	IN	about
them	PP	them
.	SENT	.
Banks	NNS	bank
,	,	,
credit	NN	credit
card	NN	card
companies	NNS	company
and	CC	and
other	JJ	other
financial	JJ	financial
institutions	NNS	institution
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
us	PP	us
on	IN	on
a	DT	a
personal	JJ	personal
level	NN	level
,	,	,
but	CC	but
they	PP	they
do	VBP	do
have	VB	have
a	DT	a
way	NN	way
of	IN	of
trusting	VBG	trust
us	PP	us
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
through	IN	through
our	PP$	our
credit	NN	credit
scores	NNS	score
.	SENT	.
Our	PP$	our
credit	NN	credit
scores	NNS	score
have	VBP	have
been	VBN	be
created	VBN	create
through	IN	through
an	DT	an
aggregation	NN	aggregation
and	CC	and
analysis	NN	analysis
of	IN	of
our	PP$	our
public	JJ	public
consumer	NN	consumer
credit	NN	credit
data	NNS	datum
.	SENT	.
And	CC	and
because	IN	because
of	IN	of
them	PP	them
,	,	,
we	PP	we
have	VBP	have
pretty	RB	pretty
much	RB	much
easy	JJ	easy
access	NN	access
to	TO	to
all	DT	all
of	IN	of
the	DT	the
goods	NNS	good
and	CC	and
services	NNS	service
that	IN	that
we	PP	we
need	VBP	need
,	,	,
from	IN	from
getting	VBG	get
electricity	NN	electricity
to	TO	to
buying	VBG	buy
a	DT	a
home	NN	home
,	,	,
or	CC	or
taking	VBG	take
a	DT	a
risk	NN	risk
and	CC	and
starting	VBG	start
a	DT	a
business	NN	business
.	SENT	.
But	RB	but
.	SENT	.
.	SENT	.
.	SENT	.
there	EX	there
are	VBP	be
2	CD	@card@
.	SENT	.
5	CD	@card@
billion	NN	billion
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
that	IN	that
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
a	DT	a
credit	NN	credit
score	NN	score
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
population	NN	population
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
score	NN	score
because	IN	because
there	EX	there
are	VBP	be
no	DT	no
formal	JJ	formal
public	JJ	public
records	NNS	record
on	IN	on
them	PP	them
—	:	-
no	DT	no
bank	NN	bank
accounts	NNS	account
,	,	,
no	DT	no
credit	NN	credit
histories	NNS	history
and	CC	and
no	DT	no
social	JJ	social
security	NN	security
numbers	NNS	number
.	SENT	.
And	CC	and
because	IN	because
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
score	NN	score
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
access	NN	access
to	TO	to
the	DT	the
credit	NN	credit
or	CC	or
financial	JJ	financial
products	NNS	product
that	WDT	that
can	MD	can
improve	VB	improve
their	PP$	their
lives	NNS	life
.	SENT	.
They	PP	they
are	VBP	be
not	RB	not
trusted	VBN	trust
.	SENT	.
So	RB	so
we	PP	we
wanted	VBD	want
to	TO	to
find	VB	find
a	DT	a
way	NN	way
to	TO	to
build	VB	build
trust	NN	trust
and	CC	and
to	TO	to
open	VB	open
up	RP	up
financial	JJ	financial
access	NN	access
for	IN	for
these	DT	these
2	CD	@card@
.	SENT	.
5	CD	@card@
billion	NNS	billion
.	SENT	.
So	RB	so
we	PP	we
created	VBD	create
a	DT	a
mobile	JJ	mobile
application	NN	application
that	WDT	that
builds	VBZ	build
credit	NN	credit
scores	NNS	score
for	IN	for
them	PP	them
using	VBG	use
mobile	JJ	mobile
data	NNS	datum
.	SENT	.
There	EX	there
are	VBP	be
currently	RB	currently
over	IN	over
one	CD	one
billion	NN	billion
smartphones	NNS	smartphone
in	IN	in
emerging	VBG	emerge
markets	NNS	market
.	SENT	.
And	CC	and
people	NNS	people
are	VBP	be
using	VBG	use
them	PP	them
the	DT	the
same	JJ	same
way	NN	way
that	IN	that
we	PP	we
do	VBP	do
.	SENT	.
They	PP	they
'	''	'
re	IN	re
texting	VBG	<unknown>
their	PP$	their
friends	NNS	friend
,	,	,
they	PP	they
'	POS	'
re	NN	re
looking	VBG	look
up	RP	up
directions	NNS	direction
,	,	,
they	PP	they
'	POS	'
