So	IN	so
a	DT	a
while	NN	while
ago	RB	ago
,	,	,
I	PP	I
tried	VBD	try
an	DT	an
experiment	NN	experiment
.	SENT	.
For	IN	for
one	CD	one
year	NN	year
,	,	,
I	PP	I
would	MD	would
say	VB	say
yes	UH	yes
to	TO	to
all	PDT	all
the	DT	the
things	NNS	thing
that	WDT	that
scared	VBD	scare
me	PP	me
.	SENT	.
Anything	NN	anything
that	IN	that
made	VBN	make
me	PP	me
nervous	JJ	nervous
,	,	,
took	VBD	take
me	PP	me
out	RP	out
of	IN	of
my	PP$	my
comfort	NN	comfort
zone	NN	zone
,	,	,
I	PP	I
forced	VBD	force
myself	PP	myself
to	TO	to
say	VB	say
yes	UH	yes
to	TO	to
.	SENT	.
Did	VBD	do
I	PP	I
want	VBP	want
to	TO	to
speak	VB	speak
in	IN	in
public	NN	public
?	SENT	?
No	UH	no
,	,	,
but	CC	but
yes	UH	yes
.	SENT	.
Did	VBD	do
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
on	IN	on
live	JJ	live
TV	NN	TV
?	SENT	?
No	UH	no
,	,	,
but	CC	but
yes	UH	yes
.	SENT	.
Did	VBD	do
I	PP	I
want	VBP	want
to	TO	to
try	VB	try
acting	VBG	act
?	SENT	?
No	UH	no
,	,	,
no	UH	no
,	,	,
no	UH	no
,	,	,
but	CC	but
yes	UH	yes
,	,	,
yes	UH	yes
,	,	,
yes	UH	yes
.	SENT	.
And	CC	and
a	DT	a
crazy	JJ	crazy
thing	NN	thing
happened	VBD	happen
:	:	:
the	DT	the
very	JJ	very
act	NN	act
of	IN	of
doing	VBG	do
the	DT	the
thing	NN	thing
that	WDT	that
scared	VBD	scare
me	PP	me
undid	VBD	undo
the	DT	the
fear	NN	fear
,	,	,
made	VBD	make
it	PP	it
not	RB	not
scary	JJ	scary
.	SENT	.
My	PP$	my
fear	NN	fear
of	IN	of
public	JJ	public
speaking	NN	speaking
,	,	,
my	PP$	my
social	JJ	social
anxiety	NN	anxiety
,	,	,
poof	NN	poof
,	,	,
gone	VBN	go
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
amazing	JJ	amazing
,	,	,
the	DT	the
power	NN	power
of	IN	of
one	CD	one
word	NN	word
.	SENT	.
"	``	"
Yes	UH	yes
"	''	"
changed	VBD	change
my	PP$	my
life	NN	life
.	SENT	.
"	``	"
Yes	UH	yes
"	''	"
changed	VBN	change
me	PP	me
.	SENT	.
But	CC	but
there	EX	there
was	VBD	be
one	CD	one
particular	JJ	particular
yes	NN	yes
that	WDT	that
affected	VBD	affect
my	PP$	my
life	NN	life
in	IN	in
the	DT	the
most	RBS	most
profound	JJ	profound
way	NN	way
,	,	,
in	IN	in
a	DT	a
way	NN	way
I	PP	I
never	RB	never
imagined	VBD	imagine
,	,	,
and	CC	and
it	PP	it
started	VBD	start
with	IN	with
a	DT	a
question	NN	question
from	IN	from
my	PP$	my
toddler	NN	toddler
.	SENT	.
I	PP	I
have	VBP	have
these	DT	these
three	CD	three
amazing	JJ	amazing
daughters	NNS	daughter
,	,	,
Harper	NP	Harper
,	,	,
Beckett	NP	Beckett
and	CC	and
Emerson	NP	Emerson
,	,	,
and	CC	and
Emerson	NP	Emerson
is	VBZ	be
a	DT	a
toddler	NN	toddler
who	WP	who
inexplicably	RB	inexplicably
refers	VBZ	refer
to	TO	to
everyone	NN	everyone
as	IN	as
"	``	"
honey	NN	honey
.	SENT	.
"	''	"
as	RB	as
though	IN	though
she	PP	she
'	POS	'
s	NN	S
a	DT	a
Southern	JJ	Southern
waitress	NN	waitress
.	SENT	.
"	''	"
Honey	NN	honey
,	,	,
I	PP	I
'	POS	'
m	NN	m
gonna	VBG	gonna
need	NN	need
some	DT	some
milk	NN	milk
for	IN	for
my	PP$	my
sippy	JJ	<unknown>
cup	NN	cup
.	SENT	.
"	``	"
The	DT	the
Southern	NP	Southern
waitress	NN	waitress
asked	VBD	ask
me	PP	me
to	TO	to
play	VB	play
with	IN	with
her	PP$	her
one	CD	one
evening	NN	evening
when	WRB	when
I	PP	I
was	VBD	be
on	IN	on
my	PP$	my
way	NN	way
somewhere	RB	somewhere
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Yes	UH	yes
.	SENT	.
"	''	"
And	CC	and
that	IN	that
yes	NN	yes
was	VBD	be
the	DT	the
beginning	NN	beginning
of	IN	of
a	DT	a
new	JJ	new
way	NN	way
of	IN	of
life	NN	life
for	IN	for
my	PP$	my
family	NN	family
.	SENT	.
I	PP	I
made	VBD	make
a	DT	a
vow	NN	vow
that	IN	that
from	IN	from
now	RB	now
on	RB	on
,	,	,
every	DT	every
time	NN	time
one	CD	one
of	IN	of
my	PP$	my
children	NNS	child
asks	VBZ	ask
me	PP	me
to	TO	to
play	VB	play
,	,	,
no	DT	no
matter	NN	matter
what	WP	what
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
or	CC	or
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
,	,	,
I	PP	I
say	VBP	say
yes	RB	yes
,	,	,
every	DT	every
single	JJ	single
time	NN	time
.	SENT	.
Almost	RB	almost
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
perfect	JJ	perfect
at	IN	at
it	PP	it
,	,	,
but	CC	but
I	PP	I
try	VBP	try
hard	RB	hard
to	TO	to
practice	VB	practice
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
had	VBD	have
a	DT	a
magical	JJ	magical
effect	NN	effect
on	IN	on
me	PP	me
,	,	,
on	IN	on
my	PP$	my
children	NNS	child
,	,	,
on	IN	on
our	PP$	our
family	NN	family
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
had	VBD	have
a	DT	a
stunning	JJ	stunning
side	NN	side
effect	NN	effect
,	,	,
and	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
recently	RB	recently
that	IN	that
I	PP	I
fully	RB	fully
understood	VBD	understand
it	PP	it
,	,	,
that	IN	that
I	PP	I
understood	VBD	understand
that	IN	that
saying	VBG	say
yes	UH	yes
to	TO	to
playing	VBG	play
with	IN	with
my	PP$	my
children	NNS	child
likely	RB	likely
saved	VBD	save
my	PP$	my
career	NN	career
.	SENT	.
See	VB	see
,	,	,
I	PP	I
have	VBP	have
what	WP	what
most	JJS	most
people	NNS	people
would	MD	would
call	VB	call
a	DT	a
dream	NN	dream
job	NN	job
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
writer	NN	writer
.	SENT	.
I	PP	I
imagine	VBP	imagine
.	SENT	.
I	PP	I
make	VBP	make
stuff	NN	stuff
up	RP	up
for	IN	for
a	DT	a
living	NN	living
.	SENT	.
Dream	NN	dream
job	NN	job
.	SENT	.
No	UH	no
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
titan	NN	titan
.	SENT	.
Dream	NN	dream
job	NN	job
.	SENT	.
I	PP	I
create	VBP	create
television	NN	television
.	SENT	.
I	NP	I
executive	JJ	executive
produce	NN	produce
television	NN	television
.	SENT	.
I	PP	I
make	VBP	make
television	NN	television
,	,	,
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
television	NN	television
.	SENT	.
In	IN	in
one	CD	one
way	NN	way
or	CC	or
another	DT	another
,	,	,
this	DT	this
TV	NN	TV
season	NN	season
,	,	,
I	PP	I
'	POS	'
m	NN	m
responsible	JJ	responsible
for	IN	for
bringing	VBG	bring
about	RB	about
70	CD	@card@
hours	NNS	hour
of	IN	of
programming	NN	programming
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
Four	CD	four
television	NN	television
programs	NNS	program
,	,	,
