What	WP	what
do	VBP	do
you	PP	you
do	VBP	do
when	WRB	when
you	PP	you
have	VBP	have
a	DT	a
headache	NN	headache
?	SENT	?
You	PP	you
swallow	VBP	swallow
an	DT	an
aspirin	NN	aspirin
.	SENT	.
But	CC	but
for	IN	for
this	DT	this
pill	NN	pill
to	TO	to
get	VB	get
to	TO	to
your	PP$	your
head	NN	head
,	,	,
where	WRB	where
the	DT	the
pain	NN	pain
is	VBZ	be
,	,	,
it	PP	it
goes	VBZ	go
through	IN	through
your	PP$	your
stomach	NN	stomach
,	,	,
intestines	NNS	intestine
and	CC	and
various	JJ	various
other	JJ	other
organs	NNS	organ
first	JJ	first
.	SENT	.
Swallowing	VBG	swallow
pills	NNS	pill
is	VBZ	be
the	DT	the
most	RBS	most
effective	JJ	effective
and	CC	and
painless	JJ	painless
way	NN	way
of	IN	of
delivering	VBG	deliver
any	DT	any
medication	NN	medication
in	IN	in
the	DT	the
body	NN	body
.	SENT	.
The	DT	the
downside	NN	downside
,	,	,
though	RB	though
,	,	,
is	VBZ	be
that	IN	that
swallowing	VBG	swallow
any	DT	any
medication	NN	medication
leads	VBZ	lead
to	TO	to
its	PP$	its
dilution	NN	dilution
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
big	JJ	big
problem	NN	problem
,	,	,
particularly	RB	particularly
in	IN	in
HIV	NP	HIV
patients	NNS	patient
.	SENT	.
When	WRB	when
they	PP	they
take	VBP	take
their	PP$	their
anti-HIV	NP	<unknown>
drugs	NNS	drug
,	,	,
these	DT	these
drugs	NNS	drug
are	VBP	be
good	JJ	good
for	IN	for
lowering	VBG	lower
the	DT	the
virus	NN	virus
in	IN	in
the	DT	the
blood	NN	blood
,	,	,
and	CC	and
increasing	VBG	increase
the	DT	the
CD4	NP	<unknown>
cell	NN	cell
counts	NNS	count
.	SENT	.
But	CC	but
they	PP	they
are	VBP	be
also	RB	also
notorious	JJ	notorious
for	IN	for
their	PP$	their
adverse	JJ	adverse
side	NN	side
effects	NNS	effect
,	,	,
but	CC	but
mostly	RB	mostly
bad	JJ	bad
,	,	,
because	IN	because
they	PP	they
get	VBP	get
diluted	VBN	dilute
by	IN	by
the	DT	the
time	NN	time
they	PP	they
get	VBP	get
to	TO	to
the	DT	the
blood	NN	blood
,	,	,
and	CC	and
worse	JJR	bad
,	,	,
by	IN	by
the	DT	the
time	NN	time
they	PP	they
get	VBP	get
to	TO	to
the	DT	the
sites	NNS	site
where	WRB	where
it	PP	it
matters	VBZ	matter
most	RBS	most
:	:	:
within	IN	within
the	DT	the
HIV	NP	HIV
viral	JJ	viral
reservoirs	NNS	reservoir
.	SENT	.
These	DT	these
areas	NNS	area
in	IN	in
the	DT	the
body	NN	body
—	:	-
such	JJ	such
as	IN	as
the	DT	the
lymph	NN	lymph
nodes	NNS	node
,	,	,
the	DT	the
nervous	JJ	nervous
system	NN	system
,	,	,
as	RB	as
well	RB	well
as	IN	as
the	DT	the
lungs	NNS	lung
—	:	-
where	WRB	where
the	DT	the
virus	NN	virus
is	VBZ	be
sleeping	VBG	sleep
,	,	,
and	CC	and
will	MD	will
not	RB	not
readily	RB	readily
get	VB	get
delivered	VBN	deliver
in	IN	in
the	DT	the
blood	NN	blood
of	IN	of
patients	NNS	patient
that	WDT	that
are	VBP	be
under	IN	under
consistent	JJ	consistent
anti-HIV	NP	<unknown>
drugs	NNS	drug
therapy	NN	therapy
.	SENT	.
However	RB	however
,	,	,
upon	IN	upon
discontinuation	NN	discontinuation
of	IN	of
therapy	NN	therapy
,	,	,
the	DT	the
virus	NN	virus
can	MD	can
awake	VB	awake
and	CC	and
infect	VB	infect
new	JJ	new
cells	NNS	cell
in	IN	in
the	DT	the
blood	NN	blood
.	SENT	.
Now	RB	now
,	,	,
all	PDT	all
this	DT	this
is	VBZ	be
a	DT	a
big	JJ	big
problem	NN	problem
in	IN	in
treating	VBG	treat
HIV	NP	HIV
with	IN	with
the	DT	the
current	JJ	current
drug	NN	drug
treatment	NN	treatment
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
life-long	JJ	life-long
treatment	NN	treatment
that	WDT	that
must	MD	must
be	VB	be
swallowed	VBN	swallow
by	IN	by
patients	NNS	patient
.	SENT	.
One	CD	one
day	NN	day
,	,	,
I	PP	I
sat	VBD	sit
and	CC	and
thought	VBD	think
,	,	,
"	``	"
Can	MD	can
we	PP	we
deliver	VB	deliver
anti-HIV	NP	<unknown>
directly	RB	directly
within	IN	within
its	PP$	its
reservoir	NN	reservoir
sites	NNS	site
,	,	,
without	IN	without
the	DT	the
risk	NN	risk
of	IN	of
drug	NN	drug
dilution	NN	dilution
?	SENT	?
"	''	"
As	IN	as
a	DT	a
laser	NN	laser
scientist	NN	scientist
,	,	,
the	DT	the
answer	NN	answer
was	VBD	be
just	RB	just
before	IN	before
my	PP$	my
eyes	NNS	eye
:	:	:
Lasers	NNS	laser
,	,	,
of	IN	of
course	NN	course
.	SENT	.
If	IN	if
they	PP	they
can	MD	can
be	VB	be
used	VBN	use
for	IN	for
dentistry	NN	dentistry
,	,	,
for	IN	for
diabetic	JJ	diabetic
wound-healing	JJ	wound-healing
and	CC	and
surgery	NN	surgery
,	,	,
they	PP	they
can	MD	can
be	VB	be
used	VBN	use
for	IN	for
anything	NN	anything
imaginable	JJ	imaginable
,	,	,
including	VBG	include
transporting	VBG	transport
drugs	NNS	drug
into	IN	into
cells	NNS	cell
.	SENT	.
As	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
we	PP	we
are	VBP	be
currently	RB	currently
using	VBG	use
laser	NN	laser
pulses	NNS	pulse
to	TO	to
poke	VB	poke
or	CC	or
drill	VB	drill
extremely	RB	extremely
tiny	JJ	tiny
holes	NNS	hole
,	,	,
which	WDT	which
open	VBP	open
and	CC	and
close	VBP	close
almost	RB	almost
immediately	RB	immediately
in	IN	in
HIV-infected	JJ	HIV-infected
cells	NNS	cell
,	,	,
in	IN	in
order	NN	order
to	TO	to
deliver	VB	deliver
drugs	NNS	drug
within	IN	within
them	PP	them
.	SENT	.
"	``	"
How	WRB	how
is	VBZ	be
that	IN	that
possible	JJ	possible
?	SENT	?
"	``	"
you	PP	you
may	MD	may
ask	VB	ask
.	SENT	.
Well	RB	well
,	,	,
we	PP	we
shine	VBP	shine
a	DT	a
very	RB	very
powerful	JJ	powerful
