Hello	UH	hello
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Matthew	NP	Matthew
Williams	NP	Williams
,	,	,
and	CC	and
I	PP	I
am	VBP	be
a	DT	a
champion	NN	champion
.	SENT	.
I	PP	I
have	VBP	have
won	VBN	win
medals	NNS	medal
in	IN	in
three	CD	three
different	JJ	different
sports	NNS	sport
and	CC	and
national	JJ	national
games	NNS	game
in	IN	in
Canada	NP	Canada
,	,	,
competed	VBN	compete
at	IN	at
the	DT	the
international	JJ	international
level	NN	level
in	IN	in
basketball	NN	basketball
and	CC	and
was	VBD	be
proud	JJ	proud
to	TO	to
represent	VB	represent
Canada	NP	Canada
on	IN	on
the	DT	the
world	NN	world
stage	NN	stage
.	SENT	.
I	PP	I
train	VBP	train
five	CD	five
days	NNS	day
a	DT	a
week	NN	week
for	IN	for
basketball	NN	basketball
and	CC	and
speed	NN	speed
skating	NN	skating
,	,	,
work	NN	work
with	IN	with
top	JJ	top
quality	NN	quality
coaches	NNS	coach
and	CC	and
mental	JJ	mental
performance	NN	performance
consultants	NNS	consultant
to	TO	to
be	VB	be
at	IN	at
my	PP$	my
best	JJS	good
in	IN	in
my	PP$	my
sport	NN	sport
.	SENT	.
By	IN	by
the	DT	the
way	NN	way
,	,	,
all	PDT	all
that	DT	that
is	VBZ	be
through	IN	through
Special	JJ	special
Olympics	NNS	Olympic
.	SENT	.
Does	VBZ	do
that	DT	that
change	NN	change
the	DT	the
way	NN	way
you	PP	you
think	VBP	think
of	IN	of
me	PP	me
and	CC	and
my	PP$	my
accomplishments	NNS	accomplishment
?	SENT	?
The	DT	the
world	NN	world
does	VBZ	do
not	RB	not
see	VB	see
all	DT	all
people	NNS	people
like	VBP	like
me	PP	me
as	IN	as
champions	NNS	champion
.	SENT	.
Not	RB	not
long	RB	long
ago	RB	ago
,	,	,
people	NNS	people
like	VBP	like
me	PP	me
were	VBD	be
shunned	VBN	shun
and	CC	and
hidden	VBN	hide
away	RB	away
.	SENT	.
There	EX	there
has	VBZ	have
been	VBN	be
lots	NNS	lot
of	IN	of
change	NN	change
since	IN	since
Special	JJ	special
Olympics	NNS	Olympic
began	VBD	begin
in	IN	in
1968	CD	@card@
,	,	,
but	CC	but
in	IN	in
too	RB	too
many	JJ	many
cases	NNS	case
,	,	,
people	NNS	people
with	IN	with
intellectual	JJ	intellectual
disabilities	NNS	disability
are	VBP	be
invisible	JJ	invisible
to	TO	to
the	DT	the
wider	JJR	wide
population	NN	population
.	SENT	.
People	NNS	people
use	VBP	use
the	DT	the
r-word	NN	<unknown>
in	IN	in
front	NN	front
of	IN	of
me	PP	me
,	,	,
and	CC	and
they	PP	they
think	VBP	think
it	PP	it
doesn	NN	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
word	NN	word
"	``	"
retard	VB	retard
"	''	"
or	CC	or
"	``	"
retarded	VBN	retard
"	''	"
used	VBN	use
in	IN	in
a	DT	a
derogatory	JJ	derogatory
manner	NN	manner
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
thinking	VBG	think
about	RB	about
how	WRB	how
much	JJ	much
it	PP	it
hurts	VBZ	hurt
me	PP	me
and	CC	and
my	PP$	my
friends	NNS	friend
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
I	PP	I
