So	RB	so
I	PP	I
grew	VBD	grow
up	RP	up
in	IN	in
Orlando	NP	Orlando
,	,	,
Florida	NP	Florida
.	SENT	.
I	PP	I
was	VBD	be
the	DT	the
son	NN	son
of	IN	of
an	DT	an
aerospace	JJ	aerospace
engineer	NN	engineer
.	SENT	.
I	PP	I
lived	VBD	live
and	CC	and
breathed	VBD	breathe
the	DT	the
Apollo	NP	Apollo
program	NN	program
.	SENT	.
We	PP	we
either	RB	either
saw	VBD	see
the	DT	the
launches	NNS	launch
from	IN	from
our	PP$	our
backyard	NN	backyard
or	CC	or
we	PP	we
saw	VBD	see
it	PP	it
by	IN	by
driving	VBG	drive
in	IN	in
the	DT	the
hour	NN	hour
over	IN	over
to	TO	to
the	DT	the
Cape	NP	Cape
.	SENT	.
I	PP	I
was	VBD	be
impressed	VBN	impress
by	IN	by
,	,	,
obviously	RB	obviously
,	,	,
space	NN	space
and	CC	and
everything	NN	everything
about	IN	about
it	PP	it
,	,	,
but	CC	but
I	PP	I
was	VBD	be
most	RBS	most
impressed	VBN	impress
by	IN	by
the	DT	the
engineering	NN	engineering
that	WDT	that
went	VBD	go
into	IN	into
it	PP	it
.	SENT	.
Behind	IN	behind
me	PP	me
you	PP	you
see	VBP	see
an	DT	an
amazing	JJ	amazing
view	NN	view
,	,	,
a	DT	a
picture	NN	picture
that	WDT	that
was	VBD	be
taken	VBN	take
from	IN	from
the	DT	the
International	NP	International
Space	NP	Space
Station	NP	Station
,	,	,
and	CC	and
it	PP	it
shows	VBZ	show
a	DT	a
portion	NN	portion
of	IN	of
our	PP$	our
planet	NN	planet
that	RB	that
'	POS	'
s	NN	S
rarely	RB	rarely
seen	VBN	see
and	CC	and
rarely	RB	rarely
studied	VBN	study
and	CC	and
almost	RB	almost
never	RB	never
explored	VBN	explore
.	SENT	.
That	DT	that
place	NN	place
is	VBZ	be
called	VBN	call
the	DT	the
stratosphere	NN	stratosphere
.	SENT	.
If	IN	if
you	PP	you
start	VBP	start
on	IN	on
the	DT	the
planet	NN	planet
and	CC	and
you	PP	you
go	VBP	go
up	RP	up
and	CC	and
up	RP	up
and	CC	and
up	RP	up
,	,	,
it	PP	it
gets	VBZ	get
colder	JJR	cold
and	CC	and
colder	JJR	cold
and	CC	and
colder	JJR	cold
,	,	,
until	IN	until
you	PP	you
reach	VBP	reach
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
stratosphere	NN	stratosphere
,	,	,
and	CC	and
then	RB	then
an	DT	an
amazing	JJ	amazing
thing	NN	thing
happens	VBZ	happen
.	SENT	.
It	PP	it
gets	VBZ	get
colder	JJR	cold
at	IN	at
a	DT	a
much	RB	much
slower	JJR	slow
rate	NN	rate
,	,	,
and	CC	and
then	RB	then
it	PP	it
starts	VBZ	start
warming	VBG	warm
up	RP	up
,	,	,
and	CC	and
then	RB	then
it	PP	it
gets	VBZ	get
warmer	JJR	warm
and	CC	and
warmer	JJR	warm
until	IN	until
the	DT	the
point	NN	point
where	WRB	where
you	PP	you
can	MD	can
almost	RB	almost
survive	VB	survive
without	IN	without
any	DT	any
protection	NN	protection
,	,	,
about	RB	about
zero	CD	zero
degrees	NNS	degree
,	,	,
and	CC	and
then	RB	then
you	PP	you
end	VBP	end
up	RP	up
getting	VBG	get
colder	JJR	cold
and	CC	and
colder	JJR	cold
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
top	NN	top
of	IN	of
the	DT	the
stratosphere	NN	stratosphere
.	SENT	.
It	PP	it
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
least	JJS	least
accessible	JJ	accessible
places	NNS	place
on	IN	on
our	PP$	our
planet	NN	planet
.	SENT	.
