Have	VBP	have
you	PP	you
ever	RB	ever
wondered	VBD	wonder
what	WP	what
animals	NNS	animal
think	VBP	think
and	CC	and
feel	VBP	feel
?	SENT	?
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
a	DT	a
question	NN	question
:	:	:
Does	VBZ	do
my	PP$	my
dog	NN	dog
really	RB	really
love	VBP	love
me	PP	me
,	,	,
or	CC	or
does	VBZ	do
she	PP	she
just	RB	just
want	VBP	want
a	DT	a
treat	NN	treat
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
easy	JJ	easy
to	TO	to
see	VB	see
that	IN	that
our	PP$	our
dog	NN	dog
really	RB	really
loves	VBZ	love
us	PP	us
,	,	,
easy	JJ	easy
to	TO	to
see	VB	see
,	,	,
right	RB	right
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
that	DT	that
fuzzy	JJ	fuzzy
little	JJ	little
head	NN	head
.	SENT	.
What	WP	what
is	VBZ	be
going	VBG	go
on	RP	on
?	SENT	?
Something	NN	something
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
But	CC	but
why	WRB	why
is	VBZ	be
the	DT	the
question	NN	question
always	RB	always
do	VBP	do
they	PP	they
love	VBP	love
us	PP	us
?	SENT	?
Why	WRB	why
is	VBZ	be
it	PP	it
always	RB	always
about	IN	about
us	PP	us
?	SENT	?
Why	WRB	why
are	VBP	be
we	PP	we
such	JJ	such
narcissists	NNS	narcissist
?	SENT	?
I	PP	I
found	VBD	find
a	DT	a
different	JJ	different
question	NN	question
to	TO	to
ask	VB	ask
animals	NNS	animal
.	SENT	.
Who	WP	who
are	VBP	be
you	PP	you
?	SENT	?
There	EX	there
are	VBP	be
capacities	NNS	capacity
of	IN	of
the	DT	the
human	JJ	human
mind	NN	mind
that	IN	that
we	PP	we
tend	VBP	tend
to	TO	to
think	VB	think
are	VBP	be
capacities	NNS	capacity
only	RB	only
of	IN	of
the	DT	the
human	JJ	human
mind	NN	mind
.	SENT	.
But	CC	but
is	VBZ	be
that	IN	that
true	JJ	true
?	SENT	?
What	WP	what
are	VBP	be
other	JJ	other
beings	NNS	being
doing	VBG	do
with	IN	with
those	DT	those
brains	NNS	brain
?	SENT	?
What	WP	what
are	VBP	be
they	PP	they
thinking	VBG	think
and	CC	and
feeling	VBG	feel
?	SENT	?
Is	VBZ	be
there	RB	there
a	DT	a
way	NN	way
to	TO	to
know	VB	know
?	SENT	?
I	PP	I
think	VBP	think
there	EX	there
is	VBZ	be
a	DT	a
way	NN	way
in	IN	in
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
are	VBP	be
several	JJ	several
ways	NNS	way
in	IN	in
.	SENT	.
We	PP	we
can	MD	can
look	VB	look
at	IN	at
evolution	NN	evolution
,	,	,
we	PP	we
can	MD	can
look	VB	look
at	IN	at
their	PP$	their
brains	NNS	brain
and	CC	and
we	PP	we
can	MD	can
watch	VB	watch
what	WP	what
they	PP	they
do	VBP	do
.	SENT	.
The	DT	the
first	JJ	first
thing	NN	thing
to	TO	to
remember	VB	remember
is	VBZ	be
:	:	:
our	PP$	our
brain	NN	brain
is	VBZ	be
inherited	VBN	inherit
.	SENT	.
The	DT	the
first	JJ	first
neurons	NNS	neuron
came	VBD	come
from	IN	from
jellyfish	NNS	jellyfish
.	SENT	.
Jellyfish	NNS	jellyfish
gave	VBD	give
rise	NN	rise
to	TO	to
the	DT	the
first	JJ	first
chordates	NNS	chordate
.	SENT	.
The	DT	the
first	JJ	first
chordates	NNS	chordate
gave	VBD	give
rise	NN	rise
to	TO	to
the	DT	the
first	JJ	first
vertebrates	NNS	vertebrate
.	SENT	.
The	DT	the
vertebrates	NNS	vertebrate
came	VBD	come
out	RP	out
of	IN	of
the	DT	the
