Now	RB	now
.	SENT	.
.	SENT	.
.	SENT	.
let	NN	let
'	POS	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
in	IN	in
time	NN	time
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
1974	CD	@card@
.	SENT	.
There	EX	there
is	VBZ	be
the	DT	the
gallery	NN	gallery
somewhere	RB	somewhere
in	IN	in
the	DT	the
world	NN	world
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
young	JJ	young
girl	NN	girl
,	,	,
age	NN	age
23	CD	@card@
,	,	,
standing	VBG	stand
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
space	NN	space
.	SENT	.
In	IN	in
the	DT	the
front	NN	front
of	IN	of
her	PP	her
is	VBZ	be
a	DT	a
table	NN	table
.	SENT	.
On	IN	on
the	DT	the
table	NN	table
there	EX	there
are	VBP	be
76	CD	@card@
objects	NNS	object
for	IN	for
pleasure	NN	pleasure
and	CC	and
for	IN	for
pain	NN	pain
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
objects	NNS	object
are	VBP	be
a	DT	a
glass	NN	glass
of	IN	of
water	NN	water
,	,	,
a	DT	a
coat	NN	coat
,	,	,
a	DT	a
shoe	NN	shoe
,	,	,
a	DT	a
rose	VBD	rise
.	SENT	.
But	CC	but
also	RB	also
the	DT	the
knife	NN	knife
,	,	,
the	DT	the
razor	NN	razor
blade	NN	blade
,	,	,
the	DT	the
hammer	NN	hammer
and	CC	and
the	DT	the
pistol	NN	pistol
with	IN	with
one	CD	one
bullet	NN	bullet
.	SENT	.
There	EX	there
are	VBP	be
instructions	NNS	instruction
which	WDT	which
say	VBP	say
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
an	DT	an
object	NN	object
.	SENT	.
You	PP	you
can	MD	can
use	VB	use
everything	NN	everything
on	IN	on
the	DT	the
table	NN	table
on	IN	on
me	PP	me
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
taking	VBG	take
all	DT	all
responsibility	NN	responsibility
—	:	-
even	RB	even
killing	VBG	kill
me	PP	me
.	SENT	.
And	CC	and
the	DT	the
time	NN	time
is	VBZ	be
six	CD	six
hours	NNS	hour
.	SENT	.
"	''	"
The	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
performance	NN	performance
was	VBD	be
easy	JJ	easy
.	SENT	.
People	NNS	people
would	MD	would
give	VB	give
me	PP	me
the	DT	the
glass	NN	glass
of	IN	of
water	NN	water
to	TO	to
drink	VB	drink
,	,	,
they	PP	they
'	POS	'
d	NN	d
give	VB	give
me	PP	me
the	DT	the
rose	VBD	rise
.	SENT	.
But	CC	but
very	RB	very
soon	RB	soon
after	RB	after
,	,	,
there	EX	there
was	VBD	be
a	DT	a
man	NN	man
who	WP	who
took	VBD	take
the	DT	the
scissors	NN	scissors
and	CC	and
cut	VB	cut
my	PP$	my
clothes	NNS	clothes
,	,	,
and	CC	and
then	RB	then
they	PP	they
took	VBD	take
the	DT	the
thorns	NNS	thorn
of	IN	of
the	DT	the
rose	VBD	rise
and	CC	and
stuck	VBD	stick
them	PP	them
in	IN	in
my	PP$	my
stomach	NN	stomach
.	SENT	.
Somebody	NN	somebody
took	VBD	take
the	DT	the
razor	NN	razor
blade	NN	blade
and	CC	and
cut	VB	cut
my	PP$	my
neck	NN	neck
and	CC	and
drank	VBD	drink
the	DT	the
blood	NN	blood
,	,	,
and	CC	and
I	PP	I
still	RB	still
have	VBP	have
the	DT	the
scar	NN	scar
.	SENT	.
The	DT	the
women	NNS	woman
would	MD	would
tell	VB	tell
the	DT	the
men	NNS	man
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
the	DT	the
men	NNS	man
didn	NN	<unknown>
'	POS	'
t	NN	t
rape	NN	rape
me	PP	me
because	IN	because
it	PP	it
was	VBD	be
just	RB	just
a	DT	a
normal	JJ	normal
opening	NN	opening
,	,	,
and	CC	and
it	PP	it
was	VBD	be
all	DT	all
public	NN	public
,	,	,
and	CC	and
they	PP	they
were	VBD	be
with	IN	with
their	PP$	their
wives	NNS	wife
.	SENT	.
They	PP	they
carried	VBD	carry
me	PP	me
around	RP	around
and	CC	and
put	VB	put
me	PP	me
on	IN	on
the	DT	the
table	NN	table
,	,	,
and	CC	and
put	VBD	put
the	DT	the
knife	NN	knife
between	IN	between
my	PP$	my
legs	NNS	leg
.	SENT	.
And	CC	and
somebody	NN	somebody
took	VBD	take
the	DT	the
pistol	NN	pistol
and	CC	and
bullet	NN	bullet
and	CC	and
put	VB	put
it	PP	it
against	IN	against
my	PP$	my
temple	NN	temple
.	SENT	.
And	CC	and
another	DT	another
person	NN	person
took	VBD	take
the	DT	the
pistol	NN	pistol
and	CC	and
they	PP	they
started	VBD	start
a	DT	a
fight	NN	fight
.	SENT	.
And	CC	and
after	IN	after
six	CD	six
hours	NNS	hour
were	VBD	be
finished	VBN	finish
,	,	,
I	PP	I
.	SENT	.
.	SENT	.
.	SENT	.
started	VBN	start
walking	NN	walking
towards	IN	towards
the	DT	the
public	NN	public
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
mess	NN	mess
.	SENT	.
I	PP	I
was	VBD	be
half-naked	JJ	half-naked
,	,	,
I	PP	I
