Yogi	NP	Yogi
Berra	NP	Berra
,	,	,
a	DT	a
US	NP	US
baseball	NN	baseball
player	NN	player
and	CC	and
philosopher	NN	philosopher
,	,	,
said	VBD	say
,	,	,
"	``	"
If	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VB	know
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
,	,	,
we	PP	we
might	MD	might
not	RB	not
get	VB	get
there	RB	there
.	SENT	.
"	''	"
Accumulating	VBG	accumulate
scientific	JJ	scientific
knowledge	NN	knowledge
is	VBZ	be
giving	VBG	give
us	PP	us
greater	JJR	great
insights	NNS	insight
,	,	,
greater	JJR	great
clarity	NN	clarity
,	,	,
into	IN	into
what	WP	what
our	PP$	our
future	NN	future
might	MD	might
look	VB	look
like	IN	like
in	IN	in
a	DT	a
changing	VBG	change
climate	NN	climate
and	CC	and
what	WP	what
that	WDT	that
could	MD	could
mean	VB	mean
for	IN	for
our	PP$	our
health	NN	health
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
a	DT	a
related	JJ	related
aspect	NN	aspect
,	,	,
on	IN	on
how	WRB	how
our	PP$	our
emissions	NNS	emission
of	IN	of
greenhouse	NN	greenhouse
gases	NNS	gas
from	IN	from
burning	NN	burning
of	IN	of
fossil	JJ	fossil
fuels	NNS	fuel
is	VBZ	be
reducing	VBG	reduce
the	DT	the
nutritional	JJ	nutritional
quality	NN	quality
of	IN	of
our	PP$	our
food	NN	food
.	SENT	.
We	PP	we
'	POS	'
ll	JJ	<unknown>
start	NN	start
with	IN	with
the	DT	the
food	NN	food
pyramid	NN	pyramid
.	SENT	.
You	PP	you
all	RB	all
know	VBP	know
the	DT	the
food	NN	food
pyramid	NN	pyramid
.	SENT	.
We	PP	we
all	RB	all
need	VBP	need
to	TO	to
eat	VB	eat
a	DT	a
balanced	JJ	balanced
diet	NN	diet
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
get	VB	get
proteins	NNS	protein
,	,	,
we	PP	we
need	VBP	need
to	TO	to
get	VB	get
micronutrients	NNS	micronutrient
,	,	,
we	PP	we
need	VBP	need
to	TO	to
get	VB	get
vitamins	NNS	vitamin
.	SENT	.
And	CC	and
so	RB	so
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
way	NN	way
for	IN	for
us	PP	us
to	TO	to
think	VB	think
about	RB	about
how	WRB	how
to	TO	to
make	VB	make
sure	JJ	sure
we	PP	we
get	VBP	get
what	WP	what
we	PP	we
need	VBP	need
every	DT	every
day	NN	day
so	IN	so
we	PP	we
can	MD	can
grow	VB	grow
and	CC	and
thrive	VB	thrive
.	SENT	.
But	CC	but
we	PP	we
eat	VBP	eat
not	RB	not
just	RB	just
because	IN	because
we	PP	we
need	VBP	need
to	TO	to
,	,	,
we	PP	we
also	RB	also
eat	VBP	eat
for	IN	for
enjoyment	NN	enjoyment
.	SENT	.
Bread	NN	bread
,	,	,
pasta	NN	pasta
,	,	,
pizza	NN	pizza
—	:	-
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
whole	JJ	whole
range	NN	range
of	IN	of
foods	NNS	food
that	WDT	that
are	VBP	be
culturally	RB	culturally
important	JJ	important
.	SENT	.
We	PP	we
enjoy	VBP	enjoy
eating	VBG	eat
these	DT	these
.	SENT	.
And	CC	and
so	IN	so
they	PP	they
'	POS	'
re	NN	re
important	JJ	important
for	IN	for
our	PP$	our
diet	NN	diet
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
important	JJ	important
for	IN	for
our	PP$	our
cultures	NNS	culture
.	SENT	.
Carbon	NN	carbon
dioxide	NN	dioxide
has	VBZ	have
been	VBN	be
increasing	VBG	increase
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
Industrial	NP	Industrial
Revolution	NP	Revolution
,	,	,
increasing	VBG	increase
from	IN	from
about	RB	about
280	CD	@card@
parts	NNS	part
per	IN	per
million	CD	million
to	TO	to
over	RB	over
410	CD	@card@
today	NN	today
,	,	,
and	CC	and
it	PP	it
continues	VBZ	continue
to	TO	to
increase	VB	increase
.	SENT	.
The	DT	the
carbon	NN	carbon
that	IN	that
plants	NNS	plant
need	VBP	need
to	TO	to
grow	VB	grow
comes	VBZ	come
from	IN	from
this	DT	this
carbon	NN	carbon
dioxide	NN	dioxide
.	SENT	.
They	PP	they
bring	VBP	bring
it	PP	it
into	IN	into
the	DT	the
plant	NN	plant
,	,	,
they	PP	they
break	VBP	break
it	PP	it
apart	RB	apart
into	IN	into
the	DT	the
carbon	NN	carbon
itself	PP	itself
,	,	,
and	CC	and
they	PP	they
use	VBP	use
that	IN	that
to	TO	to
grow	VB	grow
.	SENT	.
They	PP	they
also	RB	also
need	VBP	need
nutrients	NNS	nutrient
from	IN	from
the	DT	the
soil	NN	soil
.	SENT	.
And	CC	and
so	RB	so
yes	RB	yes
,	,	,
carbon	NN	carbon
dioxide	NN	dioxide
is	VBZ	be
