Nobody	NN	nobody
likes	VBZ	like
to	TO	to
make	VB	make
a	DT	a
mistake	NN	mistake
.	SENT	.
And	CC	and
I	PP	I
made	VBD	make
a	DT	a
whopping	JJ	whopping
one	CD	one
.	SENT	.
And	CC	and
figuring	VBG	figure
out	RP	out
what	WP	what
I	PP	I
did	VBD	do
wrong	RB	wrong
led	VBN	lead
to	TO	to
a	DT	a
discovery	NN	discovery
that	WDT	that
completely	RB	completely
changes	VBZ	change
the	DT	the
way	NN	way
we	PP	we
think	VBP	think
about	IN	about
the	DT	the
Earth	NP	Earth
and	CC	and
Moon	NP	Moon
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
planetary	JJ	planetary
scientist	NN	scientist
,	,	,
and	CC	and
my	PP$	my
favorite	JJ	favorite
thing	NN	thing
to	TO	to
do	VB	do
is	VBZ	be
smash	VB	smash
planets	NNS	planet
together	RB	together
.	SENT	.
In	IN	in
my	PP$	my
lab	NN	lab
,	,	,
I	PP	I
can	MD	can
shoot	VB	shoot
at	IN	at
rocks	NNS	rock
using	VBG	use
cannons	NNS	cannon
like	IN	like
this	DT	this
one	CD	one
.	SENT	.
In	IN	in
my	PP$	my
experiments	NNS	experiment
,	,	,
I	PP	I
can	MD	can
generate	VB	generate
the	DT	the
extreme	JJ	extreme
conditions	NNS	condition
during	IN	during
planet	NN	planet
formation	NN	formation
.	SENT	.
And	CC	and
with	IN	with
computer	NN	computer
models	NNS	model
,	,	,
I	PP	I
can	MD	can
collide	VB	collide
whole	JJ	whole
planets	NNS	planet
together	RB	together
to	TO	to
make	VB	make
them	PP	them
grow	VB	grow
,	,	,
or	CC	or
I	PP	I
can	MD	can
destroy	VB	destroy
them	PP	them
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
understand	VB	understand
how	WRB	how
to	TO	to
make	VB	make
the	DT	the
Earth	NN	earth
and	CC	and
the	DT	the
Moon	NP	Moon
and	CC	and
why	WRB	why
the	DT	the
Earth	NN	earth
is	VBZ	be
so	RB	so
different	JJ	different
from	IN	from
other	JJ	other
planets	NNS	planet
.	SENT	.
The	DT	the
leading	VBG	lead
idea	NN	idea
for	IN	for
the	DT	the
origin	NN	origin
of	IN	of
the	DT	the
Earth	NP	Earth
and	CC	and
Moon	NP	Moon
is	VBZ	be
called	VBN	call
the	DT	the
"	``	"
giant	JJ	giant
impact	NN	impact
theory	NN	theory
.	SENT	.
"	''	"
The	DT	the
theory	NN	theory
states	VBZ	state
that	IN	that
a	DT	a
Mars-sized	JJ	Mars-sized
body	NN	body
struck	VBD	strike
the	DT	the
young	JJ	young
Earth	NN	earth
,	,	,
and	CC	and
the	DT	the
Moon	NN	moon
formed	VBN	form
from	IN	from
the	DT	the
debris	NN	debris
disk	NN	disk
around	IN	around
the	DT	the
planet	NN	planet
.	SENT	.
The	DT	the
theory	NN	theory
can	MD	can
explain	VB	explain
so	RB	so
many	JJ	many
things	NNS	thing
about	IN	about
the	DT	the
Moon	NP	Moon
,	,	,
but	CC	but
it	PP	it
has	VBZ	have
a	DT	a
huge	JJ	huge
flaw	NN	flaw
:	:	:
it	PP	it
predicts	VBZ	predict
that	IN	that
the	DT	the
Moon	NN	moon
is	VBZ	be
mostly	RB	mostly
made	VBN	make
from	IN	from
the	DT	the
Mars-sized	JJ	Mars-sized
planet	NN	planet
,	,	,
that	IN	that
the	DT	the
Earth	NN	earth
and	CC	and
the	DT	the
Moon	NP	Moon
are	VBP	be
made	VBN	make
from	IN	from
different	JJ	different
materials	NNS	material
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
not	RB	not
what	WP	what
we	PP	we
see	VBP	see
.	SENT	.
The	DT	the
Earth	NP	Earth
and	CC	and
the	DT	the
Moon	NP	Moon
are	VBP	be
actually	RB	actually
like	IN	like
identical	JJ	identical
twins	NNS	twin
.	SENT	.
The	DT	the
genetic	JJ	genetic
code	NN	code
of	IN	of
planets	NNS	planet
is	VBZ	be
written	VBN	write
in	IN	in
the	DT	the
isotopes	NNS	isotope
of	IN	of
the	DT	the
elements	NNS	element
.	SENT	.
The	DT	the
Earth	NP	Earth
and	CC	and
Moon	NP	Moon
have	VBP	have
identical	JJ	identical
isotopes	NNS	isotope
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
the	DT	the
Earth	NP	Earth
and	CC	and
Moon	NP	Moon
are	VBP	be
made	VBN	make
from	IN	from
the	DT	the
same	JJ	same
materials	NNS	material
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
strange	JJ	strange
that	IN	that
the	DT	the
Earth	NN	earth
and	CC	and
the	DT	the
Moon	NP	Moon
are	VBP	be
twins	NNS	twin
.	SENT	.
All	DT	all
of	IN	of
the	DT	the
planets	NNS	planet
are	VBP	be
made	VBN	make
from	IN	from
different	JJ	different
materials	NNS	material
,	,	,
so	RB	so
they	PP	they
all	RB	all
have	VBP	have
different	JJ	different
isotopes	NNS	isotope
,	,	,
they	PP	they
all	RB	all
have	VBP	have
their	PP$	their
own	JJ	own
genetic	JJ	genetic
code	NN	code
.	SENT	.
No	DT	no
other	JJ	other
planetary	JJ	planetary
bodies	NNS	body
have	VBP	have
the	DT	the
same	JJ	same
genetic	JJ	genetic
relationship	NN	relationship
.	SENT	.
Only	RB	only
the	DT	the
Earth	NP	Earth
and	CC	and
Moon	NP	Moon
are	VBP	be
twins	NNS	twin
.	SENT	.
When	WRB	when
I	PP	I
started	VBD	start
working	VBG	work
on	IN	on
the	DT	the
origin	NN	origin
of	IN	of
the	DT	the
Moon	NN	moon
,	,	,
there	EX	there
were	VBD	be
scientists	NNS	scientist
that	WDT	that
wanted	VBD	want
to	TO	to
reject	VB	reject
the	DT	the
whole	JJ	whole
idea	NN	idea
of	IN	of
the	DT	the
giant	JJ	giant
impact	NN	impact
.	SENT	.
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VBP	see
any	DT	any
way	NN	way
for	IN	for
this	DT	this
theory	NN	theory
to	TO	to
explain	VB	explain
the	DT	the
special	JJ	special
relationship	NN	relationship
between	IN	between
the	DT	the
Earth	NP	Earth
and	CC	and
the	DT	the
Moon	NP	Moon
.	SENT	.
We	PP	we
were	VBD	be
all	RB	all
trying	VBG	try
to	TO	to
think	VB	think
of	IN	of
new	JJ	new
ideas	NNS	idea
.	SENT	.
The	DT	the
problem	NN	problem
was	VBD	be
,	,	,
there	RB	there
weren	NNS	<unknown>
'	POS	'
t	NN	t
any	DT	any
better	JJR	good
ideas	NNS	idea
.	SENT	.
All	DT	all
of	IN	of
the	DT	the
other	JJ	other
ideas	NNS	idea
had	VBD	have
even	RB	even
bigger	JJR	big
flaws	NNS	flaw
.	SENT	.
So	RB	so
we	PP	we
were	VBD	be
trying	VBG	try
to	TO	to
rescue	VB	rescue
the	DT	the
giant	JJ	giant
impact	NN	impact
theory	NN	theory
.	SENT	.
A	DT	a
young	JJ	young
scientist	NN	scientist
in	IN	in
my	PP$	my
group	NN	group
suggested	VBD	suggest
that	IN	that
we	PP	we
try	VBP	try
changing	VBG	change
the	DT	the
spin	NN	spin
of	IN	of
the	DT	the
giant	JJ	giant
impact	NN	impact
.	SENT	.
Maybe	RB	maybe
making	VBG	make
the	DT	the
Earth	NP	Earth
spin	NN	spin
faster	RBR	faster
could	MD	could
mix	VB	mix
more	JJR	more
material	NN	material
and	CC	and
explain	VB	explain
the	DT	the
Moon	NN	moon
.	SENT	.
The	DT	the
Mars-sized	JJ	Mars-sized
impactor	NN	impactor
had	VBD	have
been	VBN	be
chosen	VBN	choose
because	IN	because
it	PP	it
could	MD	could
make	VB	make
the	DT	the
Moon	NN	moon
and	CC	and
make	VB	make
the	DT	the
length	NN	length
of	IN	of
Earth	NP	Earth
'	POS	'
s	NN	S
day	NN	day
.	SENT	.
People	NNS	people
really	RB	really
liked	VBD	like
that	DT	that
part	NN	part
of	IN	of
the	DT	the
model	NN	model
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
something	NN	something
else	RB	else
determined	VBD	determine
the	DT	the
length	NN	length
of	IN	of
Earth	NP	Earth
'	POS	'
s	NN	S
day	NN	day
?	SENT	?
Then	RB	then
there	EX	there
would	MD	would
be	VB	be
many	JJ	many
more	RBR	more
possible	JJ	possible
giant	JJ	giant
impacts	NNS	impact
that	WDT	that
could	MD	could
make	VB	make
the	DT	the
Moon	NN	moon
.	SENT	.
I	PP	I
was	VBD	be
curious	JJ	curious
about	IN	about
what	WP	what
could	MD	could
happen	VB	happen
,	,	,
so	RB	so
I	PP	I
tried	VBD	try
simulating	VBG	simulate
faster-spinning	VBG	faster-spin
giant	JJ	giant
impacts	NNS	impact
,	,	,
and	CC	and
I	PP	I
found	VBD	find
that	IN	that
it	PP	it
is	VBZ	be
possible	JJ	possible
to	TO	to
make	VB	make
a	DT	a
disk	NN	disk
out	RP	out
of	IN	of
the	DT	the
same	JJ	same
mixture	NN	mixture
of	IN	of
materials	NNS	material
as	IN	as
the	DT	the
planet	NN	planet
.	SENT	.
We	PP	we
were	VBD	be
pretty	RB	pretty
excited	VBN	excite
.	SENT	.
Maybe	RB	maybe
this	DT	this
was	VBD	be
the	DT	the
way	NN	way
to	TO	to
explain	VB	explain
the	DT	the
Moon	NN	moon
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
,	,	,
we	PP	we
also	RB	also
found	VBD	find
that	IN	that
that	DT	that
'	''	'
s	NNS	<unknown>
just	RB	just
not	RB	not
very	RB	very
likely	JJ	likely
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
time	NN	time
,	,	,
the	DT	the
disk	NN	disk
is	VBZ	be
different	JJ	different
from	IN	from
the	DT	the
planet	NN	planet
,	,	,
and	CC	and
it	PP	it
looked	VBD	look
like	IN	like
making	VBG	make
our	PP$	our
Moon	NN	moon
this	DT	this
way	NN	way
would	MD	would
be	VB	be
an	DT	an
astronomical	JJ	astronomical
coincidence	NN	coincidence
,	,	,
and	CC	and
it	PP	it
was	VBD	be
just	RB	just
hard	JJ	hard
for	IN	for
everyone	NN	everyone
to	TO	to
accept	VB	accept
the	DT	the
idea	NN	idea
that	IN	that
the	DT	the
Moon	NP	Moon
'	POS	'
s	JJ	<unknown>
special	JJ	special
connection	NN	connection
to	TO	to
Earth	NP	Earth
was	VBD	be
an	DT	an
accident	NN	accident
.	SENT	.
The	DT	the
giant	JJ	giant
impact	NN	impact
theory	NN	theory
was	VBD	be
still	RB	still
in	IN	in
trouble	NN	trouble
,	,	,
and	CC	and
we	PP	we
were	VBD	be
still	RB	still
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
make	VB	make
the	DT	the
Moon	NN	moon
.	SENT	.
Then	RB	then
came	VBD	come
the	DT	the
day	NN	day
when	WRB	when
I	PP	I
realized	VBD	realize
my	PP$	my
mistake	NN	mistake
.	SENT	.
My	PP$	my
student	NN	student
and	CC	and
I	PP	I
were	VBD	be
looking	VBG	look
at	IN	at
the	DT	the
data	NNS	datum
from	IN	from
these	DT	these
fast-spinning	JJ	fast-spinning
giant	NN	giant
impacts	NNS	impact
.	SENT	.
On	IN	on
that	DT	that
day	NN	day
,	,	,
we	PP	we
weren	NNS	<unknown>
'	POS	'
t	NN	t
actually	RB	actually
thinking	VBG	think
about	IN	about
the	DT	the
Moon	NN	moon
,	,	,
we	PP	we
were	VBD	be
looking	VBG	look
at	IN	at
the	DT	the
planet	NN	planet
.	SENT	.
The	DT	the
planet	NN	planet
gets	VBZ	get
super-hot	NN	<unknown>
and	CC	and
partially	RB	partially
vaporized	VBN	vaporize
from	IN	from
the	DT	the
energy	NN	energy
of	IN	of
the	DT	the
impact	NN	impact
.	SENT	.
But	CC	but
the	DT	the
data	NNS	datum
didn	NN	<unknown>
'	POS	'
t	NN	t
look	NN	look
like	IN	like
a	DT	a
planet	NN	planet
.	SENT	.
It	PP	it
looked	VBD	look
really	RB	really
strange	JJ	strange
.	SENT	.
The	DT	the
planet	NN	planet
was	VBD	be
weirdly	RB	weirdly
connected	VBN	connect
to	TO	to
the	DT	the
disk	NN	disk
.	SENT	.
I	PP	I
got	VBD	get
that	IN	that
super-excited	JJ	super-excited
feeling	NN	feeling
when	WRB	when
something	NN	something
really	RB	really
wrong	RB	wrong
might	MD	might
be	VB	be
something	NN	something
really	RB	really
interesting	JJ	interesting
.	SENT	.
In	IN	in
all	DT	all
of	IN	of
my	PP$	my
calculations	NNS	calculation
,	,	,
I	PP	I
had	VBD	have
assumed	VBN	assume
there	EX	there
was	VBD	be
a	DT	a
planet	NN	planet
