They they
you you
? ?
Thank thank
you you
. .
Actually actually
, ,
you you
know know
what what
? ?
Before before
I i
start start
, ,
I i
want want
to to
ask ask
you you
a a
question question
. .
Raise raise
your your
hand hand
if if
you you
have have
ever ever
seen see
a a
movie movie
or or
read read
a a
story story
that that
has have
a a
big big
bad bad
wolf wolf
in in
it it
. .
Raise raise
your your
hand hand
. .
All all
of of
us us
. .
Right right
? ?
When when
we we
' '
re re
kids kid
, ,
it it
' '
s s
Little little
Red red
Riding riding
Hood hood
, ,
Three three
Little little
Pigs pig
. .
Even even
films film
like like
Frozen frozen
and and
Beauty beauty
and and
the the
Beast beast
. .
As as
we we
age age
, ,
we we
see see
scary scary
werewolf werewolf
movies movie
or or
hear hear
phrases phrase
like like
Witch witch
kill kill
me me
when when
I i
hear hear
them them
a a
wolf wolf
in in
sheep sheep
' '
s s
clothing clothing
or or
thrown throw
to to
the the
wolves wolf
. .
These these
constant constant
cultural cultural
images image
in in
our our
lives life
portray portray
the the
wolf wolf
as as
something something
to to
be be
feared fear
. .
And and
if if
we we
fear fear
something something
, ,
we we
don don
' '
t t
want want
to to
save save
it it
. .
But but
I i
started start
to to
suspect suspect
from from
a a
young young
age age
that that
what what
I i
was be
hearing hear
about about
wolves wolf
wasn wasn
' '
t t
right right
. .
You you
see see
, ,
I i
grew grow
up up
in in
Missouri missouri
' '
s s
woods wood
, ,
playing play
in in
streams stream
, ,
climbing climb
trees tree
, ,
fishing fishing
with with
my my
dad dad
. .
I i
was be
always always
out out
exploring explore
nature nature
. .
I i
felt feel
safe safe
there there
and and
my my
time time
in in
the the
woods wood
. .
I i
actually actually
kind kind
of of
fell fall
in in
love love
with with
animals animal
that that
others other
tended tend
to to
shy shy
away away
from from
or or
even even
fear fear
. .
Snakes snake
, ,
frogs frog
, ,
spiders spider
, ,
you you
name name
it it
. .
The the
underdogs underdog
of of
the the
natural natural
world world
. .
I i
don don
' '
t t
know know
why why
I i
ended end
up up
falling fall
in in
love love
with with
these these
types type
of of
animals animal
. .
I i
was be
drawn draw
to to
them them
, ,
and and
the the
only only
thing thing
I i
can can
think think
of of
is be
that that
I i
was be
a a
bit bit
of of
an an
outcast outcast
myself myself
when when
I i
was be
younger young
. .
Shall shall
I i
give give
you you
an an
example example
? ?
I i
remember remember
vividly vividly
in in
sixth sixth
grade grade
when when
our our
class class
was be
tasked task
with with
the the
assignment assignment
to to
present present
on on
what what
we we
wanted want
to to
be be
when when
we we
grew grow
up up
. .
