Many many
of of
the the
mental mental
health health
struggles struggle
that that
we we
see see
in in
our our
world world
come come
from from
a a
loss loss
of of
connection connection
, ,
the the
loss loss
of of
connection connection
to to
ourselves ourselves
, ,
to to
each each
other other
, ,
to to
our our
communities community
, ,
to to
the the
Earth earth
. .
This this
loss loss
of of
connection connection
is be
so so
profound profound
that that
the the
United united
States states
Surgeon surgeon
General general
has have
called call
it it
a a
public public
health health
crisis crisis
. .
Thich thich
Nhat nhat
Hanh hanh
said say
, ,
we we
are be
all all
connected connect
. .
When when
you you
touch touch
one one
thing thing
, ,
you you
are be
touching touch
everything everything
. .
Whatever whatever
we we
do do
has have
an an
effect effect
on on
others other
. .
Therefore therefore
, ,
we we
must must
learn learn
to to
live live
mindfully mindfully
, ,
to to
touch touch
the the
peace peace
inside inside
each each
of of
us us
. .
Psilocybin psilocybin
, ,
the the
active active
ingredient ingredient
in in
so-called so-called
" "
magic magic
mushrooms mushroom
, ,
" "
is be
an an
emerging emerge
treatment treatment
that that
is be
about about
reconnection reconnection
. .
As as
a a
psychiatrist psychiatrist
at at
the the
Huntsman huntsman
Mental mental
Health health
Institute institute
, ,
I i
have have
been be
running run
clinical clinical
trials trial
with with
psilocybin-assisted psilocybin-assisted
therapy therapy
, ,
working work
specifically specifically
with with
two two
groups group
: :
patients patient
dealing deal
with with
symptoms symptom
of of
depression depression
associated associate
with with
a a
cancer cancer
diagnosis diagnosis
; ;
and and
frontline frontline
health-care health-care
workers worker
experiencing experience
burnout burnout
and and
depression depression
related relate
to to
the the
COVID-19 covid-19
pandemic pandemic
. .
These these
two two
groups group
appear appear
very very
different different
on on
the the
surface surface
, ,
but but
their their
suffering suffering
is be
related relate
to to
a a
loss loss
of of
connection connection
. .
Each each
person person
dealing deal
with with
a a
cancer cancer
diagnosis diagnosis
is be
unique unique
. .
However however
, ,
patients patient
face face
some some
common common
challenges challenge
: :
the the
uncertainty uncertainty
, ,
the the
treatments treatment
, ,
the the
impact impact
on on
family family
and and
friends friend
. .
This this
can can
result result
in in
symptoms symptom
of of
loss loss
, ,
grief grief
, ,
depression depression
, ,
anger anger
, ,
feelings feeling
of of
hopelessness hopelessness
and and
isolation isolation
. .
The the
COVID-19 covid-19
pandemic pandemic
has have
heightened heighten
burnout burnout
in in
frontline frontline
health health
care care
providers provider
who who
feel feel
disconnected disconnect
from from
their their
work work
, ,
disconnected disconnect
from from
their their
patients patient
and and
their their
suffering suffering
. .
They they
feel feel
overwhelmed overwhelmed
and and
inadequate inadequate
. .
There there
are be
clear clear
distinctions distinction
between between
these these
two two
groups group
, ,
but but
there there
is be
overlap overlap
in in
this this
sense sense
of of
disconnection disconnection
. .
Psilocybin psilocybin
is be
considered consider
a a
classic classic
psychedelic psychedelic
, ,
one one
of of
a a
group group
of of
chemicals chemical
that that
acts act
on on
the the
serotonin serotonin
system system
in in
the the
brain brain
. .
The the
term term
" "
psychedelic psychedelic
" "
comes come
from from
the the
combination combination
of of
the the
Greek greek
words word
psyche psyche
, ,
or or
mind mind
, ,
and and
delos delos
, ,
to to
reveal reveal
or or
make make
manifest manifest
. .
So so
mind mind
manifesting manifest
. .
Or or
expressing express
this this
idea idea
that that
these these
chemicals chemical
can can
reveal reveal
aspects aspect
of of
the the
mind mind
that that
we we
otherwise otherwise
don don
' '
t t
have have
access access
to to
. .
These these
chemicals chemical
cause cause
significant significant
changes change
to to
consciousness consciousness
, ,
including include
experiences experience
that that
are be
referred refer
to to
as as
mystical mystical
or or
spiritual spiritual
in in
nature nature
, ,
experiences experience
characterized characterize
by by
a a
deep deep
sense sense
of of
connection connection
to to
one one
' '
s s
self self
, ,
to to
others other
, ,
and and
to to
the the
world world
. .
And and
in in
recent recent
years year
, ,
there there
has have
been be
a a
renewed renewed
interest interest
in in
the the
study study
of of
these these
compounds compound
for for
therapeutic therapeutic
purposes purpose
. .
Using use
psilocybin psilocybin
in in
the the
context context
of of
a a
clinical clinical
trial trial
looks look
quite quite
different different
than than
it it
does do
in in
other other
settings setting
, ,
such such
as as
recreational recreational
use use
. .
For for
one one
thing thing
, ,
while while
classic classic
psychedelics psychedelics
are be
remarkably remarkably
safe safe
from from
a a
medical medical
standpoint standpoint
and and
don don
' '
t t
have have
the the
same same
potential potential
for for
abuse abuse
as as
other other
substances substance
, ,
they they
nonetheless nonetheless
cause cause
powerful powerful
changes change
to to
consciousness consciousness
that that
can can
present present
risk risk
. .
In in
particular particular
, ,
for for
people people
with with
a a
risk risk
of of
psychosis psychosis
or or
mania mania
. .
This this
is be
not not
a a
treatment treatment
for for
everyone everyone
. .
Our our
studies study
employ employ
a a
rigorous rigorous
screening screening
process process
to to
ensure ensure
that that
this this
is be
safe safe
, ,
both both
medically medically
and and
psychiatrically psychiatrically
. .
We we
also also
embed embed
the the
dosing dose
session session
within within
a a
therapeutic therapeutic
protocol protocol
with with
preparation preparation
and and
what what
we we
call call
integration integration
sessions session
following follow
. .
There there
are be
two two
qualities quality
to to
this this
form form
of of
therapy therapy
that that
I i
' '
d d
like like
to to
emphasize emphasize
that that
distinguish distinguish
this this
intervention intervention
from from
anything anything
else else
in in
psychiatry psychiatry
. .
The the
first first
is be
the the
importance importance
of of
the the
experience experience
itself itself
. .
A a
reliable reliable
finding finding
across across
multiple multiple
studies study
with with
psilocybin psilocybin
is be
that that
specific specific
kinds kind
of of
changes change
to to
consciousness consciousness
, ,
often often
with with
a a
single single
session session
, ,
