Hello hello
, ,
Manchester manchester
. .
I i
' '
m m
so so
happy happy
to to
be be
here here
. .
My my
name name
is be
Sophia sophia
Wallace wallace
. .
I i
' '
m m
an an
artist artist
. .
And and
I i
' '
m m
here here
today today
to to
share share
with with
you you
a a
project project
that that
I i
hope hope
will will
empower empower
you you
personally personally
, ,
and and
by by
extension extension
those those
that that
you you
love love
, ,
especially especially
if if
they they
have have
a a
clitoris clitoris
. .
To to
make make
this this
work work
, ,
I i
have have
to to
talk talk
about about
independent independent
female female
desire desire
. .
I i
have have
to to
speak speak
about about
a a
universal universal
taboo taboo
- -
female female
genitals genitals
. .
This this
is be
not not
easy easy
. .
It it
taints taint
the the
speaker speaker
. .
I i
want want
to to
thank thank
TEDxSalford tedxsalford
for for
having have
me me
here here
and and
hosting host
this this
conversation conversation
. .
All all
bodies body
are be
entitled entitle
to to
experience experience
the the
pleasure pleasure
that that
they they
are be
capable capable
of of
. .
This this
is be
a a
core core
pillar pillar
of of
cliteracy cliteracy
. .
In in
making make
this this
work work
, ,
I i
had have
to to
say say
that that
the the
clitoris clitoris
, ,
first first
, ,
as as
an an
organ organ
, ,
has have
a a
right right
to to
being be
, ,
and and
that that
this this
right right
is be
not not
just just
about about
not not
being be
cut cut
off off
. .
Sadly sadly
, ,
to to
this this
day day
, ,
over over
a a
140 @card@
million million
women woman
have have
had have
their their
external external
clitorises clitoris
cut cut
off off
. .
This this
doesn doesn
' '
t t
make make
it it
into into
the the
news news
very very
often often
, ,
and and
this this
doesn doesn
' '
t t
come come
up up
in in
foreign foreign
policy policy
discussion discussion
. .
So so
number number
one one
, ,
the the
clitoris clitoris
has have
a a
right right
to to
exist exist
, ,
free free
of of
harm harm
, ,
like like
any any
other other
organ organ
. .
But but
secondly secondly
, ,
I i
argue argue
with with
cliteracy cliteracy
that that
the the
clitoris clitoris
has have
a a
right right
to to
pleasure pleasure
, ,
and and
this this
is be
part part
of of
its its
primary primary
right right
of of
being be
. .
How how
is be
it it
possible possible
that that
we we
landed land
on on
the the
Moon moon
and and
walked walk
around around
29 @card@
years year
before before
we we
discovered discover
the the
anatomy anatomy
of of
the the
clitoris clitoris
? ?
We we
actually actually
cloned clon
sheep sheep
, ,
identified identify
the the
Higgs higgs
boson boson
particle particle
, ,
and and
only only
discovered discover
the the
clitoris clitoris
29 @card@
years year
ago ago
. .
Unfortunately unfortunately
, ,
this this
discovery discovery
has have
not not
been be
adopted adopt
, ,
so so
most most
people people
don don
' '
t t
know know
the the
actual actual
anatomy anatomy
of of
the the
clitoris clitoris
. .
The the
clitoris clitoris
is be
not not
a a
button button
. .
It it
is be
an an
iceberg iceberg
. .
Like like
many many
in in
the the
room room
who who
are be
hearing hear
this this
for for
the the
first first
time time
, ,
I i
was be
shocked shock
to to
find find
out out
that that
I i
didn didn
' '
t t
know know
the the
actual actual
anatomy anatomy
of of
half half
of of
the the
population population
, ,
that that
I i
didn didn
' '
t t
know know
my my
own own
anatomy anatomy
. .
In in
fact fact
, ,
the the
clitoris clitoris
is be
not not
a a
button button
, ,
it it
is be
like like
an an
iceberg iceberg
. .
Most most
of of
the the
organ organ
is be
internal internal
. .
This this
slide slide
is be
an an
anatomical anatomical
example example
of of
the the
penis penis
and and
the the
clitoris clitoris
side side
by by
side side
. .
Now now
, ,
we we
' '
ve ve
all all
been be
taught teach
that that
male male
bodies body
and and
female female
bodies body
are be
opposites opposite
: :
the the
male male
body body
sort sort
of of
sticks stick
out out
, ,
the the
female female
body body
is be
solely solely
internal internal
. .
Well well
, ,
in in
fact fact
, ,
there there
' '
re re
so so
many many
similarities similarity
between between
the the
penis penis
and and
the the
clitoris clitoris
. .
So so
, ,
if if
you you
' '
ll ll
see see
, ,
both both
the the
glans glans
and and
- -
The the
glans glans
of of
the the
penis penis
and and
the the
glans glans
of of
the the
clitoris clitoris
- -
both both
organs organ
have have
a a
glans glans
. .
There there
are be
3000 @card@
nerves nerve
in in
the the
glans glans
of of
the the
penis penis
. .
There there
are be
8000 @card@
nerves nerve
in in
the the
glans glans
of of
the the
clitoris clitoris
. .
Both both
organs organ
have have
a a
corpus corpus
cavernosum cavernosum
. .
Both both
organs organ
have have
crura crus
, ,
like like
two two
little little
legs leg
or or
wings wing
. .
Both both
organs organ
have have
bulbs bulb
of of
erectile erectile
tissue tissue
. .
Both both
organs organ
get get
erect erect
. .
The the
penis penis
is be
outside outside
of of
the the
body body
mostly mostly
, ,
and and
the the
clitoris clitoris
is be
inside inside
the the
body body
mostly mostly
. .
That that
' '
s s
the the
biggest big
difference difference
. .
In in
fact fact
, ,
they they
' '
re re
very very
similar similar
. .
Actually actually
, ,
fetuses fetus
have have
the the
same same
tissue tissue
, ,
and and
in in
boys boy
it it
develops develop
as as
a a
penis penis
, ,
in in
girls girl
it it
develops develop
as as
a a
clitoris clitoris
. .
Some some
people people
have have
small small
penises penis
, ,
some some
people people
have have
very very
large large
clitorises clitoris
. .
If if
one one
has have
a a
clitoris clitoris
and and
takes take
testosterone testosterone
, ,
their their
clitoris clitoris
can can
expand expand
. .
What what
I i
' '
m m
saying saying
is be
that that
these these
organs organ
are be
actually actually
quite quite
similar similar
. .
And and
, ,
while while
we we
are be
different different
, ,
while while
we we
are be
unique unique
as as
men man
and and
women woman
, ,
our our
differences difference
are be
not not
a a
sign sign
of of
opposition opposition
. .
In in
fact fact
, ,
we we
' '
re re
related relate
to to
each each
other other
, ,
we we
' '
re re
connected connect
. .
And and
that that
' '
s s
an an
exciting exciting
fact fact
. .
With with
Cliteracy cliteracy
, ,
I i
started start
with with
language language
. .
Language language
has have
been be
a a
place place
that that
so so
much much
of of
sort sort
of of
the the
division division
of of
men man
and and
women woman
and and
the the
subjugation subjugation
of of
women woman
has have
been be
entrenched entrench
with with
the the
language language
itself itself
. .
' '
Vagina vagina
' '
- -
the the
single single
most most
misused misuse
word word
in in
the the
English english
language language
. .
This this
is be
one one
of of
the the
laws law
of of
Cliteracy cliteracy
. .
It it
' '
s s
intentionally intentionally
hyperbolic hyperbolic
. .
But but
unfortunately unfortunately
, ,
it it
' '
s s
more more
true true
than than
I i
wish wish
it it
was be
. .
' '
Vagina vagina
' '
is be
a a
Latin latin
word word
. .
It it
means mean
' '
sword sword
holder holder
' '
. .
Vagina vagina
, ,
medically medically
, ,
technically technically
, ,
only only
includes include
the the
opening opening
. .
This this
term term
is be
used use
almost almost
universally universally
in in
doctor doctor
' '
s s
offices office
. .
It it
' '
s s
also also
used use
in in
feminism feminism
to to
sort sort
of of
advocate advocate
. .
But but
it it
' '
s s
a a
term term
that that
ignores ignore
the the
clitoris clitoris
, ,
which which
is be
the the
female female
sexual sexual
organ organ
. .
And and
secondly secondly
, ,
it it
reduces reduce
the the
female female
body body
to to
being be
a a
receptacle receptacle
, ,
a a
sword sword
holder holder
. .
If if
you you
want want
to to
use use
a a
term term
that that
addresses address
all all
the the
female female
genitals genitals
, ,
both both
the the
reproductive reproductive
and and
the the
sexual sexual
parts part
of of
it it
, ,
the the
word word
is be
' '
vulva vulva
' '
. .
This this
is be
a a
word word
that that
almost almost
no no
one one
uses use
, ,
but but
this this
is be
the the
word word
if if
you you
want want
to to
talk talk
about about
female female
genitals genitals
- -
vulva vulva
. .
If if
you you
want want
to to
talk talk
about about
pleasure pleasure
, ,
' '
clitoris clitoris
' '
is be
the the
term term
. .
The the
clitoris clitoris
is be
both both
internal internal
and and
external external
. .
So so
, ,
when when
the the
clitoris clitoris
is be
engaged engage
, ,
internal internal
stimulation stimulation
feels feel
great great
. .
If if
the the
clitoris clitoris
is be
not not
engaged engage
, ,
it it
can can
feel feel
not not
great great
, ,
or or
it it
can can
feel feel
painful painful
. .
It it
' '
s s
all all
about about
what what
' '
s s
happening happen
with with
the the
clitoris clitoris
. .
If if
it it
was be
about about
the the
vagina vagina
, ,
there there
would would
be be
so so
many many
nerves nerve
that that
childbirth childbirth
would would
be be
impossible impossible
. .
There there
' '
re re
very very
few few
nerves nerve
in in
the the
vagina vagina
. .
All all
of of
the the
nerves nerve
inside inside
are be
from from
the the
internal internal
clitoris clitoris
, ,
which which
gets get
stimulated stimulate
both both
from from
external external
and and
internal internal
portions portion
. .
With with
Cliteracy cliteracy
I i
felt feel
that that
- -
Yes yes
, ,
language language
has have
been be
this this
way way
of of
restricting restrict
and and
confining confine
the the
female female
body body
, ,
but but
if if
language language
can can
do do
these these
thing thing
, ,
it it
can can
also also
liberate liberate
, ,
it it
can can
also also
be be
expansive expansive
. .
It it
' '
s s
also also
an an
opportunity opportunity
to to
come come
together together
. .
And and
so so
I i
sought seek
to to
use use
language language
as as
a a
way way
to to
shift shift
the the
discourse discourse
and and
create create
new new
space space
and and
more more
alignment alignment
. .
With with
Cliteracy cliteracy
, ,
I i
first first
began begin
with with
the the
term term
, ,
and and
then then
a a
definition definition
of of
the the
term term
, ,
and and
then then
an an
eye eye
chart chart
. .
The the
aesthetics aesthetics
of of
this this
project project
were be
also also
extremely extremely
important important
and and
intentional intentional
. .
I i
avoided avoid
any any
kind kind
of of
pink pink
and and
purple purple
; ;
I i
didn didn
' '
t t
use use
flowers flower
; ;
I i
didn didn
' '
t t
use use
any any
fabric fabric
or or
yarn yarn
, ,
anything anything
soft soft
and and
fluffy fluffy
. .
I i
also also
didn didn
' '
t t
make make
any any
small small
works work
that that
you you
