Let let
me me
share share
with with
you you
today today
an an
original original
discovery discovery
. .
But but
I i
want want
to to
tell tell
it it
to to
you you
the the
way way
it it
really really
happened happen
â â
not not
the the
way way
I i
present present
it it
in in
a a
scientific scientific
meeting meeting
, ,
or or
the the
way way
you you
' '
d d
read read
it it
in in
a a
scientific scientific
paper paper
. .
It it
' '
s s
a a
story story
about about
beyond beyond
biomimetics biomimetic
, ,
to to
something something
I i
' '
m m
calling call
biomutualism biomutualism
. .
I i
define define
that that
as as
an an
association association
between between
biology biology
and and
another another
discipline discipline
, ,
where where
each each
discipline discipline
reciprocally reciprocally
advances advance
the the
other other
, ,
but but
where where
the the
collective collective
discoveries discovery
that that
emerge emerge
are be
beyond beyond
any any
single single
field field
. .
Now now
, ,
in in
terms term
of of
biomimetics biomimetic
, ,
as as
human human
technologies technology
take take
on on
more more
of of
the the
characteristics characteristic
of of
nature nature
, ,
nature nature
becomes become
a a
much much
more more
useful useful
teacher teacher
. .
Engineering engineering
can can
be be
inspired inspire
by by
biology biology
by by
using use
its its
principles principle
and and
analogies analogy
when when
they they
' '
re re
advantageous advantageous
, ,
but but
then then
integrating integrate
that that
with with
the the
best well
human human
engineering engineering
, ,
ultimately ultimately
to to
make make
something something
actually actually
better well
than than
nature nature
. .
Now now
, ,
being be
a a
biologist biologist
, ,
I i
was be
very very
curious curious
about about
this this
. .
These these
are be
gecko gecko
toes toe
. .
And and
we we
wondered wonder
how how
they they
use use
these these
bizarre bizarre
toes toe
to to
climb climb
up up
a a
wall wall
so so
quickly quickly
. .
We we
discovered discover
it it
. .
And and
what what
we we
found find
was be
that that
they they
have have
leaf-like leaf-like
structures structure
on on
their their
toes toe
, ,
with with
millions million
of of
tiny tiny
hairs hair
that that
look look
like like
a a
rug rug
, ,
and and
each each
of of
those those
hairs hair
has have
the the
worst bad
case case
of of
split-ends split-ends
possible possible
: :
about about
100 @card@
to to
1000 @card@
split split
ends end
that that
are be
nano-size nano-size
. .
And and
the the
individual individual
has have
2 @card@
billion billion
of of
these these
nano-size nano-size
split split
ends end
. .
They they
don don
' '
t t
stick stick
by by
Velcro velcro
or or
suction suction
or or
glue glue
. .
They they
actually actually
stick stick
by by
intermolecular intermolecular
forces force
alone alone
, ,
van van
der der
Waals waals
forces force
. .
And and
I i
' '
m m
really really
pleased please
to to
report report
to to
you you
today today
that that
the the
first first
synthetic synthetic
self-cleaning self-cleaning
, ,
dry dry
adhesive adhesive
has have
been be
made make
. .
From from
the the
simplest simple
version version
in in
nature nature
, ,
one one
branch branch
, ,
my my
engineering engineering
collaborator collaborator
, ,
Ron ron
Fearing fearing
, ,
at at
Berkeley berkeley
, ,
had have
made make
the the
first first
synthetic synthetic
version version
. .
And and
so so
has have
my my
other other
incredible incredible
collaborator collaborator
, ,
Mark mark
Cutkosky cutkosky
, ,
at at
Stanford stanford
â â
he he
made make
much much
larger large
hairs hair
than than
the the
gecko gecko
, ,
but but
used use
the the
same same
general general
principles principle
. .
And and
here here
is be
its its
first first
test test
. .
That that
' '
s s
Kellar kellar
Autumn autumn
, ,
my my
former former
Ph ph
. .
D d
. .
student student
, ,
professor professor
now now
at at
Lewis lewis
and and
Clark clark
, ,
literally literally
giving give
his his
first-born first-born
child child
up up
for for
this this
test test
. .
More more
recently recently
, ,
this this
happened happen
. .
Man man
: :
This this
the the
first first
time time
someone someone
has have
actually actually
climbed climb
with with
it it
. .
Narrator narrator
: :
Lynn lynn
Verinsky verinsky
, ,
a a
professional professional
climber climber
, ,
who who
appeared appear
to to
be be
brimming brim
with with
confidence confidence
. .
Lynn lynn
Verinsky verinsky
: :
Honestly honestly
, ,
it it
' '
s s
going go
to to
be be
perfectly perfectly
safe safe
. .
It it
will will
be be
perfectly perfectly
safe safe
. .
Man man
: :
How how
do do
you you
know know
? ?
Lynn lynn
Verinsky verinsky
: :
Because because
of of
liability liability
insurance insurance
. .
Narrator narrator
: :
With with
a a
mattress mattress
below below
and and
attached attach
to to
a a
safety safety
rope rope
, ,
Lynn lynn
began begin
her her
60-foot 60-foot
ascent ascent
. .
Lynn lynn
made make
it it
to to
the the
top top
in in
a a
perfect perfect
pairing pair
of of
Hollywood hollywood
and and
science science
. .
Man man
: :
So so
you you
' '
re re
the the
first first
human human
being be
to to
officially officially
emulate emulate
a a
gecko gecko
. .
Lynn lynn
Verinsky verinsky
: :
Ha ha
! !
Wow wow
. .
And and
what what
a a
privilege privilege
that that
has have
been be
. .
Robert robert
Full full
: :
That that
' '
s s
what what
she she
did do
on on
rough rough
surfaces surface
. .
But but
she she
actually actually
used use
these these
on on
smooth smooth
surfaces surface
â â
two two
of of
them them
â â
to to
climb climb
up up
, ,
and and
pull pull
herself herself
up up
. .
And and
you you
can can
try try
this this
in in
the the
lobby lobby
, ,
and and
look look
at at
the the
gecko-inspired gecko-inspired
material material
. .
Now now
the the
problem problem
with with
the the
robots robot
doing do
this this
is be
that that
they they
can can
' '
t t
get get
unstuck unstick
, ,
with with
the the
material material
. .
This this
is be
the the
gecko gecko
' '
s s
solution solution
. .
They they
actually actually
peel peel
their their
toes toe
away away
from from
the the
surface surface
, ,
at at
high high
rates rate
, ,
as as
they they
run run
up up
the the
wall wall
. .
Well well
I i
' '
m m
really really
excited excite
today today
to to
show show
you you
the the
newest new
version version
of of
a a
robot robot
, ,
Stickybot stickybot
, ,
using use
a a
new new
hierarchical hierarchical
dry dry
adhesive adhesive
. .
Here here
is be
the the
actual actual
robot robot
. .
And and
here here
is be
what what
it it
does do
. .
And and
if if
you you
look look
, ,
you you
can can
see see
that that
it it
uses use
the the
toe toe
peeling peeling
, ,
just just
like like
the the
gecko gecko
does do
. .
If if
we we
can can
show show
some some
of of
the the
video video
, ,
you you
can can
see see
it it
climbing climb
up up
the the
wall wall
. .
There there
it it
is be
. .
And and
now now
it it
can can
go go
on on
other other
surfaces surface
because because
of of
the the
new new
adhesive adhesive
that that
the the
Stanford stanford
group group
was be
able able
to to
do do
in in
designing design
this this
incredible incredible
robot robot
. .
Oh oh
. .
One one
thing thing
I i
want want
to to
point point
out out
is be
, ,
look look
at at
Stickybot stickybot
. .
You you
see see
something something
on on
it it
. .
It it
' '
s s
not not
just just
to to
look look
like like
a a
gecko gecko
. .
It it
has have
a a
tail tail
. .
And and
just just
when when
you you
think think
you you
' '
ve ve
figured figure
out out
nature nature
, ,
this this
kind kind
of of
thing thing
happens happen
. .
The the
engineers engineer
told tell
us us
, ,
for for
the the
climbing climb
robots robot
, ,
that that
, ,
if if
they they
don don
' '
t t
have have
a a
tail tail
, ,
they they
fall fall
off off
the the
wall wall
. .
So so
what what
they they
did do
was be
they they
asked ask
us us
an an
important important
question question
. .
They they
said say
, ,
" "
Well well
, ,
it it
kind kind
of of
looks look
like like
a a
tail tail
. .
" "
Even even
though though
we we
put put
a a
passive passive
bar bar
there there
. .
" "
Do do
animals animal
use use
their their
tails tail
when when
they they
climb climb
up up
walls wall
? ?
" "
What what
they they
were be
doing do
was be
returning return
the the
favor favor
, ,
by by
giving give
