Last last
AED aed
has have
a a
very very
short short
window window
of of
time time
at at
which which
it it
' '
s s
highly highly
effective effective
. .
In in
this this
case case
â â
basically basically
, ,
we we
' '
ve ve
got get
to to
use use
it it
within within
the the
first first
10 @card@
minutes minute
. .
The the
Jedi jedi
, ,
on on
the the
other other
hand hand
, ,
have have
no no
problems problem
with with
their their
outfits outfit
. .
Those those
robes robe
open open
straight straight
up up
, ,
you you
can can
place place
the the
pads pad
right right
onto onto
the the
chest chest
â â
so so
upper- upper-
right-hand right-hand
side side
of of
the the
chest chest
, ,
lower lower
left leave
, ,
wait wait
for for
the the
unit unit
to to
determine determine
if if
it it
' '
s s
a a
shockable shockable
rhythm rhythm
and and
get get
ready ready
to to
shock shock
. .
But but
, ,
the the
Jedi jedi
do do
have have
a a
problem problem
. .
They they
have have
a a
head head
appendage appendage
issue issue
. .
And and
so so
I i
can can
be be
totally totally
clear clear
, ,
thinking think
I i
' '
m m
ready ready
to to
go go
, ,
but but
I i
' '
m m
accidentally accidentally
touching touch
a a
tentacle tentacle
and and
inadvertently inadvertently
shocking shock
myself myself
. .
So so
before before
you you
hit hit
that that
button button
, ,
make make
sure sure
you you
are be
clear clear
and and
everyone everyone
else else
is be
clear clear
. .
Going go
back back
to to
that that
stormtrooper stormtrooper
: :
If if
I i
did do
get get
that that
chest chest
plate plate
off off
in in
time time
, ,
what what
would would
you you
do do
if if
you you
suddenly suddenly
found find
there there
was be
a a
Wookiee wookiee
under under
there there
, ,
or or
possibly possibly
two two
Ewoks ewoks
? ?
Well well
, ,
lucky lucky
for for
us us
, ,
in in
the the
kit kit
there there
' '
s s
actually actually
a a
razor razor
, ,
and and
we we
can can
use use
that that
to to
shave shave
the the
chest chest
on on
the the
upper upper
right-hand right-hand
side side
and and
the the
lower low
left left
. .
Wookiees wookiees
also also
have have
another another
problem problem
. .
They they
have have
an an
accessory accessory
issue issue
. .
What what
we we
want want
to to
do do
is be
remove remove
these these
â â
anything anything
between between
the the
two two
pads pad
we we
want want
to to
remove remove
, ,
since since
it it
can can
cause cause
something something
called call
" "
arcing arc
. .
" "
For for
those those
who who
don don
' '
t t
know know
what what
arcing arc
is be
, ,
do do
you you
remember remember
the the
Emperor emperor
, ,
when when
he he
shoots shoot
electricity electricity
out out
the the
ends end
of of
his his
fingers finger
â â
that that
would would
be be
kind kind
of of
like like
arcing arc
. .
Another another
thing thing
that that
â â
Oh oh
! !
By by
the the
way way
, ,
he he
creates create
that that
by by
wearing wear
wool wool
socks sock
under under
his his
robes robe
. .
We we
can can
also also
get get
arcing arc
if if
we we
have have
an an
extremely extremely
wet wet
chest chest
. .
The the
electricity electricity
travels travel
across across
the the
surface surface
instead instead
of of
through through
the the
heart heart
. .
We we
can can
correct correct
this this
with with
the the
immortal immortal
words word
of of
Douglas douglas
Adams adams
: :
" "
Don don
' '
t t
panic panic
, ,
" "
which which
most most
of of
us us
have have
done do
today today
â â
and and
also also
always always
having have
a a
towel towel
. .
So so
, ,
good good
words word
to to
go go
by by
. .
The the
metal metal
bikini bikini
â â
unfortunately unfortunately
, ,
this this
is be
where where
panic panic
sets set
in in
â â
like like
the the
modern modern
bra bra
, ,
we we
have have
to to
make make
sure sure
we we
remove remove
, ,
because because
this this
can can
cause cause
severe severe
arcing arc
along along
with with
burns burn
. .
But but
unfortunately unfortunately
this this
opens open
up up
an an
issue issue
that that
' '
s s
almost almost
as as
controversial controversial
as as
talking talk
about about
the the
prequels prequels
. .
The the
mere mere
mention mention
of of
the the
word word
" "
nipples nipple
, ,
" "
and and
people people
get get
into into
a a
little little
bit bit
of of
a a
tizzy tizzy
. .
By by
the the
way way
, ,
that that
is be
not not
a a
nipple nipple
, ,
that that
' '
s s
a a
cupcake cupcake
. .
Chances chance
are be
, ,
if if
you you
do do
have have
to to
use use
this this
, ,
this this
is be
going go
to to
be be
on on
someone someone
you you
know know
. .
And and
remember remember
, ,
everyone everyone
has have
nipples nipple
, ,
except except
for for
Jabba jabba
. .
But but
he he
does do
love love
cupcakes cupcake
. .
Speaking speak
about about
Jabba jabba
, ,
if if
we we
do do
have have
to to
use use
an an
AED aed
on on
him him
, ,
remember remember
pad pad
placement placement
is be
the the
same same
, ,
even even
though though
he he
doesn doesn
' '
t t
have have
nipples nipple
. .
So so
it it
' '
s s
going go
to to
be be
upper upper
right-hand right-hand
side side
, ,
lower lower
left leave
. .
If if
we we
were be
going go
through through
, ,
we we
' '
re re
shocking shocking
, ,
getting get
ready ready
to to
go go
â â
after after
we we
' '
ve ve
done do
the the
shock shock
, ,
one one
of of
the the
things thing
we we
need need
to to
do do
is be
remember remember
to to
do do
compression compression
. .
The the
preferred preferred
method method
is be
30 @card@
compressions compression
and and
two two
breaths breath
in in
the the
center center
of of
the the
chest chest
, ,
between between
the the
nipples nipple
, ,
pressing press
down down
at at
least least
two two
inches inch
, ,
no no
more more
than than
two two
and and
a a
half half
, ,
at at
a a
rate rate
of of
at at
least least
100 @card@
beats beat
a a
minute minute
, ,
no no
more more
than than
120 @card@
. .
Unfortunately unfortunately
, ,
due due
to to
the the
size size
of of
Jabba jabba
' '
s s
mouth mouth
and and
also also
what what
he he
puts put
in in
said say
mouth mouth
, ,
we we
may may
not not
want want
to to
actually actually
do do
the the
mouth-to-mouth mouth-to-mouth
part part
. .
So so
instead instead
, ,
we we
can can
do do
compression-only compression-only
CPR cpr
. .
The the
way way
of of
remembering remember
the the
compression-only compression-only
part part
is be
we we
can can
actually actually
use use
the the
Imperial imperial
March march
. .
I i
would would
sing sing
it it
for for
you you
â â
Unfortunately unfortunately
, ,
that that
would would
be be
more more
something something
an an
interrogation interrogation
droid droid
would would
do do
. .
Yoda yoda
. .
Small small
little little
guy guy
, ,
like like
a a
baby baby
. .
What what
we we
do do
is be
basically basically
treat treat
him him
like like
a a
baby baby
, ,
in in
the the
sense sense
that that
we we
' '
re re
going go
to to
place place
one one
pad pad
in in
the the
center center
of of
the the
chest chest
and and
one one
in in
the the
back back
. .
If if
we we
place place
them them
both both
in in
the the
front front
, ,
they they
can can
be be
too too
close close
and and
cause cause
severe severe
arcing arc
, ,
so so
we we
want want
to to
avoid avoid
that that
. .
Hopefully hopefully
, ,
this this
helped help
to to
clarify clarify
and and
put put
some some
light light
on on
some some
of of
the the
darker dark
issues issue
of of
using use
an an
AED aed
in in
the the
Star star
Wars wars
universe universe
, ,
or or
any any
universe universe
in in
total total
. .
I i
' '
ll ll
leave leave
you you
with with
one one
point point
. .
Remember remember
, ,
if if
you you
do do
find find
yourself yourself
dealing deal
with with
a a
Wookiee wookiee
, ,
do do
not not
shave shave
the the
entire entire
Wookiee wookiee
. .
This this
takes take
way way
too too
much much
time time
, ,
and and
it it
only only
pisses piss
them them
off off
. .
Thank thank
you you
very very
much much
. .
