When when
I i
was be
six six
, ,
my my
father father
told tell
me me
that that
I i
was be
made make
out out
of of
tiny tiny
cells cell
filled fill
with with
chromosomes chromosome
that that
would would
control control
my my
fate fate
. .
I i
thought think
, ,
" "
That that
' '
s s
amazing amazing
. .
There there
are be
so so
many many
mysterious mysterious
things thing
in in
there there
, ,
and and
I i
want want
to to
know know
more more
. .
" "
I i
read read
about about
Galileo galileo
and and
Darwin darwin
, ,
and and
I i
became become
a a
scientist scientist
. .
At at
that that
time time
, ,
hardly hardly
anything anything
was be
known know
. .
We we
did do
not not
yet yet
know know
that that
the the
chemical chemical
elements element
came come
from from
exploded explode
stars star
, ,
that that
everything everything
you you
see see
around around
you you
was be
recycled recycle
from from
inside inside
of of
stars star
. .
So so
we we
did do
not not
know know
we we
are be
recycled recycled
stars star
. .
But but
we we
set set
off off
to to
measure measure
the the
Big big
Bang bang
, ,
and and
we we
measured measure
the the
map map
of of
the the
cosmic cosmic
microwave microwave
background background
radiation radiation
, ,
using use
millimeter millimeter
waves wave
and and
it it
' '
s s
the the
entire entire
sky sky
wrapped wrap
around around
on on
to to
an an
oval oval
so so
you you
can can
see see
it it
. .
We we
see see
that that
there there
are be
hot hot
and and
cold cold
spots spot
in in
this this
Big big
Bang bang
material material
. .
Now now
we we
say say
, ,
well well
, ,
that that
' '
s s
because because
those those
were be
there there
in in
very very
, ,
very very
beginning begin
, ,
who who
knows know
exactly exactly
why why
, ,
but but
they they
led lead
to to
the the
existence existence
of of
galaxies galaxy
, ,
stars star
, ,
planets planet
and and
, ,
eventually eventually
, ,
people people
. .
No no
spots spot
, ,
no no
people people
. .
So so
it it
turned turn
out out
to to
be be
important important
. .
So so
then then
how how
did do
that that
work work
? ?
What what
happened happen
next next
? ?
Well well
, ,
we we
said say
let let
' '
s s
take take
pictures picture
. .
So so
, ,
of of
course course
, ,
we we
take take
pictures picture
of of
the the
sky sky
with with
the the
Hubble hubble
Space space
Telescope telescope
. .
This this
picture picture
was be
taken take
around around
1995 @card@
, ,
and and
it it
shows show
galaxies galaxy
far far
, ,
far far
, ,
far far
away away
. .
It it
shows show
what what
you you
can can
get get
with with
the the
telescope telescope
that that
' '
s s
about about
eight eight
feet foot
in in
diameter diameter
and and
can can
observe observe
visible visible
light light
. .
So so
we we
were be
thrilled thrill
to to
have have
this this
picture picture
. .
And and
it it
shows show
thousands thousand
of of
galaxies galaxy
. .
They they
were be
unable unable
to to
include include
the the
most most
distant distant
galaxies galaxy
, ,
the the
ones one
that that
would would
be be
as as
they they
were be
being be
born bear
, ,
so so
there there
are be
no no
baby baby
pictures picture
of of
galaxies galaxy
in in
this this
picture picture
. .
We we
needed need
to to
have have
an an
even even
bigger big
and and
more more
powerful powerful
telescope telescope
that that
could could
pick pick
up up
the the
infrared infrared
light light
from from
the the
most most
distant distant
universe universe
that that
has have
been be
stretched stretch
out out
by by
the the
expansion expansion
of of
the the
universe universe
. .
So so
we we
didn didn
' '
t t
know know
what what
we we
would would
find find
. .
So so
astronomers astronomer
wrote write
a a
book book
and and
they they
said say
, ,
" "
Please please
build build
us us
an an
even even
more more
powerful powerful
telescope telescope
. .
" "
And and
we we
did do
. .
This this
is be
the the
James james
Webb webb
Space space
Telescope telescope
, ,
you you
see see
a a
gigantic gigantic
mirror mirror
, ,
it it
' '
s s
hexagonal hexagonal
, ,
it it
' '
s s
coated coat
with with
gold gold
so so
it it
reflects reflect
infrared infrared
light light
. .
It it
is be
21 @card@
feet foot
across across
. .
It it
is be
protected protect
by by
a a
five-layer five-layer
metalized metalize
plastic plastic
sunshade sunshade
as as
large large
as as
a a
tennis tennis
court court
. .
This this
telescope telescope
is be
so so
large large
that that
it it
could could
not not
fit fit
into into
the the
rocket rocket
without without
being be
folded fold
up up
like like
origami origami
. .
It it
' '
s s
an an
incredible incredible
engineering engineering
accomplishment accomplishment
to to
be be
able able
to to
even even
conceive conceive
and and
build build
this this
telescope telescope
. .
So so
we we
built build
it it
. .
And and
then then
we we
' '
ve ve
launched launch
it it
. .
It it
went go
up up
into into
space space
from from
French french
Guiana guiana
on on
Christmas christmas
morning morning
, ,
2021 @card@
. .
It it
was be
a a
perfect perfect
launch launch
. .
The the
Arianespace arianespace
company company
sent send
it it
straight straight
to to
where where
we we
needed need
to to
go go
. .
So so
we we
think think
we we
can can
have have
20 @card@
years year
of of
operational operational
scientific scientific
observations observation
with with
this this
great great
new new
telescope telescope
. .
And and
it it
took take
only only
two two
minutes minute
to to
go go
through through
the the
tropical tropical
clouds cloud
up up
towards towards
the the
vacuum vacuum
of of
outer outer
space space
. .
Now now
I i
want want
to to
show show
you you
how how
it it
unfolded unfold
in in
outer outer
space space
, ,
this this
origami origami
telescope telescope
. .
First first
we we
unfolded unfold
the the
solar solar
panels panel
. .
Then then
we we
unfold unfold
the the
transmitter transmitter
antenna antenna
so so
we we
can can
talk talk
back back
and and
forth forth
. .
Then then
we we
unfold unfold
the the
panels panel
that that
hold hold
the the
great great
sunshade sunshade
in in
place place
. .
This this
takes take
us us
actually actually
two two
weeks week
in in
real real
life life
. .
You you
see see
it it
compressed compress
here here
so so
we we
can can
show show
it it
to to
you you
. .
This this
is be
just just
a a
miracle miracle
of of
modern modern
engineering engineering
, ,
and and
it it
' '
s s
so so
complicated complicate
. .
And and
you you
' '
d d
say say
, ,
is be
there there
any any
way way
you you
could could
have have
done do
this this
without without
this this
great great
telescope telescope
? ?
And and
the the
answer answer
seems seem
to to
be be
no no
. .
You you
need need
a a
big big
telescope telescope
. .
It it
needs need
to to
be be
in in
outer outer
space space
. .
It it
needs need
to to
be be
cold cold
, ,
so so
it it
doesn doesn
' '
t t
glow glow
and and
emit emit
its its
own own
infrared infrared
. .
And and
third third
is be
, ,
being be
very very
carefully carefully
unrolled unroll
all all
by by
commands command
from from
here here
. .
So so
you you
ask ask
, ,
how how
could could
you you
possibly possibly
make make
such such
a a
complicated complicated
thing thing
work work
? ?
Well well
, ,
number number
one one
, ,
practice practice
, ,
practice practice
, ,
practice practice
, ,
rehearse rehearse
and and
test test
, ,
fix fix
it it
when when
it it
' '
s s
not not
quite quite
right right
. .
And and
then then
, ,
of of
course course
, ,
have have
two two
of of
everything everything
, ,
if if
you you
possibly possibly
can can
. .
And and
third third
, ,
have have
arguments argument
with with
all all
of of
your your
friends friend
to to
say say
, ,
is be
this this
really really
right right
? ?
Can can
you you
think think
of of
anything anything
that that
' '
s s
a a
mistake mistake
that that
we we
might might
be be
making make
that that
we we
should should
fix fix
before before
we we
launch launch
it it
? ?
So so
the the
last last
step step
is be
finally finally
to to
unfold unfold
the the
telescope telescope
itself itself
. .
And and
there there
it it
is be
in in
outer outer
space space
, ,
not not
quite quite
ready ready
to to
use use
because because
it it
' '
s s
still still
warm warm
and and
has have
not not
yet yet
been be
focused focus
. .
So so
we we
had have
to to
wait wait
for for
several several
weeks week
for for
it it
to to
start start
to to
cool cool
down down
to to
a a
low low
enough enough
temperature temperature
that that
we we
could could
do do
the the
next next
steps step
. .
We we
send send
it it
to to
a a
place place
called call
Lagrange lagrange
Point point
2 @card@
, ,
about about
a a
million million
miles mile
farther farther
out out
from from
the the
Sun sun
than than
we we
are be
. .
This this
is be
a a
place place
that that
moves move
around around
the the
Sun sun
with with
us us
every every
year year
, ,
so so
the the
telescope telescope
does do
not not
get get
any any
farther farther
away away
. .
It it
is be
the the
only only
place place
that that
we we
can can
put put
a a
telescope telescope
where where
this this
is be
the the
setup setup
, ,
and and
you you
can can
have have
the the
one-sided one-sided
umbrella umbrella
that that
protects protect
the the
telescope telescope
from from
the the
Sun sun
and and
the the
Earth earth
and and
the the
Moon moon
. .
So so
the the
next next
thing thing
is be
, ,
what what
did do
we we
see see
? ?
We we
focused focus
the the
telescope telescope
and and
took take
some some
pictures picture
of of
the the
same same
star star
we we
looked look
at at
with with
the the
Webb webb
. .
So so
the the
fuzzy fuzzy
picture picture
is be
the the
Spitzer spitzer
Space space
Telescope telescope
launched launch
in in
2003 @card@
. .
The the
sharp sharp
picture picture
is be
the the
new new
Webb webb
telescope telescope
. .
We we
were be
so so
thrilled thrill
that that
it it
worked work
. .
We we
got get
a a
nice nice
, ,
sharp sharp
image image
of of
the the
star star
, ,
and and
we we
can can
calculate calculate
now now
the the
sensitivity sensitivity
of of
this this
object object
, ,
that that
if if
you you
were be
a a
bumblebee bumblebee
, ,
a a
square square
centimeter centimeter
object object
hovering hover
at at
the the
distance distance
of of
the the
Moon moon
from from
the the
Earth earth
, ,
away away
from from
the the
telescope telescope
, ,
we we
would would
be be
able able
to to
see see
you you
, ,
both both
the the
sunlight sunlight
you you
reflect reflect
and and
the the
heat heat
you you
emit emit
. .
So so
there there
are be
no no
bumblebees bumblebee
in in
space space
, ,
but but
there there
' '
s s
something something
out out
there there
that that
we we
don don
' '
t t
know know
. .
And and
I i
' '
m m
so so
sure sure
that that
we we
' '
re re
going go
to to
get get
a a
great great
surprise surprise
from from
this this
telescope telescope
. .
So so
I i
' '
ll ll
show show
you you
what what
we we
look look
at at
. .
Here here
is be
an an
example example
of of
a a
place place
where where
stars star
are be
being be
born bear
as as
we we
speak speak
. .
Now now
we we
know know
, ,
more more
or or
less less
, ,
that that
stars star
explode explode
and and
produce produce
dust dust
, ,
which which
goes go
and and
is be
recycled recycle
into into
new new
stars star
. .
This this
is be
a a
place place
where where
the the
recycling recycling
is be
happening happen
. .
Stars star
are be
being be
born bear
in in
this this
beautiful beautiful
cloud cloud
of of
glowing glowing
gas gas
and and
dust dust
. .
On on
the the
left-hand left-hand
side side
shows show
you you
what what
we we
see see
with with
visible visible
light light
with with
the the
Hubble hubble
Space space
Telescope telescope
. .
The the
right-hand right-hand
side side
shows show
you you
that that
you you
can can
begin begin
to to
see see
through through
the the
dust dust
with with
an an
infrared infrared
camera camera
that that
we we
also also
have have
on on
the the
Hubble hubble
telescope telescope
. .
It it
' '
s s
beautiful beautiful
. .
Astronomers astronomer
want want
to to
see see
inside inside
and and
we we
will will
with with
the the
Webb webb
telescope telescope
. .
We we
can can
look look
at at
everything everything
in in
the the
solar solar
system system
from from
Mars mars
on on
out out
. .
So so
this this
is be
a a
pretty pretty
interesting interesting
one one
, ,
everybody everybody
knows know
Mars mars
might might
be be
alive alive
. .
What what
about about
Europa europa
? ?
Europa europa
is be
a a
satellite satellite
of of
Jupiter jupiter
. .
It it
has have
a a
liquid liquid
ocean ocean
covered cover
with with
ice ice
. .
We we
know know
because because
we we
sent send
a a
probe probe
out out
there there
named name
after after
Galileo galileo
himself himself
, ,
and and
we we
saw see
this this
and and
took take
this this
picture picture
. .
Now now
we we
know know
that that
there there
is be
water water
coming come
out out
from from
the the
cracks crack
between between
the the
ice ice
blocks block
and and
once once
in in
a a
while while
, ,
they they
can can
be be
watched watch
from from
here here
. .
And and
we we
are be
planning plan
to to
send send
a a
probe probe
to to
fly fly
through through
the the
water water
jets jet
and and
see see
if if
there there
might might
be be
any any
organic organic
molecules molecule
in in
them them
. .
Is be
it it
alive alive
? ?
Well well
, ,
maybe maybe
. .
We we
' '
ll ll
be be
watching watch
this this
satellite satellite
with with
the the
Webb webb
telescope telescope
as as
well well
. .
Farther farther
on on
out out
in in
the the
solar solar
system system
, ,
we we
' '
ve ve
been be
watching watch
Titan titan
. .
Titan titan
is be
the the
only only
