It it
is be
the the
third third
of of
March march
, ,
2016 @card@
, ,
and and
I i
' '
m m
anxiously anxiously
waiting wait
for for
my my
wife wife
to to
deliver deliver
our our
firstborn firstborn
son son
. .
Seconds second
turn turn
into into
minutes minute
, ,
then then
hours hour
, ,
without without
a a
sign sign
of of
a a
child child
coming come
through through
. .
Then then
a a
midwife midwife
emerges emerge
with with
a a
silent silent
baby baby
in in
her her
hands hand
, ,
and and
she she
runs run
past past
me me
as as
though though
I i
' '
m m
not not
even even
there there
. .
Why why
is be
he he
not not
crying crying
? ?
I i
' '
m m
gripped grip
with with
chills chill
in in
my my
spine spine
as as
I i
run run
after after
her her
in in
terror terror
. .
She she
puts put
the the
baby baby
on on
a a
bench bench
and and
begins begin
a a
resuscitation resuscitation
procedure procedure
. .
Thirty thirty
minutes minute
later later
, ,
she she
tells tell
me me
, ,
" "
Don don
' '
t t
worry worry
, ,
he he
will will
be be
fine fine
, ,
and and
thank thank
you you
for for
staying stay
calm calm
. .
" "
He he
was be
placed place
in in
the the
ICU icu
, ,
and and
though though
I i
cannot can
touch touch
him him
, ,
I i
repeatedly repeatedly
say say
, ,
" "
Shine shine
on on
, ,
my my
son son
. .
Don don
' '
t t
give give
up up
. .
I i
am be
here here
with with
you you
, ,
and and
you you
don don
' '
t t
have have
to to
be be
scared scare
. .
Please please
pull pull
through through
and and
let let
us us
go go
home home
. .
You you
do do
not not
belong belong
here here
. .
" "
Seven seven
months month
later later
, ,
he he
would would
be be
diagnosed diagnose
with with
cerebral cerebral
palsy palsy
, ,
a a
nonprogressive nonprogressive
brain brain
injury injury
which which
primarily primarily
affects affect
body body
movement movement
and and
muscle muscle
coordination coordination
. .
About about
two two
to to
three three
children child
out out
of of
1 @card@
, ,
000 @card@
in in
the the
United united
States states
have have
cerebral cerebral
palsy palsy
. .
I i
do do
not not
know know
the the
statistics statistic
for for
my my
country country
and and
continent continent
, ,
because because
there there
' '
s s
not not
much much
documentation documentation
. .
Maybe maybe
this this
could could
be be
the the
journey journey
that that
changes change
everything everything
. .
We we
named name
him him
Lubuto lubuto
, ,
a a
beautiful beautiful
Zambian zambian
name name
from from
my my
Lunda lunda
tribe tribe
of of
the the
Bemba-speaking bemba-speaking
people people
, ,
meaning mean
" "
light light
. .
" "
By by
the the
time time
he he
was be
seven seven
months month
, ,
Lubuto lubuto
' '
s s
physical physical
impairment impairment
was be
predominant predominant
in in
the the
left leave
part part
of of
his his
body body
. .
Both both
his his
left leave
leg leg
and and
arm arm
were be
less less
responsive responsive
. .
He he
couldn couldn
' '
t t
grasp grasp
items item
; ;
worse worse
off off
, ,
couldn couldn
' '
t t
babble babble
his his
first first
words word
because because
the the
cerebral cerebral
palsy palsy
shackle shackle
affects affect
the the
muscle muscle
in in
his his
lips lip
. .
Rolling roll
over over
and and
other other
milestones milestone
