Welcome welcome
to to
" "
Five five
Dangerous dangerous
Things thing
You you
Should should
Let let
Your your
Children child
Do do
. .
" "
I i
don don
' '
t t
have have
children child
. .
I i
borrow borrow
my my
friends friend
' '
children child
, ,
so so
â â
take take
all all
this this
advice advice
with with
a a
grain grain
of of
salt salt
. .
I i
' '
m m
Gever gever
Tulley tulley
. .
I i
' '
m m
a a
contract contract
computer computer
scientist scientist
by by
trade trade
, ,
but but
I i
' '
m m
the the
founder founder
of of
something something
called call
the the
Tinkering tinkering
School school
. .
It it
' '
s s
a a
summer summer
program program
which which
aims aim
to to
help help
kids kid
learn learn
how how
to to
build build
the the
things thing
that that
they they
think think
of of
. .
So so
we we
build build
a a
lot lot
of of
things thing
, ,
and and
I i
do do
put put
power power
tools tool
into into
the the
hands hand
of of
second-graders second-grader
. .
So so
if if
you you
' '
re re
thinking thinking
about about
sending send
your your
kid kid
to to
Tinkering tinker
School school
, ,
they they
do do
come come
back back
bruised bruise
, ,
scraped scrape
and and
bloody bloody
. .
You you
know know
, ,
we we
live live
in in
a a
world world
that that
' '
s s
subjected subject
to to
ever ever
more more
stringent stringent
child child
safety safety
regulations regulation
. .
There there
doesn doesn
' '
t t
seem seem
to to
be be
any any
limit limit
on on
how how
crazy crazy
child child
safety safety
regulations regulation
can can
get get
. .
We we
put put
suffocation suffocation
warnings warning
on on
every every
piece piece
of of
plastic plastic
film film
manufactured manufacture
in in
the the
United united
States states
, ,
or or
for for
sale sale
with with
an an
item item
in in
the the
United united
States states
. .
We we
put put
warnings warning
on on
coffee coffee
cups cup
to to
tell tell
us us
that that
the the
contents content
may may
be be
hot hot
. .
And and
we we
seem seem
to to
think think
that that
any any
item item
sharper sharp
than than
a a
golf golf
ball ball
is be
too too
sharp sharp
for for
children child
under under
the the
age age
of of
10 @card@
. .
So so
where where
does do
this this
trend trend
stop stop
? ?
When when
we we
round round
every every
corner corner
and and
eliminate eliminate
every every
sharp sharp
object object
, ,
every every
pokey pokey
bit bit
in in
the the
world world
, ,
then then
the the
first first
time time
that that
kids kid
come come
in in
contact contact
with with
anything anything
sharp sharp
, ,
or or
not not
made make
out out
of of
round round
plastic plastic
, ,
they they
' '
ll ll
hurt hurt
themselves themselves
with with
it it
. .
So so
, ,
as as
the the
boundaries boundary
of of
what what
we we
determine determine
as as
the the
safety safety
zone zone
grow grow
ever ever
smaller small
, ,
we we
cut cut
off off
our our
children child
from from
valuable valuable
opportunities opportunity
to to
learn learn
how how
to to
interact interact
with with
the the
world world
around around
them them
. .
And and
despite despite
all all
of of
our our
best good
efforts effort
and and
intentions intention
, ,
kids kid
are be
always always
going go
to to
figure figure
out out
how how
to to
do do
the the
most most
dangerous dangerous
thing thing
they they
can can
, ,
in in
whatever whatever
environment environment
they they
can can
. .
So so
despite despite
the the
provocative provocative
title title
, ,
this this
presentation presentation
is be
really really
about about
safety safety
, ,
and and
about about
some some
simple simple
things thing
that that
we we
can can
do do
to to
raise raise
our our
kids kid
to to
be be
creative creative
, ,
confident confident
and and
in in
control control
of of
the the
environment environment
around around
them them
. .
And and
what what
I i
now now
present present
to to
you you
is be
an an
excerpt excerpt
from from
a a
book book
in in
progress progress
. .
The the
book book
is be
called call
" "
50 @card@
Dangerous dangerous
Things thing
. .
" "
This this
is be
" "
Five five
Dangerous dangerous
Things thing
. .
" "
Thing thing
number number
one one
: :
Play play
with with
fire fire
. .
Learning learn
to to
control control
one one
of of
the the
most most
elemental elemental
forces force
in in
