Greg greg
Gage gage
: :
We we
' '
ve ve
all all
heard hear
the the
annoying annoy
sound sound
of of
a a
mosquito mosquito
, ,
and and
we we
will will
stop stop
at at
nothing nothing
to to
make make
it it
go go
away away
. .
While while
this this
sound sound
may may
be be
maddening maddening
to to
us us
, ,
perhaps perhaps
it it
' '
s s
music music
to to
a a
mosquito mosquito
' '
s s
ears ear
. .
The the
mosquito mosquito
' '
s s
nervous nervous
system system
has have
almost almost
as as
many many
sensory sensory
auditory auditory
cells cell
as as
we we
do do
. .
But but
why why
would would
they they
have have
so so
many many
in in
such such
a a
small small
body body
, ,
and and
why why
would would
they they
need need
to to
be be
so so
sensitive sensitive
to to
sounds sound
? ?
The the
answer answer
is be
love love
. .
[ [
DIY diy
Neuroscience neuroscience
] ]
As as
humans human
, ,
we we
do do
a a
lot lot
to to
attract attract
each each
other other
. .
Some some
things thing
are be
conscious conscious
— -
we we
put put
on on
makeup makeup
and and
make make
sure sure
we we
smell smell
nice nice
. .
And and
some some
are be
unconscious unconscious
. .
You you
may may
unconsciously unconsciously
point point
your your
body body
or or
even even
sit sit
closer closer
to to
someone someone
you you
like like
. .
These these
are be
courtship courtship
behaviors behavior
, ,
and and
a a
lot lot
of of
animals animal
have have
them them
. .
And and
mosquitoes mosquito
are be
no no
different different
. .
So so
Haley haley
' '
s s
been be
spending spend
her her
summer summer
bravely bravely
listening listen
to to
mosquitoes mosquito
, ,
and and
what what
she she
observed observe
may may
surprise surprise
you you
. .
So so
we we
want want
to to
investigate investigate
how how
the the
mosquitoes mosquito
make make
their their
song song
. .
So so
Haley haley
, ,
how how
do do
we we
record record
their their
wing wing
beats beat
? ?
Haley haley
Smith smith
: :
We we
need need
to to
tether tether
them them
. .
First first
, ,
we we
anesthetize anesthetize
them them
in in
a a
fridge fridge
or or
a a
bed bed
of of
ice ice
. .
And and
then then
I i
transfer transfer
them them
to to
this this
petri petri
dish dish
of of
ice ice
, ,
just just
to to
get get
them them
even even
more more
anesthetized anesthetize
. .
Next next
, ,
I i
take take
an an
insect insect
pin pin
, ,
and and
what what
I i
do do
is be
put put
a a
tiny tiny
little little
dab dab
of of
superglue superglue
on on
this this
pin pin
. .
I i
want want
to to
make make
sure sure
that that
I i
get get
it it
on on
his his
thorax thorax
above above
his his
wings wing
so so
that that
when when
he he
is be
suspended suspend
, ,
his his
wings wing
are be
still still
free free
to to
move move
. .
So so
here here
' '
s s
one one
down down
. .
It it
' '
s s
really really
hard hard
to to
catch catch
male male
mosquitoes mosquito
in in
the the
wild wild
because because
females female
are be
the the
only only
mosquitoes mosquito
that that
are be
attracted attract
to to
humans human
. .
They they
feed feed
on on
human human
blood blood
. .
And and
now now
, ,
we we
can can
try try
to to
get get
some some
recordings recording
from from
them them
. .
So so
this this
is be
the the
stand stand
that that
I i
use use
to to
hold hold
them them
. .
I i
like like
to to
place place
it it
right right
over over
the the
microphone microphone
so so
that that
I i
can can
get get
a a
recording recording
of of
the the
buzzing buzz
that that
you you
hear hear
. .
That that
sound sound
is be
generated generate
by by
how how
fast fast
they they
' '
re re
beating beat
their their
wings wing
. .
This this
is be
a a
male male
. .
The the
males male
have have
very very
bushy bushy
antennae antenna
, ,
and and
they they
look look
kind kind
of of
feathery feathery
. .
And and
they they
are be
also also
much much
smaller small
. .
GG gg
: :
So so
he he
' '
s s
flying fly
at at
around around
600 @card@
hertz hertz
. .
Can can
we we
try try
a a
female female
mosquito mosquito
? ?
HS hs
: :
Sure sure
, ,
here here
we we
go go
. .
GG gg
: :
Wow wow
. .
HS hs
: :
This this
is be
a a
much much
lower low
frequency frequency
than than
the the
male male
. .
GG gg
: :
Yeah yeah
, ,
it it
sounds sound
completely completely
different different
. .
So so
is be
it it
because because
they they
' '
re re
two two
different different
mosquitoes mosquito
, ,
or or
because because
they they
' '
re re
male male
and and
female female
? ?
HS hs
: :
It it
' '
s s
because because
they they
' '
re re
male male
and and
female female
. .
GG gg
: :
Alright alright
, ,
let let
' '
s s
verify verify
that that
. .
Can can
you you
bring bring
in in
another another
female female
and and
see see
if if
she she
sounds sound
like like
mosquito mosquito
A a
or or
mosquito mosquito
B b
? ?
HS hs
: :
Yeah yeah
. .
And and
again again
, ,
she she
is be
much much
lower low
than than
the the
male male
. .
GG gg
: :
Yeah yeah
, ,
she she
sounds sound
different different
. .
Yeah yeah
, ,
she she
' '
s s
spot-on spot-on
400 @card@
. .
HS hs
: :
She she
really really
is be
. .
GG gg
: :
That that
' '
s s
really really
bizarre bizarre
. .
HS hs
: :
The the
females female
are be
at at
a a
much much
lower low
pitch pitch
. .
They they
were be
around around
400 @card@
hertz hertz
. .
HS hs
: :
And and
all all
of of
the the
females female
were be
around around
that that
, ,
too too
. .
They they
were be
much much
larger large
than than
the the
males male
, ,
so so
they they
didn didn
' '
t t
have have
to to
flap flap
their their
wings wing
as as
fast fast
to to
stay stay
in in
free free
flight flight
. .
GG gg
: :
So so
they they
have have
larger large
wings wing
, ,
so so
they they
' '
re re
flapping flap
slower slow
. .
And and
you you
noticed notice
that that
all all
the the
females female
have have
the the
same same
frequency frequency
, ,
roughly roughly
? ?
And and
the the
males male
do do
, ,
too too
. .
That that
' '
s s
kind kind
of of
interesting interesting
. .
So so
that that
must must
mean mean
something something
. .
Well well
, ,
let let
' '
s s
see see
what what
happens happen
when when
we we
put put
the the
male male
and and
the the
female female
together together
. .
HS hs
: :
When when
I i
put put
them them
into into
the the
same same
hearing hearing
range range
, ,
I i
noticed notice
that that
they they
were be
kind kind
of of
changing change
their their
tones tone
. .
It it
was be
kind kind
of of
more more
dull dull
, ,
almost almost
. .
And and
when when
I i
put put
it it
back back
in in
my my
spectrogram spectrogram
to to
see see
their their
interaction interaction
, ,
they they
were be
meeting meet
at at
the the
same same
tone tone
. .
GG gg
: :
OK ok
, ,
pause pause
. .
The the
males male
and and
females female
are be
singing sing
a a
duet duet
, ,
meaning mean
that that
they they
adjust adjust
their their
wings wing
to to
be be
able able
to to
produce produce
a a
common common
tone tone
. .
You you
have have
the the
male male
singing singing
up up
here here
at at
G g
, ,
and and
you you
have have
the the
female female
singing singing
down down
here here
at at
D d
, ,
and and
when when
they they
get get
together together
, ,
you you
' '
re re
saying say
that that
they they
change change
the the
frequency frequency
of of
their their
wings wing
such such
that that
they they
come come
together together
? ?
HS hs
: :
Yeah yeah
, ,
exactly exactly
. .
GG gg
: :
And and
they they
sort sort
of of
sing sing
a a
duet duet
. .
HS hs
: :
They they
' '
re re
communicating communicate
to to
let let
each each
other other
know know
that that
they they
' '
ve ve
basically basically
found find
a a
potential potential
mate mate
. .
GG gg
: :
So so
in in
other other
words word
, ,
the the
female female
tends tend
to to
choose choose
a a
male male
that that
best good
sings sing
her her
duet duet
. .
And and
studies study
have have
found find
that that
if if
she she
' '
s s
pregnant pregnant
, ,
she she
doesn doesn
' '
t t
even even
bother bother
. .
So so
if if
we we
can can
understand understand
the the
mosquito mosquito
mating mating
behavior behavior
, ,
we we
may may
be be
able able
to to
disrupt disrupt
it it
in in
the the
wild wild
and and
prevent prevent
diseases disease
like like
malaria malaria
. .
But but
for for
now now
, ,
the the
next next
time time
you you
hear hear
a a
mosquito mosquito
buzzing buzz
, ,
just just
pause pause
and and
remember remember
she she
may may
be be
in in
love love
and and
she she
may may
be be
singing sing
her her
song song
, ,
looking look
for for
her her
perfect perfect
match match
. .
