Thank thank
you you
for for
putting put
up up
these these
pictures picture
of of
my my
colleagues colleague
over over
here here
. .
We we
' '
ll ll
be be
talking talk
about about
them them
. .
Now now
, ,
I i
' '
m m
going going
try try
an an
experiment experiment
. .
I i
don don
' '
t t
do do
experiments experiment
, ,
normally normally
. .
I i
' '
m m
a a
theorist theorist
. .
But but
I i
' '
m m
going go
see see
what what
happens happen
if if
I i
press press
this this
button button
. .
Sure sure
enough enough
. .
OK ok
. .
I i
used use
to to
work work
in in
this this
field field
of of
elementary elementary
particles particle
. .
What what
happens happen
to to
matter matter
if if
you you
chop chop
it it
up up
very very
fine fine
? ?
What what
is be
it it
made make
of of
? ?
And and
the the
laws law
of of
these these
particles particle
are be
valid valid
throughout throughout
the the
universe universe
, ,
and and
they they
' '
re re
very very
much much
connected connect
with with
the the
history history
of of
the the
universe universe
. .
We we
know know
a a
lot lot
about about
four four
forces force
. .
There there
must must
be be
a a
lot lot
more more
, ,
but but
those those
are be
at at
very very
, ,
very very
small small
distances distance
, ,
and and
we we
haven haven
' '
t t
really really
interacted interact
with with
them them
very very
much much
yet yet
. .
The the
main main
thing thing
I i
want want
to to
talk talk
about about
is be
this this
: :
that that
we we
have have
this this
remarkable remarkable
experience experience
in in
this this
field field
of of
fundamental fundamental
physics physic
that that
beauty beauty
is be
a a
very very
successful successful
criterion criterion
for for
choosing choose
the the
right right
theory theory
. .
And and
why why
on on
earth earth
could could
that that
be be
so so
? ?
Well well
, ,
here here
' '
s s
an an
example example
from from
my my
own own
experience experience
. .
It it
' '
s s
fairly fairly
dramatic dramatic
, ,
actually actually
, ,
to to
have have
this this
happen happen
. .
Three three
or or
four four
of of
us us
, ,
in in
1957 @card@
, ,
put put
forward forward
a a
partially partially
complete complete
theory theory
of of
one one
of of
these these
forces force
, ,
this this
weak weak
force force
. .
And and
it it
was be
in in
disagreement disagreement
with with
seven seven
— -
seven seven
, ,
count count
them them
, ,
seven seven
experiments experiment
. .
Experiments experiment
were be
all all
wrong wrong
. .
And and
we we
published publish
before before
knowing know
that that
, ,
because because
we we
figured figure
it it
was be
so so
beautiful beautiful
, ,
it it
' '
s s
gotta gotta
be be
right right
! !
The the
experiments experiment
had have
to to
be be
wrong wrong
, ,
and and
they they
were be
. .
Now now
our our
friend friend
over over
there there
, ,
Albert albert
Einstein einstein
, ,
used use
to to
pay pay
very very
little little
attention attention
when when
people people
said say
, ,
" "
You you
know know
, ,
there there
' '
s s
a a
man man
with with
an an
experiment experiment
that that
seems seem
to to
disagree disagree
with with
special special
relativity relativity
. .
DC dc
Miller miller
. .
What what
about about
that that
? ?
" "
And and
he he
would would
say say
, ,
" "
Aw aw
, ,
that that
' '
ll ll
go go
away away
. .
" "
Now now
, ,
why why
does do
stuff stuff
like like
that that
work work
? ?
That that
' '
s s
the the
question question
. .
Now now
, ,
yeah yeah
, ,
what what
do do
we we
mean mean
by by
beautiful beautiful
? ?
That that
' '
s s
one one
thing thing
. .
I i
' '
ll ll
try try
to to
make make
that that
clear clear
— -
partially partially
