Tyler tyler
Edmonds edmonds
, ,
Bobby bobby
Johnson johnson
, ,
Davontae davontae
Sanford sanford
, ,
Marty marty
Tankleff tankleff
, ,
Jeffrey jeffrey
Deskovic deskovic
, ,
Anthony anthony
Caravella caravella
and and
Travis travis
Hayes hayes
. .
You you
probably probably
don don
' '
t t
recognize recognize
their their
faces face
. .
Together together
, ,
they they
served serve
89 @card@
years year
for for
murders murder
that that
they they
didn didn
' '
t t
commit commit
; ;
murders murder
that that
they they
falsely falsely
confessed confess
to to
committing commit
when when
they they
were be
teenagers teenager
. .
I i
' '
m m
a a
forensic forensic
developmental developmental
psychologist psychologist
, ,
and and
I i
study study
these these
types type
of of
cases case
. .
As as
a a
researcher researcher
, ,
a a
professor professor
and and
a a
new new
parent parent
, ,
my my
goal goal
is be
to to
conduct conduct
scientific scientific
research research
that that
helps help
us us
understand understand
how how
kids kid
function function
in in
a a
legal legal
system system
that that
was be
designed design
for for
adults adult
. .
In in
March march
of of
2006 @card@
, ,
police police
interrogated interrogate
Brendan brendan
Dassey dassey
, ,
a a
16-year-old 16-year-old
high high
school school
student student
with with
an an
IQ iq
around around
70 @card@
, ,
putting put
him him
in in
the the
range range
of of
intellectual intellectual
disability disability
. .
So so
here here
' '
s s
just just
a a
brief brief
snippet snippet
of of
his his
four-hour four-hour
interrogation interrogation
. .
Police police
1 @card@
: :
Brendan brendan
, ,
be be
honest honest
. .
I i
told tell
you you
before before
that that
' '
s s
the the
only only
thing thing
that that
' '
s s
going go
to to
help help
you you
here here
. .
We we
already already
know know
what what
happened happen
, ,
OK ok
? ?
Police police
2 @card@
: :
If if
we we
don don
' '
t t
get get
honesty honesty
here here
— -
I i
' '
m m
your your
friend friend
right right
now now
, ,
but but
I i
' '
ve ve
got get
to to
believe believe
in in
you you
, ,
and and
if if
I i
don don
' '
t t
believe believe
in in
you you
, ,
I i
can can
' '
t t
go go
to to
bat bat
for for
you you
. .
OK ok
? ?
You you
' '
re re
nodding nod
. .
Tell tell
us us
what what
happened happen
. .
P1 p1
: :
Your your
mom mom
said say
you you
' '
d d
be be
honest honest
with with
us us
. .
P2 p2
: :
And and
she she
' '
s s
behind behind
you you
100 @card@
percent percent
no no
matter matter
what what
happens happen
here here
. .
P1 p1
: :
That that
' '
s s
what what
she she
said say
, ,
because because
she she
thinks think
you you
know know
more more
, ,
too too
. .
P2 p2
: :
We we
' '
re re
in in
your your
corner corner
. .
P1 p1
: :
We we
already already
know know
what what
happened happen
, ,
now now
tell tell
us us
exactly exactly
. .
Don don
' '
t t
lie lie
. .
Lindsay lindsay
Malloy malloy
: :
They they
told tell
Brendan brendan
that that
honesty honesty
would would
" "
set set
him him
free free
, ,
" "
but but
they they
were be
completely completely
convinced convince
of of
his his
guilt guilt
at at
that that
point point
. .
So so
by by
honesty honesty
, ,
they they
meant mean
a a
confession confession
, ,
and and
his his
confession confession
would would
definitely definitely
not not
end end
up up
setting set
him him
free free
. .
They they
eventually eventually
got get
a a
confession confession
from from
Brendan brendan
that that
didn didn
' '
t t
really really
make make
sense sense
, ,
didn didn
' '
t t
match match
much much
of of
the the
physical physical
evidence evidence
of of
the the
crime crime
and and
is be
widely widely
believed believe
to to
be be
false false
. .
Still still
, ,
it it
was be
enough enough
to to
convict convict
Brendan brendan
and and
sentence sentence
him him
to to
life life
in in
prison prison
for for
murder murder
and and
sexual sexual
assault assault
in in
2007 @card@
. .
There there
was be
no no
physical physical
evidence evidence
against against
Brendan brendan
at at
all all
. .
It it
was be
nothing nothing
more more
than than
his his
own own
words word
that that
sent send
him him
to to
prison prison
for for
nearly nearly
a a
decade decade
, ,
until until
a a
judge judge
overturned overturn
his his
conviction conviction
just just
a a
few few
months month
ago ago
. .
The the
Dassey dassey
case case
is be
unique unique
because because
it it
made make
its its
way way
into into
a a
Netflix netflix
series series
, ,
called call
" "
Making make
a a
Murderer murderer
, ,
" "
which which
I i
' '
m m
sure sure
many many
of of
you you
saw see
, ,
and and
if if
you you
haven haven
' '
t t
, ,
you you
should should
definitely definitely
watch watch
it it
. .
The the
Dassey dassey
case case
is be
also also
unique unique
because because
it it
led lead
to to
such such
intense intense
public public
outrage outrage
. .
People people
were be
very very
angry angry
about about
how how
Brendan brendan
was be
questioned question
, ,
and and
many many
assumed assume
that that
his his
interrogation interrogation
had have
to to
have have
been be
illegal illegal
. .
It it
wasn wasn
' '
t t
illegal illegal
. .
As as
someone someone
who who
' '
s s
a a
researcher researcher
in in
this this
area area
and and
is be
familiar familiar
with with
police police
interrogation interrogation
training training
manuals manual
, ,
I i
wasn wasn
' '
t t
really really
surprised surprise
by by
what what
I i
saw see
. .
The the
fact fact
is be
, ,
Dassey dassey
' '
s s
interrogation interrogation
itself itself
is be
actually actually
not not
all all
that that
unique unique
, ,
and and
to to
be be
honest honest
with with
you you
, ,
I i
' '
ve ve
seen see
worse worse
. .
So so
I i
understand understand
the the
public public
outcry outcry
about about
