If if
you you
were be
to to
jump jump
into into
any any
random random
spot spot
in in
the the
ocean ocean
, ,
you you
would would
probably probably
see see
something something
like like
this this
. .
Empty empty
of of
large large
animals animal
. .
Because because
we we
have have
taken take
them them
out out
of of
the the
water water
faster faster
than than
they they
can can
reproduce reproduce
. .
Today today
I i
want want
to to
propose propose
a a
strategy strategy
to to
save save
ocean ocean
life life
, ,
and and
the the
solution solution
has have
a a
lot lot
to to
do do
with with
economics economics
. .
In in
1999 @card@
, ,
a a
little little
place place
called call
Cabo cabo
Pulmo pulmo
in in
Mexico mexico
was be
an an
underwater underwater
desert desert
. .
The the
fishermen fisherman
were be
so so
upset upset
not not
having have
enough enough
fish fish
to to
catch catch
that that
they they
did do
something something
that that
no no
one one
expected expect
. .
Instead instead
of of
spending spend
more more
time time
at at
sea sea
, ,
trying try
to to
catch catch
the the
few few
fish fish
left leave
, ,
they they
stopped stop
fishing fishing
completely completely
. .
They they
created create
a a
national national
park park
in in
the the
sea sea
. .
A a
no-take no-take
marine marine
reserve reserve
. .
When when
we we
returned return
, ,
10 @card@
years year
later later
, ,
this this
is be
what what
we we
saw see
. .
What what
had have
been be
an an
underwater underwater
barren barren
was be
now now
a a
kaleidoscope kaleidoscope
of of
life life
and and
color color
. .
We we
saw see
it it
back back
to to
pristine pristine
in in
only only
10 @card@
years year
. .
Including include
the the
return return
of of
the the
large large
predators predator
, ,
like like
the the
groupers groupers
, ,
the the
sharks shark
, ,
the the
jacks jack
. .
And and
those those
visionary visionary
fishermen fisherman
are be
making make
much much
more more
money money
now now
, ,
from from
tourism tourism
. .
Now now
, ,
when when
we we
can can
align align
economic economic
needs need
with with
conservation conservation
, ,
miracles miracle
can can
happen happen
. .
And and
we we
have have
seen see
similar similar
recoveries recovery
all all
over over
the the
world world
. .
I i
spent spend
20 @card@
years year
studying study
human human
impacts impact
in in
the the
ocean ocean
. .
But but
when when
I i
saw see
firsthand firsthand
the the
regeneration regeneration
of of
places place
like like
Cabo cabo
Pulmo pulmo
, ,
that that
gave give
me me
hope hope
. .
So so
I i
decided decide
to to
quit quit
my my
job job
as as
a a
university university
professor professor
to to
dedicate dedicate
my my
life life
to to
save save
more more
ocean ocean
places place
like like
this this
. .
In in
the the
last last
10 @card@
years year
, ,
our our
team team
at at
National national
Geographic geographic
Pristine pristine
Seas sea
has have
explored explore
, ,
surveyed survey
and and
documented document
some some
of of
the the
wildest wild
places place
left leave
in in
the the
ocean ocean
and and
worked work
with with
governments government
to to
protect protect
them them
. .
These these
are be
all all
now now
protected protect
, ,
covering cover
a a
total total
area area
half half
the the
size size
of of
Canada canada
. .
These these
places place
are be
the the
Yellowstones yellowstone
and and
the the
Serengetis serengetis
of of
the the
sea sea
. .
These these
are be
places place
where where
you you
jump jump
in in
the the
water water
and and
are be
immediately immediately
surrounded surround
by by
sharks shark
. .
And and
this this
is be
good good
, ,
because because
the the
sharks shark
are be
a a
good good
indicator indicator
of of
the the
health health
of of
the the
ecosystem ecosystem
. .
These these
places place
are be
time time
machines machine
that that
take take
us us
to to
the the
ocean ocean
of of
1 @card@
, ,
000 @card@
years year
ago ago
. .
But but
they they
also also
show show
us us
what what
the the
future future
ocean ocean
could could
be be
like like
. .
Because because
the the
ocean ocean
has have
extraordinary extraordinary
regenerative regenerative
power power
, ,
we we
have have
seen see
great great
recovery recovery
in in
just just
a a
few few
years year
. .
We we
just just
need need
to to
protect protect
many many
more more
places place
at at
risk risk
so so
they they
can can
become become
wild wild
and and
full full
of of
life life
again again
. .
But but
today today
, ,
only only
two two
percent percent
of of
the the
ocean ocean
is be
fully fully
protected protect
from from
fishing fishing
and and
other other
activities activity
. .
And and
that that
' '
s s
not not
enough enough
. .
Studies study
suggest suggest
that that
we we
need need
at at
least least
30 @card@
percent percent
of of
the the
ocean ocean
under under
protection protection
not not
just just
to to
save save
marine marine
life life
, ,
but but
to to
save save
us us
, ,
too too
. .
Because because
the the
ocean ocean
gives give
us us
more more
than than
half half
of of
the the
oxygen oxygen
we we
breathe breathe
, ,
food food
, ,
it it
absorbs absorb
much much
of of
the the
carbon carbon
pollution pollution
that that
we we
throw throw
in in
the the
atmosphere atmosphere
. .
We we
need need
a a
healthy healthy
ocean ocean
to to
survive survive
. .
Now now
, ,
is be
there there
a a
way way
to to
accelerate accelerate
ocean ocean
protection protection
? ?
I i
think think
so so
. .
And and
it it
involves involve
us us
looking look
at at
the the
high high
seas sea
. .
Now now
, ,
what what
are be
the the
high high
seas sea
? ?
Now now
coastal coastal
countries country
have have
authority authority
over over
200 @card@
nautical nautical
miles mile
from from
shore shore
. .
Everything everything
beyond beyond
those those
areas area
are be
called call
the the
high high
seas sea
. .
In in
dark dark
blue blue
on on
this this
map map
. .
No no
country country
owns own
the the
high high
seas sea
, ,
no no
country country
is be
responsible responsible
for for
them them
, ,
but but
they they
all all
are be
, ,
so so
it it
' '
s s
a a
little little
like like
the the
Wild wild
West west
. .
And and
there there
are be
two two
main main
types type
of of
fishing fishing
in in
the the
high high
seas sea
. .
At at
the the
bottom bottom
and and
near near
the the
surface surface
. .
Bottom bottom
trawling trawl
is be
the the
most most
destructive destructive
practice practice
in in
the the
world world
. .
Super super
trawlers trawler
, ,
the the
largest large
fishing fishing
vessels vessel
in in
the the
ocean ocean
, ,
have have
nets net
so so
large large
that that
they they
can can
hold hold
a a
dozen dozen
747 @card@
jets jet
. .
These these
huge huge
nets net
destroy destroy
everything everything
in in
their their
paths path
— -
including include
deep deep
corals coral
that that
grow grow
on on
sea sea
mounds mound
, ,
which which
can can
be be
thousands thousand
of of
years year
old old
. .
And and
fishing fishing
near near
the the
surface surface
targets target
mostly mostly
species specie
that that
migrate migrate
between between
the the
high high
seas sea
and and
country country
' '
s s
waters water
, ,
like like
tuna tuna
and and
sharks shark
. .
And and
many many
of of
these these
species specie
are be
threatened threaten
because because
of of
too too
much much
fishing fishing
and and
bad bad
management management
. .
Now now
, ,
who who
fishes fish
in in
the the
high high
seas sea
? ?
Until until
now now
, ,
it it
was be
difficult difficult
to to
know know
exactly exactly
, ,
because because
countries country
have have
been be
very very
secretive secretive
about about
the the
long-distance long-distance
fishing fishing
. .
But but
now now
, ,
satellite satellite
technology technology
allows allow
us us
to to
track track
individual individual
boats boat
. .
This this
is be
a a
game- game-
changer changer
. .
And and
this this
is be
the the
first first
time time
we we
are be
presenting present
the the
data data
that that
you you
are be
going go
to to
see see
. .
I i
' '
m m
going go
to to
show show
you you
the the
tracks track
of of
two two
boats boat
over over
the the
course course
of of
a a
year year
, ,
using use
a a
satellite satellite
automated automated
identification identification
system system
. .
This this
is be
a a
long- long-
liner liner
, ,
fishing fishing
around around
the the
southern southern
coast coast
of of
Africa africa
. .
After after
a a
few few
months month
fishing fish
there there
, ,
the the
boat boat
goes go
to to
Japan japan
to to
resupply resupply
, ,
and and
shortly shortly
after after
, ,
here here
it it
is be
, ,
fishing fishing
around around
Madagascar madagascar
. .
This this
is be
a a
Russian russian
trawler trawler
fishing fishing
, ,
probably probably
, ,
for for
cod cod
, ,
in in
Russian russian
waters water
, ,
and and
then then
across across
the the
high high
seas sea
of of
the the
north north
Atlantic atlantic
. .
Thanks thanks
to to
Global global
Fishing fishing
Watch watch
, ,
we we
have have
been be
able able
to to
track track
over over
3 @card@
, ,
600 @card@
boats boat
from from
more more
than than
20 @card@
countries country
, ,
fishing fishing
in in
the the
high high
seas sea
. .
They they
use use
satellite satellite
positioning positioning
and and
machine-learning machine-learning
technology technology
to to
automatically automatically
identify identify
if if
a a
boat boat
is be
just just
sailing sail
or or
fishing fishing
, ,
which which
are be
the the
white white
spots spot
here here
. .
So so
with with
an an
international international
group group
of of
colleagues colleague
, ,
we we
decided decide
to to
investigate investigate
not not
only only
who who
fishes fish
in in
the the
high high
seas sea
, ,
but but
who who
benefits benefit
from from
it it
. .
My my
colleague colleague
, ,
Juan juan
Mayorga mayorga
, ,
at at
the the
University university
of of
California california
, ,
Santa santa
Barbara barbara
, ,
has have
produced produce
detailed detailed
maps map
of of
fishing fishing
effort effort
, ,
which which
means mean
how how
much much
time time
and and
fuel fuel
is be
spent spend
fishing fishing
in in
every every
pixel pixel
in in
the the
ocean ocean
. .
We we
have have
a a
map map
for for
every every
country country
. .
China china
, ,
Taiwan taiwan
, ,
Japan japan
, ,
Korea korea
and and
Spain spain
alone alone
account account
for for
almost almost
80 @card@
percent percent
of of
the the
fishing fishing
in in
the the
high high
seas sea
. .
When when
we we
put put
all all
of of
the the
countries country
together together
, ,
this this
is be
what what
we we
get get
. .
Because because
we we
know know
the the
identity identity
of of
every every
boat boat
in in
the the
database database
, ,
we we
know know
its its
size size
, ,
its its
tonnage tonnage
, ,
the the
power power
of of
its its
engines engine
, ,
how how
many many
crew crew
are be
on on
board board
. .
With with
this this
information information
, ,
we we
can can
calculate calculate
fuel fuel
costs cost
, ,
labor labor
costs cost
, ,
etc etc
. .
So so
for for
the the
first first
time time
, ,
we we
have have
been be
able able
to to
map map
the the
costs cost
of of
fishing fishing
in in
the the
high high
seas sea
. .
The the
darker dark
the the
red red
, ,
the the
higher high
the the
costs cost
. .
Thanks thanks
to to
our our
colleagues colleague
at at
the the
University university
of of
British british
Columbia columbia
, ,
we we
know know
how how
much much
every every
country country
is be
actually actually
fishing fish
. .
And and
we we
know know
the the
price price
of of
the the
fish fish
as as
it it
comes come
off off
the the
vessel vessel
. .
Combined combine
with with
the the
data datum
on on
effort effort
, ,
we we
have have
been be
able able
to to
map map
the the
revenue revenue
of of
fishing fish
the the
high high
seas sea
. .
The the
darker dark
the the
blue blue
, ,
the the
higher high
the the
revenue revenue
. .
We we
have have
costs cost
, ,
and and
we we
have have
revenue revenue
. .
So so
for for
the the
first first
time time
, ,
we we
have have
been be
able able
to to
map map
the the
profitability profitability
of of
fishing fishing
in in
the the
high high
seas sea
. .
Now now
I i
' '
m m
going go
to to
show show
you you
a a
map map
. .
Red red
colors color
mean mean
we we
are be
losing lose
money money
by by
fishing fishing
in in
that that
part part
of of
the the
ocean ocean
. .
Blue blue
colors color
mean mean
it it
' '
s s
profitable profitable
. .
Here here
it it
is be
. .
It it
seems seem
mostly mostly
profitable profitable
. .
But but
there there
are be
two two
more more
factors factor
we we
have have
to to
take take
into into
account account
. .
First first
, ,
recent recent
investigations investigation
reveal reveal
the the
use use
of of
forced force
labor labor
, ,
or or
slave slave
labor labor
, ,
in in
high high
seas sea
fishing fishing
. .
Companies company
use use
it it
to to
cut cut
costs cost
, ,
to to
generate generate
profits profit
. .
And and
second second
, ,
every every
year year
, ,
governments government
subsidize subsidize
high high
seas sea
fishing fish
with with
more more
than than
four four
billion billion
dollars dollar
. .
Let let
' '
s s
go go
back back
to to
the the
map map
of of
profits profit
. .
If if
we we
assume assume
fair fair
wages wage
, ,
which which
means mean
not not
slave slave
labor labor
, ,
and and
we we
remove remove
the the
subsidies subsidy
from from
our our
calculation calculation
, ,
the the
map map
turns turn
into into
this this
. .
Fishing fishing
is be
truly truly
profitable profitable
in in
only only
half half
of of
the the
high high
seas sea
fishing fish
grounds ground
. .
In in
fact fact
, ,
on on
aggregate aggregate
, ,
subsidies subsidy
are be
four four
times time
larger large
than than
the the
profits profit
. .
So so
we we
have have
five five
countries country
doing do
most most
of of
the the
fishing fishing
in in
the the
high high
seas sea
and and
the the
economics economics
are be
dependent dependent
on on
huge huge
government government
subsidies subsidy
, ,
and and
for for
some some
countries country
, ,
on on
human human
rights right
violations violation
. .
What what
this this
economic economic
analysis analysis
reveals reveal
, ,
is be
that that
practically practically
the the
entire entire
high high
seas sea
fishing fishing
proposition proposition
is be
misguided misguide
. .
What what
sane sane
government government
would would
subsidize subsidize
an an
industry industry
anchored anchor
in in
exploitation exploitation
and and
fundamentally fundamentally
destructive destructive
? ?
And and
not not
so so
profitable profitable
, ,
anyway anyway
. .
So so
, ,
why why
don don
' '
t t
we we
close close
all all
of of
the the
high high
seas sea
to to
fishing fishing
? ?
Let let
' '
s s
create create
a a
giant giant
high high
seas sea
reserve reserve
, ,
two-thirds two-third
of of
the the
ocean ocean
. .
A a
modeling modeling
study study
from from
— -
A a
modeling model
study study
from from
colleagues colleague
at at
UC uc
Santa santa
Barbara barbara
, ,
suggests suggest
that that
such such
reserve reserve
would would
help help
migratory migratory
species specie
like like
tuna tuna
recover recover
in in
the the
high high
seas sea
. .
And and
part part
of of
that that
increased increase
abundance abundance
would would
spill spill
over over
into into
the the
countries country
' '
waters water
, ,
helping help
to to
replenish replenish
them them
. .
That that
would would
also also
increase increase
the the
catch catch
in in
these these
waters water
, ,
and and
so so
would would
the the
profits profit
, ,
because because
the the
cost cost
of of
fishing fishing
would would
be be
lowered lower
. .
And and
the the
ecological ecological
benefits benefit
would would
be be
huge huge
, ,
because because
these these
species species
of of
large large
predators predator
, ,
like like
tuna tuna
and and
sharks shark
, ,
are be
key key
to to
the the
health health
of of
the the
entire entire
ecosystem ecosystem
. .
Therefore therefore
, ,
protecting protect
the the
high high
seas sea
would would
have have
ecological ecological
, ,
economic economic
and and
social social
benefits benefit
. .
But but
the the
truth truth
is be
that that
most most
fishing fishing
companies company
don don
' '
t t
care care
about about
the the
environment environment
. .
But but
they they
would would
make make
more more
money money
by by
not not
fishing fish
in in
the the
high high
seas sea
. .
And and
this this
would would
not not
affect affect
our our
ability ability
to to
feed feed
our our
growing grow
population population
, ,
because because
the the
high high
seas sea
provide provide
only only
five five
percent percent
of of
the the
global global
marine marine
catch catch
, ,
because because
the the
high high
seas sea
are be
not not
as as
productive productive
as as
near-shore near-shore
waters water
. .
And and
most most
of of
the the
catch catch
of of
the the
high high
seas sea
is be
sold sell
as as
upscale upscale
food food
items item
, ,
like like
tuna tuna
sashimi sashimi
or or
shark shark
fin fin
soup soup
. .
The the
high high
seas sea
catch catch
does do
not not
contribute contribute
to to
global global
food food
security security
. .
So so
how how
are be
we we
going go
to to
do do
it it
? ?
How how
are be
we we
going go
to to
protect protect
the the
high high
seas sea
? ?
As as
we we
speak speak
, ,
negotiators negotiator
at at
the the
United united
Nations nations
are be
beginning begin
discussions discussion
on on
a a
new new
agreement agreement
to to
do do
just just
that that
. .
But but
this this
cannot can
happen happen
behind behind
closed closed
doors door
. .
This this
is be
our our
greatest great
opportunity opportunity
. .
And and
we we
all all
should should
ensure ensure
that that
our our
countries country
will will
support support
the the
protection protection
of of
the the
high high
seas sea
and and
get get
rid rid
of of
subsidies subsidy
to to
industrial industrial
fishing fishing
. .
In in
2016 @card@
, ,
24 @card@
countries country
and and
the the
European european
Union union
agreed agree
to to
protect protect
the the
Ross ross
Sea sea
, ,
the the
wildest wild
places place
in in
Antarctica antarctica
, ,
full full
of of
wildlife wildlife
like like
killer killer
whales whale
, ,
leopard leopard
seals seal
, ,
penguins penguin
. .
And and
this this
included include
fishing fishing
nations nation
, ,
like like
China china
, ,
Japan japan
, ,
Spain spain
, ,
Russia russia
. .
But but
they they
decided decide
that that
protecting protect
such such
a a
unique unique
environment environment
would would
be be
worth worth
more more
than than
exploiting exploit
it it
for for
relatively relatively
little little
benefit benefit
. .
And and
this this
is be
exactly exactly
the the
type type
of of
cooperation cooperation
and and
willingness willingness
to to
set set
aside aside
differences difference
that that
we we
are be
going go
to to
need need
. .
We we
can can
do do
it it
again again
. .
If if
20 @card@
years year
from from
now now
, ,
our our
children child
were be
to to
jump jump
into into
any any
random random
spot spot
in in
the the
ocean ocean
, ,
what what
would would
they they
see see
? ?
A a
barren barren
landscape landscape
, ,
like like
much much
of of
our our
seas sea
today today
, ,
or or
an an
abundance abundance
of of
life life
, ,
our our
legacy legacy
to to
the the
future future
? ?
Thank thank
you you
very very
much much
. .
Thank thank
you you
. .
