Hi hi
. .
I i
am be
an an
architect architect
. .
I i
am be
the the
only only
architect architect
in in
the the
world world
making make
buildings building
out out
of of
paper paper
like like
this this
cardboard cardboard
tube tube
, ,
and and
this this
exhibition exhibition
is be
the the
first first
one one
I i
did do
using use
paper paper
tubes tube
. .
1986 @card@
, ,
much much
, ,
much much
longer longer
before before
people people
started start
talking talk
about about
ecological ecological
issues issue
and and
environmental environmental
issues issue
, ,
I i
just just
started start
testing test
the the
paper paper
tube tube
in in
order order
to to
use use
this this
as as
a a
building building
structure structure
. .
It it
' '
s s
very very
complicated complicate
to to
test test
the the
new new
material material
for for
the the
building building
, ,
but but
this this
is be
much much
stronger strong
than than
I i
expected expect
, ,
and and
also also
it it
' '
s s
very very
easy easy
to to
waterproof waterproof
, ,
and and
also also
, ,
because because
it it
' '
s s
industrial industrial
material material
, ,
it it
' '
s s
also also
possible possible
to to
fireproof fireproof
. .
Then then
I i
built build
the the
temporary temporary
structure structure
, ,
1990 @card@
. .
This this
is be
the the
first first
temporary temporary
building building
made make
out out
of of
paper paper
. .
There there
are be
330 @card@
tubes tube
, ,
diameter diameter
55 @card@
[ [
centimeters centimeter
] ]
, ,
there there
are be
only only
12 @card@
tubes tube
with with
a a
diameter diameter
of of
120 @card@
centimeters centimeter
, ,
or or
four four
feet foot
, ,
wide wide
. .
As as
you you
see see
it it
in in
the the
photo photo
, ,
inside inside
is be
the the
toilet toilet
. .
In in
case case
you you
' '
re re
finished finish
with with
toilet toilet
paper paper
, ,
you you
can can
tear tear
off off
the the
inside inside
of of
the the
wall wall
. .
So so
it it
' '
s s
very very
useful useful
. .
Year year
2000 @card@
, ,
there there
was be
a a
big big
expo expo
in in
Germany germany
. .
I i
was be
asked ask
to to
design design
the the
building building
, ,
because because
the the
theme theme
of of
the the
expo expo
was be
environmental environmental
issues issue
. .
So so
I i
was be
chosen choose
to to
build build
the the
pavilion pavilion
out out
of of
paper paper
tubes tube
, ,
recyclable recyclable
paper paper
. .
My my
goal goal
of of
the the
design design
is be
not not
when when
it it
' '
s s
completed complete
. .
My my
goal goal
was be
when when
the the
building building
was be
demolished demolish
, ,
because because
each each
country country
makes make
a a
lot lot
of of
pavilions pavilion
but but
after after
half half
a a
year year
, ,
we we
create create
a a
lot lot
of of
industrial industrial
waste waste
, ,
so so
my my
building building
has have
to to
be be
reused reuse
or or
recycled recycle
. .
After after
, ,
the the
building building
was be
recycled recycle
. .
So so
that that
was be
the the
goal goal
of of
my my
design design
. .
Then then
I i
was be
very very
lucky lucky
to to
win win
the the
competition competition
to to
build build
the the
second second
Pompidou pompidou
Center center
in in
France france
in in
the the
city city
of of
Metz metz
. .
Because because
I i
was be
so so
poor poor
, ,
I i
wanted want
to to
rent rent
an an
office office
in in
Paris paris
, ,
but but
I i
couldn couldn
' '
t t
afford afford
it it
, ,
so so
I i
decided decide
to to
bring bring
my my
students student
to to
Paris paris
to to
build build
our our
office office
on on
top top
of of
the the
Pompidou pompidou
Center center
in in
Paris paris
by by
ourselves ourselves
. .
So so
we we
brought bring
the the
paper paper
tubes tube
and and
the the
wooden wooden
joints joint
to to
complete complete
the the
35-meter-long 35-meter-long
office office
. .
We we
stayed stay
there there
for for
six six
years year
without without
paying pay
any any
rent rent
. .
Thank thank
you you
. .
I i
had have
one one
big big
problem problem
. .
Because because
we we
were be
part part
of of
the the
exhibition exhibition
, ,
even even
if if
my my
friend friend
wanted want
to to
see see
me me
, ,
they they
had have
to to
buy buy
a a
ticket ticket
to to
see see
me me
. .
That that
was be
the the
problem problem
. .
Then then
I i
completed complete
the the
Pompidou pompidou
Center center
in in
Metz metz
. .
It it
' '
s s
a a
very very
popular popular
museum museum
now now
, ,
and and
I i
created create
a a
big big
monument monument
for for
the the
government government
. .
But but
then then
I i
was be
very very
disappointed disappoint
at at
my my
profession profession
as as
an an
architect architect
, ,
because because
we we
are be
not not
helping help
, ,
we we
are be
not not
working work
for for
society society
, ,
but but
we we
are be
working work
for for
privileged privileged
people people
, ,
rich rich
people people
, ,
government government
, ,
developers developer
. .
They they
have have
money money
and and
power power
. .
Those those
are be
invisible invisible
. .
So so
they they
hire hire
us us
to to
visualize visualize
their their
power power
and and
money money
by by
making make
monumental monumental
architecture architecture
. .
That that
is be
our our
profession profession
, ,
even even
historically historically
it it
' '
