Whenever whenever
I i
get get
to to
travel travel
for for
work work
, ,
I i
try try
to to
find find
out out
where where
my my
drinking drinking
water water
comes come
from from
, ,
and and
where where
my my
poop poop
and and
pee pee
go go
. .
This this
has have
earned earn
me me
the the
nickname nickname
" "
The the
Poo poo
Princess princess
" "
in in
my my
family family
, ,
and and
it it
' '
s s
ruined ruin
many many
family family
vacations vacation
, ,
because because
this this
is be
not not
normal normal
. .
But but
thinking think
about about
where where
it it
all all
goes go
is be
the the
first first
step step
in in
activating activate
what what
are be
actually actually
superpowers superpower
in in
our our
poop poop
and and
pee pee
. .
Yeah yeah
. .
And and
if if
we we
use use
them them
well well
, ,
we we
can can
live live
healthier healthier
and and
more more
beautifully beautifully
. .
Check check
out out
this this
landscape landscape
in in
Santa santa
Fe fe
, ,
New new
Mexico mexico
. .
Just just
notice notice
what what
kinds kind
of of
words word
and and
feelings feeling
come come
to to
mind mind
. .
This this
landscape landscape
was be
watered water
with with
treated treat
sewage sewage
water water
. .
Does do
that that
change change
anything anything
for for
you you
? ?
I i
imagine imagine
it it
might might
. .
And and
that that
' '
s s
OK ok
. .
How how
we we
feel feel
about about
this this
is be
going go
to to
determine determine
exactly exactly
how how
innovative innovative
we we
can can
be be
. .
And and
I i
want want
to to
explain explain
how how
it it
works work
, ,
but but
what what
words word
do do
I i
use use
? ?
I i
mean mean
, ,
I i
can can
use use
profane profane
words word
like like
" "
shit shit
" "
and and
" "
piss piss
, ,
" "
and and
then then
my my
grandma grandma
won won
' '
t t
watch watch
the the
video video
. .
Or or
I i
can can
use use
childish childish
words word
like like
" "
poo poo
" "
and and
" "
pee pee
. .
" "
Eh eh
. .
Or or
I i
can can
use use
scientific scientific
words word
like like
" "
excrement excrement
" "
and and
" "
feces feces
. .
" "
Humph humph
. .
I i
' '
ll ll
use use
a a
mix mix
. .
It it
' '
s s
all all
I i
got get
. .
So so
, ,
in in
this this
suburb suburb
, ,
the the
poo poo
and and
the the
pee pee
and and
the the
wash wash
water water
are be
going go
to to
this this
treatment treatment
plant plant
right right
in in
the the
middle middle
of of
the the
community community
. .
It it
looks look
more more
like like
a a
park park
than than
a a
treatment treatment
plant plant
. .
The the
poo poo
at at
the the
very very
bottom bottom
of of
all all
those those
layers layer
of of
gravel gravel
— -
not not
touching touch
anyone anyone
— -
is be
providing provide
solid solid
food food
for for
those those
marsh marsh
plants plant
. .
And and
the the
clean clean
, ,
clear clear
water water
that that
comes come
out out
the the
other other
end end
is be
traveling travel
underground underground
to to
water water
each each
person person
' '
s s
yard yard
. .
So so
even even
though though
they they
' '
re re
in in
a a
desert desert
, ,
they they
get get
their their
own own
personal personal
oasis oasis
. .
This this
approach approach
is be
called call
Integrated integrated
Water water
Management management
, ,
or or
holistic holistic
or or
closed- closed-
loop loop
. .
Whatever whatever
you you
want want
to to
call call
it it
, ,
it it
' '
s s
in in
conflict conflict
with with
the the
status status
quo quo
of of
how how
we we
think think
about about
sanitation sanitation
, ,
which which
is be
contain contain
, ,
treat treat
, ,
push push
it it
away away
. .
But but
in in
this this
approach approach
, ,
we we
' '
re re
doing do
one one
step step
better well
. .
We we
' '
re re
designing design
for for
reuse reuse
from from
the the
very very
beginning beginning
, ,
because because
everything everything
does do
get get
reused reuse
, ,
only only
now now
we we
' '
re re
planning planning
for for
it it
. .
And and
often often
, ,
that that
makes make
for for
really really
beautiful beautiful
spaces space
. .
But but
the the
most most
important important
thing thing
about about
this this
system system
isn isn
' '
t t
the the
technicals technicals
of of
how how
it it
works work
. .
It it
' '
s s
how how
you you
feel feel
about about
it it
. .
Do do
you you
want want
this this
in in
your your
yard yard
? ?
Why why
not not
? ?
I i
got get
really really
curious curious
about about
this this
question question
. .
Why why
don don
' '
t t
we we
see see
more more
innovation innovation
in in
sanitation sanitation
? ?
Why why
isn isn
' '
t t
that that
kind kind
of of
thing thing
the the
new new
normal normal
? ?
And and
I i
care care
so so
much much
about about
this this
question question
, ,
that that
I i
work work
for for
a a
nonprofit nonprofit
called call
Recode recode
. .
We we
want want
to to
accelerate accelerate
adoption adoption
of of
sustainable sustainable
building building
and and
development development
practices practice
. .
We we
want want
more more
innovation innovation
. .
But but
a a
lot lot
of of
times time
, ,
whole whole
categories category
of of
innovation innovation
— -
ones one
that that
can can
help help
us us
live live
more more
beautifully beautifully
— -
turn turn
out out
to to
be be
illegal illegal
. .
Today today
' '
s s
regulations regulation
and and
codes code
were be
written write
under under
the the
assumption assumption
that that
best good
practices practice
would would
remain remain
best good
practices practice
, ,
with with
incremental incremental
updates update
forever forever
and and
ever ever
. .
But but
innovation innovation
isn isn
' '
t t
always always
incremental incremental
. .
It it
turns turn
out out
, ,
how how
we we
feel feel
about about
any any
particular particular
new new
technique technique
gets get
into into
everything everything
we we
do do
: :
how how
we we
talk talk
about about
it it
, ,
how how
we we
encourage encourage
people people
to to
study study
, ,
our our
jokes joke
, ,
our our
codes code
. .
. .
. .
And and
it it
ultimately ultimately
determines determine
how how
innovative innovative
we we
can can
be be
. .
So so
, ,
that that
' '
s s
the the
first first
reason reason
we we
don don
' '
t t
innovate innovate
in in
sanitation sanitation
. .
We we
' '
re re
kind kind
of of
uncomfortable uncomfortable
talking talking
about about
sanitation sanitation
, ,
that that
' '
s s
why why
I i
' '
ve ve
gotten get
called call
" "
The the
Poo poo
Princess princess
" "
so so
much much
. .
The the
second second
reason reason
is be
: :
we we
think think
the the
problem problem
is be
solved solve
here here
in in
the the
US us
. .
But but
not not
so so
. .
Here here
in in
the the
US us
we we
still still
get get
sick sick
from from
drinking drink
shit shit
in in
our our
sewage sewage
water water
. .
Seven seven
million million
people people
get get
sick sick
every every
year year
, ,
900 @card@
die die
annually annually
. .
And and
we we
' '
re re
not not
taking take
a a
holistic holistic
approach approach
to to
making make
it it
better well
. .
So so
we we
' '
re re
not not
solving solve
it it
. .
Where where
I i
live live
in in
Portland portland
, ,
Oregon oregon
, ,
I i
can can
' '
t t
take take
Echo echo
for for
a a
swim swim
during during
the the
rainy rainy
season season
, ,
because because
we we
dump dump
raw raw
sewage sewage
sometimes sometimes
into into
our our
river river
. .
Our our
rainwater rainwater
and and
our our
sewage sewage
go go
to to
the the
same same
treatment treatment
plant plant
. .
Too too
much much
rain rain
overflows overflow
into into
the the
river river
. .
And and
Portland portland
is be
not not
alone alone
here here
. .
Forty forty
percent percent
of of
municipalities municipality
self- self-
report report
dumping dump
raw raw
or or
partially partially
treated treat
sewage sewage
into into
our our
waterways waterway
. .
The the
other other
bummer bummer
going go
on on
here here
with with
our our
status status
quo quo
is be
that that
half half
of of
all all
of of
your your
poop poop
and and
pee pee
is be
going go
to to
fertilize fertilize
farmland farmland
. .
The the
other other
half half
is be
being be
incinerated incinerate
or or
land-filled land-fill
. .
And and
that that
' '
s s
a a
bummer bummer
to to
me me
, ,
because because
