So so
, ,
how how
many many
of of
you you
have have
ever ever
gotten get
behind behind
the the
wheel wheel
of of
a a
car car
when when
you you
really really
shouldn shouldn
' '
t t
have have
been be
driving drive
? ?
Maybe maybe
you you
' '
re re
out out
on on
the the
road road
for for
a a
long long
day day
, ,
and and
you you
just just
wanted want
to to
get get
home home
. .
You you
were be
tired tired
, ,
but but
you you
felt feel
you you
could could
drive drive
a a
few few
more more
miles mile
. .
Maybe maybe
you you
thought think
, ,
I i
' '
ve ve
had have
less less
to to
drink drink
than than
everybody everybody
else else
, ,
I i
should should
be be
the the
one one
to to
go go
home home
. .
Or or
maybe maybe
your your
mind mind
was be
just just
entirely entirely
elsewhere elsewhere
. .
Does do
this this
sound sound
familiar familiar
to to
you you
? ?
Now now
, ,
in in
those those
situations situation
, ,
wouldn wouldn
' '
t t
it it
be be
great great
if if
there there
was be
a a
button button
on on
your your
dashboard dashboard
that that
you you
could could
push push
, ,
and and
the the
car car
would would
get get
you you
home home
safely safely
? ?
Now now
, ,
that that
' '
s s
been be
the the
promise promise
of of
the the
self-driving self-driving
car car
, ,
the the
autonomous autonomous
vehicle vehicle
, ,
and and
it it
' '
s s
been be
the the
dream dream
since since
at at
least least
1939 @card@
, ,
when when
General general
Motors motors
showcased showcase
this this
idea idea
at at
their their
Futurama futurama
booth booth
at at
the the
World world
' '
s s
Fair fair
. .
Now now
, ,
it it
' '
s s
been be
one one
of of
those those
dreams dream
that that
' '
s s
always always
seemed seem
about about
20 @card@
years year
in in
the the
future future
. .
Now now
, ,
two two
weeks week
ago ago
, ,
that that
dream dream
took take
a a
step step
forward forward
, ,
when when
the the
state state
of of
Nevada nevada
granted grant
Google google
' '
s s
self-driving self-driving
car car
the the
very very
first first
license license
for for
an an
autonomous autonomous
vehicle vehicle
, ,
clearly clearly
establishing establish
that that
it it
' '
s s
legal legal
for for
them them
to to
test test
it it
on on
the the
roads road
in in
Nevada nevada
. .
Now now
, ,
California california
' '
s s
considering consider
similar similar
legislation legislation
, ,
and and
this this
would would
make make
sure sure
that that
the the
autonomous autonomous
car car
is be
not not
one one
of of
those those
things thing
that that
has have
to to
stay stay
in in
Vegas vegas
. .
Now now
, ,
in in
my my
lab lab
at at
