Chris chris
Anderson anderson
: :
So so
, ,
Jon jon
, ,
this this
feels feel
scary scary
. .
Jonathan jonathan
Haidt haidt
: :
Yeah yeah
. .
CA ca
: :
It it
feels feel
like like
the the
world world
is be
in in
a a
place place
that that
we we
haven haven
' '
t t
seen see
for for
a a
long long
time time
. .
People people
don don
' '
t t
just just
disagree disagree
in in
the the
way way
that that
we we
' '
re re
familiar familiar
with with
, ,
on on
the the
left- left-
right right
political political
divide divide
. .
There there
are be
much much
deeper deep
differences difference
afoot afoot
. .
What what
on on
earth earth
is be
going go
on on
, ,
and and
how how
did do
we we
get get
here here
? ?
JH jh
: :
This this
is be
different different
. .
There there
' '
s s
a a
much much
more more
apocalyptic apocalyptic
sort sort
of of
feeling feeling
. .
Survey survey
research research
by by
Pew pew
Research research
shows show
that that
the the
degree degree
to to
which which
we we
feel feel
that that
the the
other other
side side
is be
not not
just just
— -
we we
don don
' '
t t
just just
dislike dislike
them them
; ;
we we
strongly strongly
dislike dislike
them them
, ,
and and
we we
think think
that that
they they
are be
a a
threat threat
to to
the the
nation nation
. .
Those those
numbers number
have have
been be
going go
up up
and and
up up
, ,
and and
those those
are be
over over
50 @card@
percent percent
now now
on on
both both
sides side
. .
People people
are be
scared scare
, ,
because because
it it
feels feel
like like
this this
is be
different different
than than
before before
; ;
it it
' '
s s
much much
more more
intense intense
. .
Whenever whenever
I i
look look
at at
any any
sort sort
of of
social social
puzzle puzzle
, ,
I i
always always
apply apply
the the
three three
basic basic
principles principle
of of
moral moral
psychology psychology
, ,
and and
I i
think think
they they
' '
ll ll
help help
us us
here here
. .
So so
the the
first first
thing thing
that that
you you
have have
to to
always always
keep keep
in in
mind mind
when when
you you
' '
re re
thinking thinking
about about
politics politics
is be
that that
we we
' '
re re
tribal tribal
. .
We we
evolved evolve
for for
tribalism tribalism
. .
One one
of of
the the
simplest simple
and and
greatest great
insights insight
into into
human human
social social
nature nature
is be
the the
Bedouin bedouin
proverb proverb
: :
" "
Me me
against against
my my
brother brother
; ;
me me
and and
my my
brother brother
against against
our our
cousin cousin
; ;
me me
and and
my my
brother brother
and and
cousins cousin
against against
the the
stranger stranger
. .
" "
And and
that that
tribalism tribalism
allowed allow
us us
to to
create create
large large
societies society
and and
to to
come come
together together
in in
order order
to to
compete compete
