So so
, ,
I i
' '
d d
like like
to to
spend spend
a a
few few
minutes minute
with with
you you
folks folk
today today
imagining imagine
what what
our our
planet planet
might might
look look
like like
in in
a a
thousand thousand
years year
. .
But but
before before
I i
do do
that that
, ,
I i
need need
to to
talk talk
to to
you you
about about
synthetic synthetic
materials material
like like
plastics plastic
, ,
which which
require require
huge huge
amounts amount
of of
energy energy
to to
create create
and and
, ,
because because
of of
their their
disposal disposal
issues issue
, ,
are be
slowly slowly
poisoning poison
our our
planet planet
. .
I i
also also
want want
to to
tell tell
you you
and and
share share
with with
you you
how how
my my
team team
and and
I i
have have
been be
using use
mushrooms mushroom
over over
the the
last last
three three
years year
. .
Not not
like like
that that
. .
We we
' '
re re
using use
mushrooms mushroom
to to
create create
an an
entirely entirely
new new
class class
of of
materials material
, ,
which which
perform perform
a a
lot lot
like like
plastics plastic
during during
their their
use use
, ,
but but
are be
made make
from from
crop crop
waste waste
and and
are be
totally totally
compostable compostable
at at
the the
end end
of of
their their
lives life
. .
But but
first first
, ,
I i
need need
to to
talk talk
to to
you you
about about
what what
I i
consider consider
one one
of of
the the
most most
egregious egregious
offenders offender
in in
the the
disposable disposable
plastics plastic
category category
. .
This this
is be
a a
material material
you you
all all
know know
is be
Styrofoam styrofoam
, ,
but but
I i
like like
to to
think think
of of
it it
as as
toxic toxic
white white
stuff stuff
. .
In in
a a
single single
cubic cubic
foot foot
of of
this this
material material
— -
about about
what what
would would
come come
around around
your your
computer computer
or or
large large
television television
— -
you you
have have
the the
same same
energy energy
content content
of of
about about
a a
liter liter
and and
a a
half half
of of
petrol petrol
. .
Yet yet
, ,
after after
just just
a a
few few
weeks week
of of
use use
, ,
you you
' '
ll ll
throw throw
this this
material material
in in
the the
trash trash
. .
And and
this this
isn isn
' '
t t
just just
found find
in in
packaging packaging
. .
20 @card@
billion billion
dollars dollar
of of
this this
material material
is be
produced produce
every every
year year
, ,
in in
everything everything
from from
building build
materials material
to to
surfboards surfboard
to to
coffee coffee
cups cup
to to
table table
tops top
. .
And and
that that
' '
s s
not not
the the
only only
place place
it it
' '
s s
found find
. .
The the
EPA epa
estimates estimate
, ,
in in
the the
United united
States states
, ,
by by
volume volume
, ,
this this
material material
occupies occupy
25 @card@
percent percent
of of
our our
landfills landfill
. .
Even even
worse bad
is be
when when
it it
finds find
its its
way way
into into
our our
natural natural
environment environment
— -
on on
the the
side side
of of
the the
road road
or or
next next
to to
a a
river river
. .
If if
it it
' '
s s
not not
picked pick
up up
by by
a a
human human
, ,
like like
me me
and and
you you
, ,
it it
' '
ll ll
stay stay
there there
for for
thousands thousand
and and
thousands thousand
of of
years year
. .
Perhaps perhaps
even even
worse bad
is be
when when
it it
finds find
its its
way way
into into
our our
oceans ocean
, ,
like like
in in
the the
great great
plastic plastic
gyre gyre
, ,
where where
these these
materials material
are be
being be
mechanically mechanically
broken break
into into
smaller small
and and
smaller small
bits bit
, ,
but but
they they
' '
re re
not not
really really
going go
away away
. .
They they
' '
re re
not not
biologically biologically
compatible compatible
. .
They they
' '
re re
basically basically
fouling foul
up up
Earth earth
' '
s s
respiratory respiratory
and and
circulatory circulatory
systems system
. .
And and
because because
these these
materials material
are be
so so
prolific prolific
, ,
because because
they they
' '
re re
found find
in in
so so
many many
places place
, ,
there there
' '
s s
one one
other other
place place
you you
' '
ll ll
find find
this this
material material
, ,
styrene styrene
, ,
which which
is be
made make
from from
benzene benzene
, ,
a a
known know
carcinogen carcinogen
. .
You you
' '
ll ll
find find
it it
inside inside
of of
you you
. .
So so
, ,
for for
all all
these these
reasons reason
, ,
I i
think think
we we
need need
better good
materials material
, ,
and and
there there
are be
three three
key key
principles principle
we we
can can
use use
to to
guide guide
these these
materials material
. .
The the
first first
is be
feedstocks feedstock
. .
Today today
, ,
we we
use use
a a
single single
feedstock feedstock
, ,
petroleum petroleum
, ,
to to
heat heat
our our
homes home
, ,
power power
our our
cars car
and and
make make
most most
of of
the the
materials material
you you
see see
around around
you you
. .
We we
recognize recognize
this this
is be
a a
finite finite
resource resource
, ,
and and
it it
' '
s s
simply simply
crazy crazy
to to
do do
this this
, ,
to to
put put
a a
liter liter
and and
a a
half half
of of
petrol petrol
in in
the the
trash trash
every every
time time
you you
get get
a a
package package
. .
Second second
of of
all all
, ,
we we
should should
really really
strive strive
