Nearly nearly
everyone everyone
in in
the the
world world
is be
part part
of of
some some
community community
, ,
whether whether
large large
or or
small small
. .
And and
all all
of of
these these
communities community
have have
similar similar
needs need
. .
They they
need need
light light
, ,
they they
need need
heat heat
they they
need need
air-conditioning air-conditioning
. .
People people
can can
' '
t t
function function
very very
well well
when when
it it
' '
s s
too too
hot hot
or or
too too
cold cold
. .
They they
need need
food food
to to
be be
grown grow
or or
provided provide
, ,
distributed distribute
and and
stored store
safely safely
. .
They they
need need
waste waste
products product
to to
be be
collected collect
, ,
removed remove
and and
processed process
. .
People people
in in
the the
community community
need need
to to
be be
able able
to to
get get
from from
one one
place place
to to
another another
as as
quickly quickly
as as
possible possible
. .
And and
a a
supply supply
of of
energy energy
is be
the the
basis basis
for for
all all
of of
these these
activities activity
. .
Energy energy
in in
the the
form form
of of
electricity electricity
provides provide
light light
and and
air-conditioning air-conditioning
. .
Energy energy
in in
the the
form form
of of
heat heat
keeps keep
us us
warm warm
. .
And and
energy energy
in in
chemical chemical
form form
provides provide
fertilizer fertilizer
; ;
it it
drives drive
farm farm
machinery machinery
and and
transportation transportation
energy energy
. .
Now now
, ,
I i
spent spend
10 @card@
years year
working work
at at
NASA nasa
. .
In in
the the
beginning beginning
of of
my my
time time
there there
in in
2000 @card@
, ,
I i
was be
very very
interested interested
in in
communities community
. .
But but
this this
is be
the the
kind kind
of of
community community
I i
was be
thinking think
of of
— -
a a
lunar lunar
community community
It it
had have
all all
of of
the the
same same
needs need
as as
a a
community community
on on
Earth earth
would would
have have
, ,
but but
it it
had have
some some
very very
unique unique
constraints constraint
. .
And and
we we
had have
to to
think think
about about
how how
we we
would would
provide provide
energy energy
for for
this this
very very
unique unique
community community
. .
There—s there—s
no no
coal coal
on on
the the
Moon moon
. .
There there
' '
s s
no no
petroleum petroleum
. .
There—s there—s
no no
natural natural
gas gas
. .
There there
' '
s s
no no
atmosphere atmosphere
. .
There—s there—s
no no
wind wind
, ,
either either
. .
And and
solar solar
power power
had have
a a
real real
problem problem
: :
the the
Moon moon
orbits orbit
the the
Earth earth
once once
a a
month month
. .
For for
two two
weeks week
, ,
the the
sun sun
goes go
down down
, ,
and and
your your
solar solar
panels panel
don don
' '
t t
make make
any any
energy energy
. .
If if
you you
want want
to to
try try
to to
store store
enough enough
energy energy
in in
batteries battery
for for
two two
weeks week
, ,
it it
just just
simply simply
isn isn
' '
t t
practical practical
. .
So so
nuclear nuclear
energy energy
was be
really really
the the
only only
choice choice
. .
Now now
, ,
back back
in in
2000 @card@
, ,
I i
didn didn
' '
t t
really really
know know
too too
much much
about about
nuclear nuclear
power power
, ,
so so
I i
started start
trying try
to to
learn learn
. .
Almost almost
all all
of of
the the
nuclear nuclear
power power
we we
use use
on on
Earth earth
today today
uses use
water water
as as
a a
basic basic
coolant coolant
. .
This this
has have
some some
advantages advantage
, ,
but but
it it
has have
a a
lot lot
