I i
' '
m m
going go
to to
talk talk
about about
the the
power power
of of
a a
word word
: :
jihad jihad
. .
To to
the the
vast vast
majority majority
of of
practicing practice
Muslims muslim
, ,
jihad jihad
is be
an an
internal internal
struggle struggle
for for
the the
faith faith
. .
It it
is be
a a
struggle struggle
within within
, ,
a a
struggle struggle
against against
vice vice
, ,
sin sin
, ,
temptation temptation
, ,
lust lust
, ,
greed greed
. .
It it
is be
a a
struggle struggle
to to
try try
and and
live live
a a
life life
that that
is be
set set
by by
the the
moral moral
codes code
written write
in in
the the
Koran koran
. .
In in
that that
original original
idea idea
, ,
the the
concept concept
of of
jihad jihad
is be
as as
important important
to to
Muslims muslim
as as
the the
idea idea
of of
grace grace
is be
to to
Christians christian
. .
It it
' '
s s
a a
very very
powerful powerful
word word
, ,
jihad jihad
, ,
if if
you you
look look
at at
it it
in in
that that
respect respect
, ,
and and
there there
' '
s s
a a
certain certain
almost almost
mystical mystical
resonance resonance
to to
it it
. .
And and
that that
' '
s s
the the
reason reason
why why
, ,
for for
hundreds hundred
of of
years year
, ,
Muslims muslim
everywhere everywhere
have have
named name
their their
children child
Jihad jihad
, ,
their their
daughters daughter
as as
much much
as as
their their
sons son
, ,
in in
the the
same same
way way
that that
, ,
say say
, ,
Christians christian
name name
their their
daughters daughter
Grace grace
, ,
and and
Hindus hindu
, ,
my my
people people
, ,
name name
our our
daughters daughter
Bhakti bhakti
, ,
which which
means mean
, ,
in in
Sanskrit sanskrit
, ,
spiritual spiritual
worship worship
. .
But but
there there
have have
always always
been be
, ,
in in
Islam islam
, ,
a a
small small
group group
, ,
a a
minority minority
, ,
who who
believe believe
that that
jihad jihad
is be
not not
only only
an an
internal internal
struggle struggle
but but
also also
an an
external external
struggle struggle
against against
forces force
that that
would would
threaten threaten
the the
faith faith
, ,
or or
the the
faithul faithul
. .
And and
some some
of of
these these
people people
believe believe
that that
in in
that that
struggle struggle
, ,
it it
is be
sometimes sometimes
okay okay
to to
take take
up up
arms arm
. .
And and
so so
the the
thousands thousand
of of
young young
Muslim muslim
men man
who who
flocked flock
to to
Afghanistan afghanistan
in in
the the
1980s 1980s
to to
fight fight
against against
the the
Soviet soviet
occupation occupation
of of
a a
Muslim muslim
country country
, ,
in in
their their
minds mind
they they
were be
fighting fight
a a
jihad jihad
, ,
they they
were be
doing do
jihad jihad
, ,
and and
they they
named name
themselves themselves
the the
Mujahideen mujahideen
, ,
which which
is be
a a
word word
that that
comes come
from from
the the
same same
root root
as as
jihad jihad
. .
And and
we we
forget forget
this this
now now
, ,
but but
back back
then then
the the
Mujahideen mujahideen
were be
celebrated celebrate
in in
this this
country country
, ,
in in
America america
. .
We we
thought think
of of
them them
as as
holy holy
warriors warrior
who who
were be
taking take
the the
good good
fight fight
to to
the the
ungodly ungodly
communists communist
. .
America america
gave give
them them
weapons weapon
, ,
gave give
them them
money money
, ,
gave give
them them
support support
, ,
encouragement encouragement
. .
But but
within within
that that
group group
, ,
a a
tiny tiny
, ,
smaller small
group group
, ,
a a
minority minority
within within
a a
minority minority
within within
a a
minority minority
, ,
were be
coming come
up up
with with
a a
new new
and and
dangerous dangerous
conception conception
of of
jihad jihad
, ,
and and
in in
time time
this this
group group
would would
come come
to to
be be
led lead
by by
Osama osama
bin bin
Laden laden
, ,
and and
he he
refined refine
the the
idea idea
. .
His his
idea idea
