An an
article article
in in
the the
Yale yale
Alumni alumnus
Magazine magazine
told tell
the the
story story
of of
Clyde clyde
Murphy murphy
, ,
a a
black black
man man
who who
was be
a a
member member
of of
the the
Class class
of of
1970 @card@
. .
Clyde clyde
was be
a a
success success
story story
. .
After after
Yale yale
and and
a a
law law
degree degree
from from
Columbia columbia
, ,
Clyde clyde
spent spend
the the
next next
30 @card@
years year
as as
one one
of of
America america
' '
s s
top top
civil civil
rights right
lawyers lawyer
. .
He he
was be
also also
a a
great great
husband husband
and and
father father
. .
But but
despite despite
his his
success success
, ,
personally personally
and and
professionally professionally
, ,
Clyde clyde
' '
s s
story story
had have
a a
sad sad
ending ending
. .
In in
2010 @card@
, ,
at at
the the
age age
of of
62 @card@
, ,
Clyde clyde
died die
from from
a a
blood blood
clot clot
in in
his his
lung lung
. .
Clyde clyde
' '
s s
experience experience
was be
not not
unique unique
. .
Many many
of of
his his
black black
classmates classmate
from from
Yale yale
also also
died die
young young
. .
In in
fact fact
, ,
the the
magazine magazine
article article
indicated indicate
that that
41 @card@
years year
after after
graduation graduation
from from
Yale yale
, ,
the the
black black
members member
of of
the the
Class class
of of
1970 @card@
had have
a a
death death
rate rate
that that
was be
three three
times time
higher high
than than
that that
of of
the the
average average
class class
member member
. .
It it
' '
s s
stunning stunning
. .
America america
has have
recently recently
awakened awaken
to to
a a
steady steady
drumbeat drumbeat
of of
unarmed unarmed
black black
men man
being be
shot shoot
by by
the the
police police
. .
What what
is be
even even
a a
bigger big
story story
is be
that that
every every
seven seven
minutes minute
, ,
a a
black black
person person
dies die
prematurely prematurely
in in
the the
United united
States states
. .
That that
is be
over over
200 @card@
black black
people people
die die
every every
single single
day day
who who
would would
not not
die die
if if
the the
health health
of of
blacks black
and and
whites white
were be
equal equal
. .
For for
the the
last last
25 @card@
years year
, ,
I i
have have
been be
on on
a a
mission mission
to to
understand understand
why why
does do
race race
matter matter
so so
profoundly profoundly
for for
health health
. .
When when
I i
started start
my my
career career
, ,
many many
believed believe
that that
it it
was be
simply simply
about about
racial racial
differences difference
in in
income income
and and
education education
. .
I i
discovered discover
that that
while while
economic economic
status status
matters matter
for for
health health
, ,
there there
is be
more more
to to
the the
story story
. .
So so
for for
example example
, ,
if if
we we
look look
at at
life life
expectancy expectancy
at at
age age
25 @card@
, ,
at at
age age
25 @card@
there there
' '
s s
a a
five- five-
year year
gap gap
between between
blacks black
and and
whites white
. .
And and
the the
gap gap
by by
education education
for for
both both
whites white
and and
blacks black
is be
even even
