Whitney whitney
Pennington pennington
Rodgers rodgers
: :
Before before
we we
really really
dive dive
in in
to to
talking talk
specifically specifically
about about
Google google
' '
s s
work work
in in
the the
contact contact
tracing trace
space space
, ,
let let
' '
s s
first first
set set
up up
the the
relationship relationship
between between
public public
health health
and and
tech tech
. .
You you
know know
, ,
I i
think think
a a
lot lot
of of
people people
, ,
they they
hear hear
" "
Google google
, ,
" "
and and
they they
think think
of of
this this
big big
tech tech
company company
. .
They they
think think
of of
a a
search search
engine engine
. .
And and
there there
may may
be be
questions question
about about
why why
does do
Google google
have have
a a
chief chief
health health
officer officer
? ?
So so
could could
you you
talk talk
a a
little little
bit bit
about about
your your
work work
and and
the the
work work
your your
team team
does do
? ?
Karen karen
DeSalvo desalvo
: :
Yeah yeah
. .
Well well
, ,
maybe maybe
I i
' '
m m
the the
embodiment embodiment
of of
public public
health health
and and
tech tech
coming come
together together
. .
My my
background background
is be
, ,
I i
practiced practice
medicine medicine
for for
20 @card@
years year
, ,
though though
a a
part part
of of
my my
work work
has have
always always
been be
in in
public public
health health
. .
In in
fact fact
, ,
my my
first first
job job
, ,
putting put
myself myself
through through
college college
, ,
was be
working work
at at
the the
state state
laboratory laboratory
in in
Massachusetts massachusetts
. .
As as
the the
story story
will will
go go
with with
Joia joia
[ [
Mukherjee mukherjee
] ]
we we
' '
re re
reconnected reconnect
again again
, ,
a a
Massachusetts massachusetts
theme theme
. .
And and
I i
, ,
across across
the the
journey journey
of of
the the
work work
that that
I i
was be
doing do
for for
my my
patients patient
to to
provide provide
them them
information information
and and
the the
right right
care care
and and
meet meet
them them
where where
they they
were be
medically medically
, ,
translated translate
into into
the the
work work
that that
I i
did do
when when
I i
was be
the the
Health health
Commissioner commissioner
in in
New new
Orleans orleans
and and
later late
when when
I i
had have
other other
roles role
in in
public public
health health
practice practice
, ,
that that
really really
is be
about about
thinking think
of of
people people
and and
community community
in in
the the
context context
in in
which which
they they
live live
and and
how how
we we
provide provide
the the
best good
information information
, ,
the the
best good
resources resource
, ,
the the
best good
services service
that that
are be
culturally culturally
and and
linguistically linguistically
appropriate appropriate
, ,
meet meet
them them
where where
they they
are be
. .
And and
when when
the the
opportunity opportunity
arose arise
to to
join join
the the
team team
at at
Google google
, ,
I i
was be
really really
thrilled thrill
, ,
because because
one one
of of
the the
things thing
that that
I i
have have
learned learn
across across
my my
journey journey
is be
that that
having have
the the
right right
information information
at at
the the
right right
time time
can can
make make
all all
the the
difference difference
in in
the the
world world
. .
It it
can can
literally literally
save save
lives life
. .
And and
billions billion
of of
people people
come come
to to
Google google
every every
day day
asking ask
for for
information information
, ,
and and
so so
it it
is be
a a
tremendous tremendous
opportunity opportunity
to to
have have
that that
right right
information information
and and
those those
resources resource
to to
people people
so so
that that
they they
can can
make make
good good
choices choice
, ,
so so
that that
they they
can can
have have
the the
right right
information information
, ,
so so
that that
they they
can can
participate participate
in in
their their
own own
health health
, ,
but but
also also
, ,
in in
the the
context context
of of
this this
historic historic
pandemic pandemic
, ,
be be
a a
part part
of of
the the
broader broad
health health
of of
the the
community community
, ,
whether whether
it it
' '
s s
to to
flatten flatten
