Right right
when when
I i
was be
15 @card@
was be
when when
I i
first first
got get
interested interested
in in
solar solar
energy energy
. .
My my
family family
had have
moved move
from from
Fort fort
Lee lee
, ,
New new
Jersey jersey
to to
California california
, ,
from from
the the
snow snow
to to
lots lot
of of
heat heat
, ,
and and
gas gas
lines line
. .
There there
was be
gas gas
rationing ration
in in
1973 @card@
. .
The the
energy energy
crisis crisis
was be
in in
full full
bore bore
. .
I i
started start
reading read
" "
Popular popular
Science science
" "
magazine magazine
, ,
and and
I i
got get
really really
excited excite
about about
the the
potential potential
of of
solar solar
energy energy
to to
try try
and and
solve solve
that that
crisis crisis
. .
I i
had have
just just
taken take
trigonometry trigonometry
in in
high high
school school
, ,
I i
learned learn
about about
the the
parabola parabola
and and
how how
it it
could could
concentrate concentrate
rays ray
of of
light light
to to
a a
single single
focus focus
. .
That that
got get
me me
very very
excited excited
. .
And and
I i
really really
felt feel
that that
there there
would would
be be
potential potential
to to
build build
some some
kind kind
of of
thing thing
that that
could could
concentrate concentrate
light light
. .
So so
, ,
I i
started start
this this
company company
called call
Solar solar
Devices devices
. .
And and
this this
was be
a a
company company
where where
I i
built build
parabolas parabola
, ,
I i
took take
metal metal
shop shop
, ,
and and
I i
remember remember
walking walk
into into
metal metal
shop shop
building building
parabolas parabola
and and
Stirling stirling
engines engine
. .
And and
I i
was be
building build
a a
Stirling stirling
engine engine
over over
on on
the the
lathe lathe
, ,
and and
all all
the the
motorcycle motorcycle
guys guy
said say
, ,
" "
You you
' '
re re
building build
a a
bong bong
, ,
aren aren
' '
t t
you you
? ?
" "
And and
I i
said say
, ,
" "
No no
, ,
it it
' '
s s
a a
Stirling stirling
engine engine
. .
" "
But but
they they
didn didn
' '
t t
believe believe
me me
. .
I i
sold sell
the the
plans plan
for for
this this
engine engine
and and
for for
this this
dish dish
in in
the the
back back
of of
" "
Popular popular
Science science
" "
magazine magazine
, ,
for for
four four
dollars dollar
each each
. .
And and
I i
earned earn
enough enough
money money
to to
pay pay
for for
my my
first first
year year
of of
Caltech caltech
. .
It it
was be
a a
really really
big big
excitement excitement
for for
me me
to to
get get
into into
Caltech caltech
. .
And and
at at
my my
first first
year year
at at
Caltech caltech
, ,
I i
continued continue
the the
business business
. .
But but
then then
, ,
in in
the the
second second
year year
of of
Caltech caltech
, ,
they they
started start
grading grade
. .
The the
whole whole
first first
year year
was be
pass pass
/ /
fail fail
, ,
but but
the the
second second
year year
was be
graded grade
. .
I i
wasn wasn
' '
t t
able able
to to
keep keep
up up
with with
the the
business business
, ,
and and
I i
ended end
up up
with with
a a
25-year 25-year
detour detour
. .
My my
dream dream
had have
been be
to to
convert convert
solar solar
energy energy
at at
a a
very very
practical practical
cost cost
, ,
but but
then then
I i
had have
this this
big big
detour detour
. .
First first
, ,
the the
coursework coursework
at at
Caltech caltech
. .
Then then
, ,
when when
I i
graduated graduate
from from
Caltech caltech
, ,
the the
IBM ibm
PC pc
came come
out out
, ,
and and
I i
got get
addicted addict
to to
the the
IBM ibm
PC pc
in in
1981 @card@
. .
And and
then then
in in
1983 @card@
, ,
Lotus lotus
1-2-3 @card@
came come
out out
, ,
and and
I i
was be
completely completely
blown blow
away away
by by
Lotus lotus
1-2-3 @card@
. .
I i
began begin
operating operate
my my
business business
with with
1-2-3 @card@
, ,
began begin
writing write
add-ins add-ins
for for
1-2-3 @card@
, ,
wrote write
a a
natural natural
language language
interface interface
to to
1-2-3 @card@
. .
I i
started start
an an
educational educational
software software
company company
after after
I i
joined join
Lotus lotus
, ,
and and
then then
I i
started start
Idealab idealab
so so
I i
could could
have have
a a
roof roof
under under
which which
I i
could could
build build
multiple multiple
companies company
in in
succession succession
. .
Much much
later later
— -
in in
2000 @card@
, ,
very very
recently recently
— -
the the
new new
California california
energy energy
crisis crisis
— -
what what
was be
purported purport
to to
be be
a a
big big
energy energy
crisis crisis
— -
was be
coming come
. .
And and
I i
was be
trying try
to to
figure figure
out out
if if
we we
could could
build build
something something
that that
would would
capitalize capitalize
on on
that that
and and
get get
people people
backup backup
energy energy
, ,
in in
case case
the the
crisis crisis
really really
came come
. .
And and
I i
started start
looking look
at at
how how
we we
could could
build build
battery battery
backup backup
systems system
that that
could could
give give
people people
five five
hours hour
, ,
10 @card@
hours hour
, ,
maybe maybe
even even
a a
full full
day day
, ,
or or
three three
days day
' '
worth worth
of of
backup backup
power power
. .
I i
' '
m m
glad glad
you you
heard hear
earlier early
today today
, ,
batteries battery
are be
unbelievably unbelievably
— -
lack lack
density density
compared compare
to to
fuel fuel
. .
So so
much much
more more
energy energy
can can
be be
stored store
with with
fuel fuel
than than
with with
batteries battery
. .
You you
' '
d d
have have
to to
fill fill
your your
entire entire
parking parking
space space
of of
one one
garage garage
space space
just just
to to
give give
yourself yourself
four four
hours hour
of of
battery battery
backup backup
. .
And and
I i
concluded conclude
, ,
after after
researching research
every every
other other
technology technology
that that
we we
could could
deploy deploy
for for
storing store
energy energy
— -
flywheels flywheel
, ,
different different
formulations formulation
of of
batteries battery
— -
it it
just just
wasn wasn
' '
t t
practical practical
to to
store store
energy energy
. .
So so
what what
about about
making make
energy energy
? ?
Maybe maybe
we we
could could
make make
energy energy
. .
I i
tried try
to to
figure figure
out out
— -
maybe maybe
solar solar
' '
s s
become become
attractive attractive
. .
It it
' '
s s
been be
25 @card@
years year
since since
I i
was be
doing do
this this
, ,
let let
me me
go go
back back
and and
look look
at at
what what
' '
s s
been be
happening happen
with with
solar solar
cells cell
. .
And and
the the
price price
had have
gone go
down down
from from
10 @card@
dollars dollar
a a
watt watt
to to
about about
four four
or or
five five
dollars dollar
a a
watt watt
, ,
but but
it it
stabilized stabilize
. .
And and
it it
needed need
to to
get get
much much
lower low
to to
be be
cost-effective cost-effective
. .
I i
studied study
all all
the the
new new
things thing
that that
had have
happened happen
in in
solar solar
cells cell
, ,
and and
was be
looking look
for for
ways way
we we
could could
make make
solar solar
cells cell
more more
inexpensively inexpensively
. .
A a
lot lot
of of
new new
things thing
are be
happening happen
to to
do do
that that
, ,
but but
fundamentally fundamentally
, ,
the the
process process
requires require
a a
tremendous tremendous
amount amount
of of
energy energy
. .
Some some
people people
say say
it it
takes take
more more
energy energy
to to
make make
a a
solar solar
cell cell
than than
it it
will will
give give
out out
in in
its its
entire entire
life life
. .
If if
we we
reduce reduce
the the
amount amount
of of
energy energy
it it
takes take
to to
make make
the the
cells cell
, ,
that that
will will
become become
more more
practical practical
. .
But but
right right
now now
, ,
you you
pretty pretty
much much
have have
to to
take take
silicon silicon
, ,
put put
it it
in in
an an
oven oven
at at
1600 @card@
F f
for for
17 @card@
hours hour
, ,
to to
make make
the the
cells cell
. .
A a
lot lot
of of
people people
are be
working work
to to
try try
and and
reduce reduce
that that
, ,
but but
I i
didn didn
' '
t t
have have
anything anything
to to
contribute contribute
. .
So so
I i
tried try
