Imagine imagine
you you
' '
re re
a a
farmer farmer
and and
you you
' '
ve ve
planted plant
enough enough
crops crop
to to
feed feed
your your
family family
for for
the the
coming come
year year
. .
The the
weather weather
is be
surprisingly surprisingly
good good
at at
the the
beginning beginning
of of
the the
growing grow
season season
, ,
but but
after after
those those
seeds seed
are be
in in
the the
ground ground
and and
the the
stalks stalk
start start
to to
peek peek
up up
from from
the the
soil soil
, ,
a a
disease disease
that that
you you
cannot can
see see
cuts cut
your your
expected expect
yield yield
in in
half half
. .
You you
think think
to to
yourself yourself
, ,
" "
What what
will will
my my
family family
eat eat
? ?
" "
In in
the the
coming come
year year
, ,
perhaps perhaps
you you
' '
ll ll
fumigate fumigate
your your
soil soil
, ,
maybe maybe
you you
' '
ll ll
add add
extra extra
fertilizer fertilizer
. .
Maybe maybe
you you
' '
ll ll
apply apply
a a
fungicide fungicide
or or
a a
pesticide pesticide
hoping hope
to to
decrease decrease
crop crop
loss loss
. .
You you
know know
that that
these these
traditional traditional
technologies technology
work work
, ,
but but
you you
also also
know know
they they
have have
some some
negative negative
implications implication
for for
our our
ecosystem ecosystem
. .
This this
, ,
of of
course course
, ,
is be
not not
an an
imaginary imaginary
scenario scenario
. .
We we
could could
feed feed
every every
person person
on on
this this
planet planet
if if
we we
didn didn
' '
t t
lose lose
so so
much much
to to
disease disease
, ,
pest pest
and and
poor poor
soil soil
conditions condition
. .
It it
' '
s s
estimated estimate
that that
we we
lose lose
between between
20 @card@
and and
40 @card@
percent percent
of of
crop crop
productivity productivity
due due
to to
preventable preventable
disease disease
and and
pest pest
attack attack
, ,
and and
climate climate
change change
is be
only only
making make
this this
worse bad
. .
I i
stand stand
here here
in in
front front
of of
you you
, ,
a a
very very
unlikely unlikely
person person
to to
help help
solve solve
an an
agricultural agricultural
crisis crisis
. .
I i
' '
m m
a a
chemistry chemistry
professor professor
who who
studies study
nanoparticles nanoparticle
in in
sterile sterile
laboratories laboratory
, ,
I i
grew grow
up up
in in
the the
desert desert
, ,
and and
I i
don don
' '
t t
even even
keep keep
houseplants houseplant
, ,
much much
less less
crops crop
, ,
alive alive
. .
But but
I i
know know
that that
some some
of of
the the
best good
solutions solution
to to
big big
problems problem
come come
when when
folks folk
from from
different different
or or
even even
opposing oppose
fields field
bring bring
some some
of of
their their
simplest simple
concepts concept
together together
. .
And and
that that
is be
exactly exactly
what what
I i
think think
is be
possible possible
here here
. .
As as
I i
tell tell
you you
that that
nanoparticles nanoparticle
