If if
you you
live live
in in
New new
York york
or or
London london
or or
some some
other other
so-called so-called
cultural cultural
capital capital
, ,
it it
' '
s s
likely likely
that that
you you
visited visit
an an
art art
museum museum
that that
features feature
a a
collection collection
of of
African african
art art
. .
These these
collections collection
usually usually
consist consist
of of
masks mask
and and
sculptures sculpture
, ,
but but
also also
include include
weapons weapon
and and
ceremonial ceremonial
dress dress
, ,
cutlery cutlery
, ,
jewelry jewelry
, ,
and and
even even
toys toy
. .
These these
objects object
are be
markers marker
of of
traditions tradition
and and
cultural cultural
beliefs belief
, ,
but but
also also
of of
adaptation adaptation
and and
ingenuity ingenuity
, ,
science science
and and
spirituality spirituality
. .
Cultural cultural
objects object
are be
the the
way way
that that
human human
beings being
say say
, ,
" "
We we
were be
here here
. .
" "
Have have
you you
ever ever
wondered wonder
how how
these these
African african
objects object
ended end
up up
in in
museums museum
? ?
Some some
were be
bought buy
by by
traders trader
and and
tourists tourist
, ,
some some
gifts gift
exchanged exchange
in in
acts act
of of
friendship friendship
and and
some some
were be
excavated excavate
in in
archaeological archaeological
digs digs
. .
But but
then then
there there
are be
many many
others other
that that
were be
looted loot
during during
raids raid
, ,
confiscated confiscate
by by
colonial colonial
forces force
and and
stolen steal
at at
gunpoint gunpoint
. .
I i
' '
m m
an an
artist artist
and and
I i
tell tell
stories story
for for
a a
living living
. .
To to
tell tell
stories story
you you
need need
imagination imagination
and and
memory memory
. .
And and
in in
Kenya kenya
, ,
we we
have have
a a
gap gap
in in
our our
memory memory
. .
So so
much much
of of
what what
happened happen
in in
between between
the the
late late
1800s 1800s
until until
our our
independence independence
in in
1963 @card@
is be
missing miss
because because
too too
many many
of of
the the
objects object
that that
tell tell
the the
stories story
from from
that that
period period
are be
gone go
. .
According accord
to to
a a
2018 @card@
report report
on on
African african
cultural cultural
heritage heritage
, ,
90 @card@
percent percent
of of
sub-Saharan sub-saharan
Africa africa
' '
s s
material material
cultural cultural
legacy legacy
is be
housed house
outside outside
the the
African african
continent continent
. .
What what
does do
it it
mean mean
for for
a a
society society
to to
lose lose
so so
many many
objects object
? ?
It it
means mean
that that
we we
forget forget
our our
religions religion
and and
our our
spiritual spiritual
practices practice
. .
It it
means mean
that that
we we
forget forget
the the
names name
of of
our our
kingdoms kingdom
and and
heroes hero
. .
It it
means mean
that that
we we
forget forget
our our
music music
, ,
our our
crafts craft
and and
our our
languages language
. .
We we
forget forget
our our
stories story
. .
And and
as as
a a
result result
, ,
we we
adopt adopt
other other
people people
' '
s s
religions religion
and and
call call
our our
own own
religions religion
witchcraft witchcraft
. .
We we
start start
to to
eat eat
burgers burger
and and
pasta pasta
and and
look look
down down
on on
our our
indigenous indigenous
foods food
and and
our our
children child
begin begin
to to
believe believe
in in
their their
hearts heart
that that
other other
societies society
have have
richer rich
cultures culture
. .
Where where
do do
you you
begin begin
to to
fix fix
something something
like like
this this
? ?
One one
place place
to to
start start
is be
to to
find find
out out
exactly exactly
which which
objects object
are be
missing miss
and and
where where
they they
are be
. .
In in
2018 @card@
, ,
as as
a a
member member
of of
The the
Nest nest
Collective collective
and and
together together
the the
coalition coalition
of of
Kenyan kenyan
and and
European european
museums museum
, ,
artists artist
and and
researchers researcher
, ,
we we
co-founded co-found
the the
International international
Inventories inventory
Programme programme
, ,
which which
began begin
creating create
a a
database database
of of
Kenyan kenyan
cultural cultural
objects object
that that
are be
held hold
outside outside
our our
country country
. .
We we
called call
and and
e-mailed e-mail
museums museum
across across
North north
America america
and and
Europe europe
, ,
asking ask
them them
if if
they they
had have
any any
Kenyan kenyan
cultural cultural
objects object
in in
their their
collections collection
. .
We we
hosted host
public public
debates debate
about about
object object
restitution restitution
and and
created create
exhibitions exhibition
to to
bring bring
the the
debate debate
into into
the the
public public
sphere sphere
. .
And and
that that
was be
the the
easy easy
part part
. .
The the
more more
difficult difficult
part part
for for
us us
Kenyans kenyan
was be
having have
to to
read read
through through
the the
most most
troubling troubling
historical historical
texts text
and and
records record
from from
a a
time time
in in
history history
when when
Africans african
were be
on on
the the
receiving receive
end end
of of
colonial colonial
force force
, ,
violence violence
and and
discrimination discrimination
. .
