Nearly	RB	nearly
everyone	NN	everyone
in	IN	in
the	DT	the
world	NN	world
is	VBZ	be
part	NN	part
of	IN	of
some	DT	some
community	NN	community
,	,	,
whether	IN	whether
large	JJ	large
or	CC	or
small	JJ	small
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
these	DT	these
communities	NNS	community
have	VBP	have
similar	JJ	similar
needs	NNS	need
.	SENT	.
They	PP	they
need	VBP	need
light	NN	light
,	,	,
they	PP	they
need	MD	need
heat	VB	heat
they	PP	they
need	VB	need
air-conditioning	NN	air-conditioning
.	SENT	.
People	NNS	people
can	MD	can
'	''	'
t	NN	t
function	NN	function
very	RB	very
well	RB	well
when	WRB	when
it	PP	it
'	POS	'
s	NN	S
too	RB	too
hot	JJ	hot
or	CC	or
too	RB	too
cold	JJ	cold
.	SENT	.
They	PP	they
need	VBP	need
food	NN	food
to	TO	to
be	VB	be
grown	VBN	grow
or	CC	or
provided	VBN	provide
,	,	,
distributed	VBN	distribute
and	CC	and
stored	VBN	store
safely	RB	safely
.	SENT	.
They	PP	they
need	MD	need
waste	VB	waste
products	NNS	product
to	TO	to
be	VB	be
collected	VBN	collect
,	,	,
removed	VBN	remove
and	CC	and
processed	VBN	process
.	SENT	.
People	NNS	people
in	IN	in
the	DT	the
community	NN	community
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VB	get
from	IN	from
one	CD	one
place	NN	place
to	TO	to
another	DT	another
as	RB	as
quickly	RB	quickly
as	RB	as
possible	JJ	possible
.	SENT	.
And	CC	and
a	DT	a
supply	NN	supply
of	IN	of
energy	NN	energy
is	VBZ	be
the	DT	the
basis	NN	basis
for	IN	for
all	DT	all
of	IN	of
these	DT	these
activities	NNS	activity
.	SENT	.
Energy	NN	energy
in	IN	in
the	DT	the
form	NN	form
of	IN	of
electricity	NN	electricity
provides	VBZ	provide
light	NN	light
and	CC	and
air-conditioning	NN	air-conditioning
.	SENT	.
Energy	NN	energy
in	IN	in
the	DT	the
form	NN	form
of	IN	of
heat	NN	heat
keeps	VBZ	keep
us	PP	us
warm	JJ	warm
.	SENT	.
And	CC	and
energy	NN	energy
in	IN	in
chemical	NN	chemical
form	NN	form
provides	VBZ	provide
fertilizer	NN	fertilizer
;	:	;
it	PP	it
drives	VBZ	drive
farm	NN	farm
machinery	NN	machinery
and	CC	and
transportation	NN	transportation
energy	NN	energy
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
spent	VBD	spend
10	CD	@card@
years	NNS	year
working	VBG	work
at	IN	at
NASA	NP	NASA
.	SENT	.
In	IN	in
the	DT	the
beginning	NN	beginning
of	IN	of
my	PP$	my
time	NN	time
there	RB	there
in	IN	in
2000	CD	@card@
,	,	,
I	PP	I
was	VBD	be
very	RB	very
interested	JJ	interested
in	IN	in
communities	NNS	community
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
community	NN	community
I	PP	I
was	VBD	be
thinking	VBG	think
of	IN	of
—	:	-
a	DT	a
lunar	JJ	lunar
community	NN	community
It	PP	it
had	VBD	have
all	DT	all
of	IN	of
the	DT	the
same	JJ	same
needs	NNS	need
as	IN	as
a	DT	a
community	NN	community
on	IN	on
Earth	NP	Earth
would	MD	would
have	VB	have
,	,	,
but	CC	but
it	PP	it
had	VBD	have
some	DT	some
very	RB	very
unique	JJ	unique
constraints	NNS	constraint
.	SENT	.
And	CC	and
we	PP	we
had	VBD	have
to	TO	to
think	VB	think
about	RB	about
how	WRB	how
we	PP	we
would	MD	would
provide	VB	provide
energy	NN	energy
for	IN	for
this	DT	this
very	RB	very
unique	JJ	unique
community	NN	community
.	SENT	.
There—s	RB	<unknown>
no	DT	no
coal	NN	coal
on	IN	on
the	DT	the
Moon	NP	Moon
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
petroleum	NN	petroleum
.	SENT	.
There—s	RB	<unknown>
no	DT	no
natural	JJ	natural
gas	NN	gas
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
atmosphere	NN	atmosphere
.	SENT	.
There—s	RB	<unknown>
no	DT	no
wind	NN	wind
,	,	,
either	RB	either
.	SENT	.
And	CC	and
solar	JJ	solar
power	NN	power
had	VBD	have
a	DT	a
real	JJ	real
problem	NN	problem
:	:	:
the	DT	the
Moon	NP	Moon
orbits	VBZ	orbit
the	DT	the
Earth	NN	earth
once	IN	once
a	DT	a
month	NN	month
.	SENT	.
For	IN	for
two	CD	two
weeks	NNS	week
,	,	,
the	DT	the
sun	NN	sun
goes	VBZ	go
down	RP	down
,	,	,
and	CC	and
your	PP$	your
solar	JJ	solar
panels	NNS	panel
don	NN	don
'	POS	'
t	NN	t
make	VB	make
any	DT	any
energy	NN	energy
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
try	VB	try
to	TO	to
store	VB	store
enough	JJ	enough
energy	NN	energy
in	IN	in
batteries	NNS	battery
for	IN	for
two	CD	two
weeks	NNS	week
