Hi	UH	hi
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Cameron	NP	Cameron
Russell	NP	Russell
,	,	,
and	CC	and
for	IN	for
the	DT	the
last	JJ	last
little	JJ	little
while	NN	while
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
model	NN	model
.	SENT	.
Actually	RB	actually
,	,	,
for	IN	for
10	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
uncomfortable	JJ	uncomfortable
tension	NN	tension
in	IN	in
the	DT	the
room	NN	room
right	RB	right
now	RB	now
because	IN	because
I	PP	I
should	MD	should
not	RB	not
have	VB	have
worn	VBN	wear
this	DT	this
dress	NN	dress
.	SENT	.
So	RB	so
luckily	RB	luckily
,	,	,
I	PP	I
brought	VBD	bring
an	DT	an
outfit	NN	outfit
change	NN	change
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
outfit	NN	outfit
change	NN	change
on	IN	on
the	DT	the
TED	VBP	ted
stage	NN	stage
,	,	,
so	IN	so
you	PP	you
guys	NNS	guy
are	VBP	be
pretty	RB	pretty
lucky	JJ	lucky
to	TO	to
witness	VB	witness
it	PP	it
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
If	IN	if
some	DT	some
of	IN	of
the	DT	the
women	NNS	woman
were	VBD	be
really	RB	really
horrified	VBN	horrify
when	WRB	when
I	PP	I
came	VBD	come
out	RP	out
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
tell	VB	tell
me	PP	me
now	RB	now
,	,	,
but	CC	but
I	PP	I
'	POS	'
ll	NNS	<unknown>
find	VBP	find
out	RP	out
later	RBR	later
on	IN	on
Twitter	NN	twitter
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
also	RB	also
note	VBP	note
that	IN	that
I	NP	I
'	POS	'
m	NN	m
quite	RB	quite
privileged	JJ	privileged
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
transform	VB	transform
what	WP	what
you	PP	you
think	VBP	think
of	IN	of
me	PP	me
in	IN	in
a	DT	a
very	RB	very
brief	JJ	brief
10	CD	@card@
seconds	NNS	second
.	SENT	.
Not	RB	not
everybody	NN	everybody
gets	VBZ	get
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
These	DT	these
heels	NNS	heel
are	VBP	be
very	RB	very
uncomfortable	JJ	uncomfortable
,	,	,
so	RB	so
good	JJ	good
thing	NN	thing
I	PP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
wear	VB	wear
them	PP	them
.	SENT	.
The	DT	the
worst	JJS	bad
part	NN	part
is	VBZ	be
putting	VBG	put
this	DT	this
sweater	NN	sweater
over	IN	over
my	PP$	my
head	NN	head
,	,	,
because	IN	because
that	WDT	that
'	POS	'
s	NN	S
when	WRB	when
you	PP	you
'	POS	'
ll	NNS	<unknown>
all	DT	all
laugh	NN	laugh
at	IN	at
me	PP	me
,	,	,
so	IN	so
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
anything	NN	anything
while	IN	while
it	PP	it
'	POS	'
s	NN	S
over	IN	over
my	PP$	my
head	NN	head
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
So	RB	so
,	,	,
why	WRB	why
did	VBD	do
I	PP	I
do	VBP	do
