Take	VB	take
a	DT	a
look	NN	look
at	IN	at
this	DT	this
work	NN	work
of	IN	of
art	NN	art
.	SENT	.
What	WP	what
is	VBZ	be
it	PP	it
that	IN	that
you	PP	you
see	VBP	see
?	SENT	?
At	IN	at
first	JJ	first
glance	NN	glance
,	,	,
it	PP	it
looks	VBZ	look
to	TO	to
be	VB	be
a	DT	a
grandfather	NN	grandfather
clock	NN	clock
with	IN	with
a	DT	a
sheet	NN	sheet
thrown	VBN	throw
over	IN	over
it	PP	it
and	CC	and
a	DT	a
rope	NN	rope
tied	VBN	tie
around	IN	around
the	DT	the
center	NN	center
.	SENT	.
But	CC	but
a	DT	a
first	JJ	first
look	NN	look
always	RB	always
warrants	VBZ	warrant
a	DT	a
second	NN	second
.	SENT	.
Look	VB	look
again	RB	again
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
see	VBP	see
now	RB	now
?	SENT	?
If	IN	if
you	PP	you
look	VBP	look
more	RBR	more
closely	RB	closely
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
realize	VBP	realize
that	IN	that
this	DT	this
entire	JJ	entire
work	NN	work
of	IN	of
art	NN	art
is	VBZ	be
made	VBN	make
from	IN	from
one	CD	one
piece	NN	piece
of	IN	of
sculpture	NN	sculpture
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
clock	NN	clock
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
rope	NN	rope
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
sheet	NN	sheet
.	SENT	.
It	PP	it
is	VBZ	be
one	CD	one
piece	NN	piece
of	IN	of
bleached	VBN	bleach
Honduras	NNS	Hondura
mahogany	NN	mahogany
.	SENT	.
Now	RB	now
let	VB	let
me	PP	me
be	VB	be
clear	JJ	clear
:	:	:
this	DT	this
exercise	NN	exercise
was	VBD	be
not	RB	not
about	RB	about
looking	VBG	look
at	IN	at
sculpture	NN	sculpture
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
looking	VBG	look
and	CC	and
understanding	VBG	understand
that	IN	that
looking	VBG	look
closely	RB	closely
can	MD	can
save	VB	save
a	DT	a
life	NN	life
,	,	,
change	VB	change
your	PP$	your
company	NN	company
and	CC	and
even	RB	even
help	VB	help
you	PP	you
understand	VB	understand
why	WRB	why
your	PP$	your
children	NNS	child
behave	VB	behave
the	DT	the
way	NN	way
they	PP	they
do	VBP	do
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
skill	NN	skill
that	IN	that
I	PP	I
call	VBP	call
visual	JJ	visual
intelligence	NN	intelligence
,	,	,
and	CC	and
I	PP	I
use	VBP	use
works	NNS	work
of	IN	of
art	NN	art
