My	PP$	my
colleagues	NNS	colleague
and	CC	and
I	PP	I
are	VBP	be
fascinated	VBN	fascinate
by	IN	by
the	DT	the
science	NN	science
of	IN	of
moving	VBG	move
dots	NNS	dot
.	SENT	.
So	RB	so
what	WP	what
are	VBP	be
these	DT	these
dots	NNS	dot
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
of	IN	of
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
moving	VBG	move
in	IN	in
our	PP$	our
homes	NNS	home
,	,	,
in	IN	in
our	PP$	our
offices	NNS	office
,	,	,
as	IN	as
we	PP	we
shop	VBP	shop
and	CC	and
travel	VBP	travel
throughout	IN	throughout
our	PP$	our
cities	NNS	city
and	CC	and
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
be	VB	be
great	JJ	great
if	IN	if
we	PP	we
could	MD	could
understand	VB	understand
all	PDT	all
this	DT	this
movement	NN	movement
?	SENT	?
If	IN	if
we	PP	we
could	MD	could
find	VB	find
patterns	NNS	pattern
and	CC	and
meaning	NN	meaning
and	CC	and
insight	NN	insight
in	IN	in
it	PP	it
.	SENT	.
And	CC	and
luckily	RB	luckily
for	IN	for
us	PP	us
,	,	,
we	PP	we
live	VBP	live
in	IN	in
a	DT	a
time	NN	time
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
incredibly	RB	incredibly
good	JJ	good
at	IN	at
capturing	VBG	capture
information	NN	information
about	IN	about
ourselves	PP	ourselves
.	SENT	.
So	RB	so
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
through	IN	through
sensors	NNS	sensor
or	CC	or
videos	NNS	video
,	,	,
or	CC	or
apps	NNS	<unknown>
,	,	,
we	PP	we
can	MD	can
track	VB	track
our	PP$	our
movement	NN	movement
with	IN	with
incredibly	RB	incredibly
fine	JJ	fine
detail	NN	detail
.	SENT	.
So	RB	so
it	PP	it
turns	VBZ	turn
out	RP	out
one	CD	one
of	IN	of
the	DT	the
places	NNS	place
where	WRB	where
we	PP	we
have	VBP	have
the	DT	the
best	JJS	good
data	NNS	datum
about	IN	about
movement	NN	movement
is	VBZ	be
sports	NNS	sport
.	SENT	.
So	RB	so
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
basketball	NN	basketball
or	CC	or
baseball	NN	baseball
,	,	,
or	CC	or
football	NN	football
or	CC	or
the	DT	the
other	JJ	other
football	NN	football
,	,	,
we	PP	we
'	POS	'
re	NN	re
instrumenting	VBG	<unknown>
our	PP$	our
stadiums	NNS	stadium
and	CC	and
our	PP$	our
players	NNS	player
to	TO	to
track	VB	track
their	PP$	their
movements	NNS	movement
every	DT	every
fraction	NN	fraction
of	IN	of
a	DT	a
second	NN	second
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
is	VBZ	be
turning	VBG	turn
our	PP$	our
athletes	NNS	athlete
into	IN	into
—	:	-
you	PP	you
probably	RB	probably
guessed	VBD	guess
it	PP	it
—	:	-
moving	VBG	move
dots	NNS	dot
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
mountains	NNS	mountain
of	IN	of
moving	VBG	move
dots	NNS	dot
and	CC	and
like	IN	like
most	JJS	most
raw	JJ	raw
data	NNS	datum
,	,	,
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
deal	VB	deal
with	IN	with
and	CC	and
not	RB	not
that	DT	that
interesting	JJ	interesting
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
things	NNS	thing
that	IN	that
,	,	,
for	IN	for
example	NN	example
,	,	,
basketball	NN	basketball
coaches	NNS	coach
want	VBP	want
to	TO	to
know	VB	know
.	SENT	.
And	CC	and
the	DT	the
problem	NN	problem
is	VBZ	be
they	PP	they
can	MD	can
'	''	'
t	NN	t
know	VB	know
them	PP	them
because	IN	because
they	PP	they
'	''	'
d	SYM	d
have	VB	have
to	TO	to
watch	VB	watch
every	DT	every
second	NN	second
of	IN	of
every	DT	every
game	NN	game
,	,	,
remember	VB	remember
it	PP	it
and	CC	and
process	VB	process
it	PP	it
.	SENT	.
And	CC	and
a	DT	a
person	NN	person
can	NN	can
'	POS	'
t	NN	t
do	VBP	do
that	IN	that
,	,	,
but	CC	but
a	DT	a
machine	NN	machine
can	MD	can
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
a	DT	a
machine	NN	machine
can	NN	can
'	POS	'
t	NN	t
see	VBP	see
the	DT	the
game	NN	game
with	IN	with
the	DT	the
eye	NN	eye
of	IN	of
a	DT	a
coach	NN	coach
.	SENT	.
At	IN	at
least	JJS	least
they	PP	they
couldn	NNS	<unknown>
'	POS	'
t	NN	t
until	IN	until
now	RB	now
.	SENT	.
So	RB	so
what	WP	what
have	VBP	have
we	PP	we
taught	VBD	teach
the	DT	the
machine	NN	machine
to	TO	to
see	VB	see
?	SENT	?
So	RB	so
,	,	,
we	PP	we
started	VBD	start
simply	RB	simply
.	SENT	.
We	PP	we
taught	VBD	teach
it	PP	it
things	NNS	thing
like	IN	like
passes	NNS	pass
,	,	,
shots	NNS	shot
and	CC	and
rebounds	NNS	rebound
.	SENT	.
Things	NNS	thing
that	IN	that
most	RBS	most
casual	JJ	casual
fans	NNS	fan
would	MD	would
know	VB	know
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
moved	VBD	move
on	IN	on
to	TO	to
things	NNS	thing
slightly	RB	slightly
more	RBR	more
complicated	JJ	complicated
.	SENT	.
Events	NNS	event
like	IN	like
post-ups	NNS	<unknown>
,	,	,
and	CC	and
pick-and-rolls	NNS	pick-and-roll
,	,	,
and	CC	and
isolations	NNS	isolation
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
them	PP	them
,	,	,
that	WDT	that
'	POS	'
s	NN	S
okay	NN	okay
.	SENT	.
Most	RBS	most
casual	JJ	casual
players	NNS	player
probably	RB	probably
do	VBP	do
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
gotten	VBN	get
to	TO	to
a	DT	a
point	NN	point
where	WRB	where
today	NN	today
,	,	,
the	DT	the
machine	NN	machine
understands	VBZ	understand
complex	JJ	complex
events	NNS	event
like	VBP	like
down	RP	down
screens	NNS	screen
and	CC	and
wide	JJ	wide
pins	NNS	pin
.	SENT	.
Basically	RB	basically
things	NNS	thing
only	JJ	only
professionals	NNS	professional
know	VBP	know
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
taught	VBN	teach
a	DT	a
machine	NN	machine
to	TO	to
see	VB	see
with	IN	with
the	DT	the
eyes	NNS	eye
of	IN	of
a	DT	a
coach	NN	coach
.	SENT	.
So	RB	so
how	WRB	how
have	VBP	have
we	PP	we
been	VBN	be
able	JJ	able
to	TO	to
do	VB	do
this	DT	this
?	SENT	?
If	IN	if
I	PP	I
asked	VBD	ask
a	DT	a
coach	NN	coach
to	TO	to
describe	VB	describe
something	NN	something
like	IN	like
a	DT	a
pick-and-roll	NN	<unknown>
,	,	,
they	PP	they
would	MD	would
give	VB	give
me	PP	me
a	DT	a
description	NN	description
,	,	,
and	CC	and
if	IN	if
I	PP	I
encoded	VBD	encode
that	IN	that
as	IN	as
an	DT	an
algorithm	NN	algorithm
,	,	,
it	PP	it
would	MD	would
be	VB	be
terrible	JJ	terrible
.	SENT	.
The	DT	the
pick-and-roll	NN	<unknown>
happens	VBZ	happen
to	TO	to
be	VB	be
this	DT	this
dance	NN	dance
in	IN	in
basketball	NN	basketball
between	IN	between
four	CD	four
players	NNS	player
,	,	,
two	CD	two
on	IN	on
offense	NN	offense
and	CC	and
two	CD	two
on	IN	on
defense	NN	defense
.	SENT	.
And	CC	and
here	RB	here
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
how	WRB	how
it	PP	it
goes	VBZ	go
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
guy	NN	guy
on	IN	on
offense	NN	offense
without	IN	without
the	DT	the
ball	NN	ball
the	DT	the
ball	NN	ball
and	CC	and
he	PP	he
goes	VBZ	go
next	JJ	next
to	TO	to
the	DT	the
guy	NN	guy
guarding	VBG	guard
the	DT	the
guy	NN	guy
with	IN	with
the	DT	the
ball	NN	ball
,	,	,
and	CC	and
he	PP	he
kind	NN	kind
of	IN	of
stays	NNS	stays
there	RB	there
and	CC	and
they	PP	they
both	DT	both
move	NN	move
and	CC	and
stuff	NN	stuff
happens	VBZ	happen
,	,	,
and	CC	and
ta-da	NN	<unknown>
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
pick-and-roll	NN	<unknown>
.	SENT	.
So	RB	so
that	DT	that
is	VBZ	be
also	RB	also
an	DT	an
example	NN	example
of	IN	of
a	DT	a
terrible	JJ	terrible
algorithm	NN	algorithm
.	SENT	.
So	RB	so
,	,	,
if	IN	if
the	DT	the
player	NN	player
who	WP	who
'	POS	'
s	NNS	<unknown>
the	DT	the
interferer	NN	interferer
—	:	-
he	PP	he
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
screener	NN	screener
—	:	-
goes	VBZ	go
close	VB	close
by	IN	by
,	,	,
but	CC	but
he	PP	he
doesn	NP	<unknown>
'	POS	'
t	NN	t
stop	NN	stop
,	,	,
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
not	RB	not
a	DT	a
