Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
This	DT	this
is	VBZ	be
such	PDT	such
a	DT	a
strange	JJ	strange
thing	NN	thing
.	SENT	.
Your	PP$	your
software	NN	software
,	,	,
Linux	NP	Linux
,	,	,
is	VBZ	be
in	IN	in
millions	NNS	million
of	IN	of
computers	NNS	computer
,	,	,
it	PP	it
probably	RB	probably
powers	VBZ	power
much	RB	much
of	IN	of
the	DT	the
Internet	NN	Internet
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
there	EX	there
are	VBP	be
,	,	,
like	VB	like
,	,	,
a	DT	a
billion	NN	billion
and	CC	and
a	DT	a
half	JJ	half
active	JJ	active
Android	JJ	android
devices	NNS	device
out	IN	out
there	RB	there
.	SENT	.
Your	PP$	your
software	NN	software
is	VBZ	be
in	IN	in
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
amazing	JJ	amazing
.	SENT	.
You	PP	you
must	MD	must
have	VB	have
some	DT	some
amazing	JJ	amazing
software	NN	software
headquarters	NNS	headquarters
driving	VBG	drive
all	PDT	all
this	DT	this
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
thought	VBD	think
—	:	-
and	CC	and
I	PP	I
was	VBD	be
shocked	VBN	shock
when	WRB	when
I	PP	I
saw	VBD	see
a	DT	a
picture	NN	picture
of	IN	of
it	PP	it
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
is	VBZ	be
—	:	-
this	DT	this
is	VBZ	be
the	DT	the
Linux	NP	Linux
world	NN	world
headquarters	NN	headquarters
.	SENT	.
Linus	NP	Linus
Torvalds	NP	<unknown>
:	:	:
It	PP	it
really	RB	really
doesn	NN	<unknown>
'	POS	'
t	NN	t
look	NN	look
like	IN	like
much	RB	much
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
,	,	,
the	DT	the
most	RBS	most
interesting	JJ	interesting
part	NN	part
