Everybody	NN	everybody
in	IN	in
our	PP$	our
society	NN	society
'	POS	'
s	NN	S
life	NN	life
is	VBZ	be
touched	VBN	touch
by	IN	by
cancer	NN	cancer
â	NP	<unknown>
if	IN	if
not	RB	not
personally	RB	personally
,	,	,
then	RB	then
through	IN	through
a	DT	a
loved	VBN	love
one	CD	one
,	,	,
a	DT	a
family	NN	family
member	NN	member
,	,	,
colleague	NN	colleague
,	,	,
friend	NN	friend
.	SENT	.
And	CC	and
once	IN	once
our	PP$	our
lives	NNS	life
are	VBP	be
touched	VBN	touch
by	IN	by
cancer	NN	cancer
,	,	,
we	PP	we
quickly	RB	quickly
learn	VBP	learn
that	IN	that
there	EX	there
are	VBP	be
basically	RB	basically
three	CD	three
weapons	NNS	weapon
,	,	,
or	CC	or
three	CD	three
tools	NNS	tool
,	,	,
that	WDT	that
are	VBP	be
available	JJ	available
to	TO	to
fight	VB	fight
the	DT	the
disease	NN	disease
:	:	:
surgery	NN	surgery
,	,	,
radiation	NN	radiation
and	CC	and
chemotherapy	NN	chemotherapy
.	SENT	.
And	CC	and
once	RB	once
we	PP	we
get	VBP	get
involved	VBN	involve
in	IN	in
the	DT	the
therapeutic	JJ	therapeutic
decisions	NNS	decision
,	,	,
again	RB	again
either	CC	either
personally	RB	personally
or	CC	or
with	IN	with
our	PP$	our
loved	VBN	love
ones	NNS	one
and	CC	and
family	NN	family
members	NNS	member
,	,	,
we	PP	we
also	RB	also
very	RB	very
quickly	RB	quickly
learn	VB	learn
the	DT	the
benefits	NNS	benefit
,	,	,
the	DT	the
trade-offs	NN	trade-offs
and	CC	and
the	DT	the
limitations	NNS	limitation
of	IN	of
these	DT	these
tools	NNS	tool
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
very	RB	very
thankful	JJ	thankful
to	TO	to
Jay	NP	Jay
and	CC	and
to	TO	to
Mark	NP	Mark
and	CC	and
the	DT	the
TEDMED	JJ	<unknown>
team	NN	team
for	IN	for
inviting	VBG	invite
me	PP	me
today	NN	today
to	TO	to
describe	VB	describe
a	DT	a
fourth	JJ	fourth
tool	NN	tool
,	,	,
a	DT	a
new	JJ	new
tool	NN	tool
,	,	,
that	WDT	that
we	PP	we
call	VBP	call
Tumor	NN	tumor
Treating	VBG	treat
Fields	NPS	Fields
.	SENT	.
Tumor	NN	tumor
Treating	VBG	treat
Fields	NPS	Fields
were	VBD	be
invented	VBN	invent
by	IN	by
Dr	NP	Dr
.	SENT	.
Yoram	NP	Yoram
Palti	NP	<unknown>
,	,	,
professor	NN	professor
emeritus	NN	emeritus
at	IN	at
the	DT	the
Technion	NN	<unknown>
in	IN	in
Israel	NP	Israel
.	SENT	.
And	CC	and
they	PP	they
use	VBP	use
low-intensity	NN	low-intensity
electric	JJ	electric
fields	NNS	field
to	TO	to
fight	VB	fight
cancer	NN	cancer
.	SENT	.
To	TO	to
understand	VB	understand
how	WRB	how
Tumor	NN	tumor
Treating	VBG	treat
Fields	NP	Fields
work	NN	work
,	,	,
we	PP	we
first	RB	first
need	VBP	need
to	TO	to
understand	VB	understand
what	WP	what
are	VBP	be
electric	JJ	electric
fields	NNS	field
.	SENT	.
Let	VB	let
me	PP	me
first	RB	first
address	VB	address
a	DT	a
few	JJ	few
popular	JJ	popular
misconceptions	NNS	misconception
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
electric	JJ	electric
fields	NNS	field
are	VBP	be
not	RB	not
an	DT	an
electric	JJ	electric
current	NN	current
that	WDT	that
