There	EX	there
are	VBP	be
a	DT	a
few	JJ	few
things	NNS	thing
that	IN	that
all	DT	all
of	IN	of
us	PP	us
need	VBP	need
.	SENT	.
We	PP	we
all	RB	all
need	VBP	need
air	NN	air
to	TO	to
breathe	VB	breathe
.	SENT	.
We	PP	we
need	VBP	need
clean	JJ	clean
water	NN	water
to	TO	to
drink	VB	drink
.	SENT	.
We	PP	we
need	VBP	need
food	NN	food
to	TO	to
eat	VB	eat
.	SENT	.
We	PP	we
need	VBP	need
shelter	NN	shelter
and	CC	and
love	NN	love
.	SENT	.
You	PP	you
know	VBP	know
.	SENT	.
Love	NN	love
is	VBZ	be
great	JJ	great
,	,	,
too	RB	too
.	SENT	.
And	CC	and
we	PP	we
all	RB	all
need	VBP	need
a	DT	a
safe	JJ	safe
place	NN	place
to	TO	to
pee	VB	pee
.	SENT	.
Yeah	RB	yeah
?	SENT	?
As	IN	as
a	DT	a
trans	NNS	<unknown>
person	NN	person
who	WP	who
doesn	NP	<unknown>
'	POS	'
t	NN	t
fit	NN	fit
neatly	RB	neatly
into	IN	into
the	DT	the
gender	NN	gender
binary	NN	binary
,	,	,
if	IN	if
I	PP	I
could	MD	could
change	VB	change
the	DT	the
world	NN	world
tomorrow	NN	tomorrow
to	TO	to
make	VB	make
it	PP	it
easier	JJR	easy
for	IN	for
me	PP	me
to	TO	to
navigate	VB	navigate
,	,	,
the	DT	the
very	RB	very
first	JJ	first
thing	NN	thing
I	PP	I
would	MD	would
do	VB	do
is	VBZ	be
blink	VB	blink
and	CC	and
create	VB	create
single	JJ	single
stall	NN	stall
,	,	,
gender-neutral	JJ	gender-neutral
bathrooms	NNS	bathroom
in	IN	in
all	DT	all
public	JJ	public
places	NNS	place
.	SENT	.
Trans	NP	Trans
people	NNS	people
and	CC	and
trans	NNS	<unknown>
issues	NNS	issue
,	,	,
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
getting	VBG	get
a	DT	a
lot	NN	lot
of	IN	of
mainstream	JJ	mainstream
media	NNS	medium
attention	NN	attention
lately	RB	lately
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
great	JJ	great
and	CC	and
necessary	JJ	necessary
thing	NN	thing
,	,	,
but	CC	but
most	JJS	most
of	IN	of
that	DT	that
attention	NN	attention
has	VBZ	have
been	VBN	be
focused	VBN	focus
on	IN	on
a	DT	a
very	RB	very
few	JJ	few
individuals	NNS	individual
,	,	,
most	JJS	most
