What	WP	what
is	VBZ	be
it	PP	it
about	RB	about
flying	VBG	fly
cars	NNS	car
?	SENT	?
We	PP	we
'	POS	'
ve	NN	ve
wanted	VBD	want
to	TO	to
do	VB	do
this	DT	this
for	IN	for
about	IN	about
a	DT	a
hundred	CD	hundred
years	NNS	year
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
historic	JJ	historic
attempts	NNS	attempt
that	WDT	that
have	VBP	have
had	VBN	have
some	DT	some
level	NN	level
of	IN	of
technical	JJ	technical
success	NN	success
.	SENT	.
But	CC	but
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
yet	RB	yet
gotten	VBN	get
to	TO	to
the	DT	the
point	NN	point
where	WRB	where
on	IN	on
your	PP$	your
way	NN	way
here	RB	here
this	DT	this
morning	NN	morning
you	PP	you
see	VBP	see
something	NN	something
that	IN	that
really	RB	really
,	,	,
truly	RB	truly
seamlessly	RB	seamlessly
integrates	VBZ	integrate
the	DT	the
two-	NN	two-
dimensional	JJ	dimensional
world	NN	world
that	IN	that
we	PP	we
'	POS	'
re	NN	re
comfortable	JJ	comfortable
in	IN	in
with	IN	with
the	DT	the
three-dimensional	JJ	three-dimensional
sky	NN	sky
above	IN	above
us	PP	us
—	:	-
that	IN	that
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	IN	about
you	PP	you
,	,	,
but	CC	but
I	PP	I
really	RB	really
enjoy	VBP	enjoy
spending	NN	spending
time	NN	time
in	IN	in
.	SENT	.
We	PP	we
looked	VBD	look
at	IN	at
the	DT	the
historical	JJ	historical
attempts	NNS	attempt
that	WDT	that
had	VBD	have
been	VBN	be
out	RB	out
there	RB	there
and	CC	and
realized	VBD	realize
that	IN	that
,	,	,
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
modern	JJ	modern
innovations	NNS	innovation
to	TO	to
draw	VB	draw
on	IN	on
today	NN	today
that	IN	that
weren	NNS	<unknown>
'	POS	'
t	NN	t
available	JJ	available
previously	RB	previously
—	:	-
we	PP	we
have	VBP	have
modern	JJ	modern
composite	JJ	composite
materials	NNS	material
,	,	,
we	PP	we
have	VBP	have
aircraft	NN	aircraft
engines	NNS	engine
that	WDT	that
get	VBP	get
good	JJ	good
fuel	NN	fuel
economy	NN	economy
and	CC	and
have	VB	have
better	JJR	good
power-to-rate	NN	<unknown>
ratios	NNS	ratio
than	IN	than
have	VBP	have
ever	RB	ever
been	VBN	be
available	JJ	available
,	,	,
we	PP	we
have	VBP	have
glass	NN	glass
cockpit	NN	cockpit
avionics	NNS	avionics
that	WDT	that
bring	VBP	bring
the	DT	the
information	NN	information
you	PP	you
need	VBP	need
to	TO	to
fly	VB	fly
directly	RB	directly
to	TO	to
you	PP	you
in	IN	in
the	DT	the
cockpit	NN	cockpit
—	:	-
but	CC	but
without	IN	without
fundamentally	RB	fundamentally
addressing	VBG	address
the	DT	the
problem	NN	problem
from	IN	from
a	DT	a
different	JJ	different
perspective	NN	perspective
,	,	,
we	PP	we
realized	VBD	realize
that	IN	that
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
be	VB	be
getting	VBG	get
the	DT	the
same	JJ	same
result	NN	result
that	IN	that
people	NNS	people
had	VBD	have
been	VBN	be
getting	VBG	get
for	IN	for
the	DT	the
last	JJ	last
hundred	CD	hundred
years	NNS	year
,	,	,
which	WDT	which
isn	NP	isn
'	POS	'
t	NN	t
where	WRB	where
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
right	RB	right
now	RB	now
.	SENT	.
So	RB	so
instead	RB	instead
of	IN	of
trying	VBG	try
to	TO	to
make	VB	make
a	DT	a
car	NN	car
that	WDT	that
can	MD	can
fly	VB	fly
,	,	,
we	PP	we
decided	VBD	decide
to	TO	to
try	VB	try
to	TO	to
make	VB	make
a	DT	a
plane	NN	plane
that	WDT	that
could	MD	could
drive	VB	drive
.	SENT	.
And	CC	and
the	DT	the
result	NN	result
is	VBZ	be
the	DT	the
Terrafugia	NP	<unknown>
Transition	NN	transition
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
two-seat	NN	two-seat
,	,	,
single-engine	JJ	single-engine
airplane	NN	airplane
that	WDT	that
works	VBZ	work
just	RB	just
like	VB	like
any	DT	any
other	JJ	other
small	JJ	small
airplane	NN	airplane
.	SENT	.
You	PP	you
take	VBP	take
off	RP	off
and	CC	and
land	VB	land
at	IN	at
a	DT	a
local	JJ	local
airport	NN	airport
.	SENT	.
Then	RB	then
once	IN	once
you	PP	you
'	POS	'
re	NN	re
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
you	PP	you
fold	VBP	fold
up	RP	up
the	DT	the
wings	NNS	wing
,	,	,
drive	VB	drive
it	PP	it
home	NN	home
,	,	,
park	VB	park
it	PP	it
in	IN	in
your	PP$	your
garage	NN	garage
.	SENT	.
And	CC	and
it	PP	it
works	VBZ	work
.	SENT	.
After	IN	after
two	CD	two
years	NNS	year
of	IN	of
an	DT	an
innovative	JJ	innovative
design	NN	design
and	CC	and
construction	NN	construction
process	NN	process
,	,	,
the	DT	the
proof	NN	proof
of	IN	of
concept	NN	concept
made	VBD	make
its	PP$	its
public	JJ	public
debut	NN	debut
in	IN	in
2008	CD	@card@
.	SENT	.
Now	RB	now
like	IN	like
with	IN	with
anything	NN	anything
that	RB	that
'	POS	'
s	NN	S
really	RB	really
different	JJ	different
from	IN	from
the	DT	the
status	FW	status
quo	FW	quo
,	,	,
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
always	RB	always
go	VBP	go
so	RB	so
well	RB	well
testing	VBG	test
that	DT	that
aircraft	NN	aircraft
.	SENT	.
And	CC	and
we	PP	we
discovered	VBD	discover
that	IN	that
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
good	JJ	good
thing	NN	thing
that	IN	that
,	,	,
when	WRB	when
you	PP	you
go	VBP	go
home	NN	home
with	IN	with
something	NN	something
that	RB	that
'	POS	'
s	RB	<unknown>
been	VBN	be
broken	VBN	break
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
actually	RB	actually
learned	VBD	learn
a	DT	a
lot	NN	lot
more	JJR	more
than	IN	than
when	WRB	when
you	PP	you
managed	VBD	manage
to	TO	to
tick	VB	tick
off	RP	off
all	DT	all
of	IN	of
your	PP$	your
test	NN	test
objectives	NNS	objective
the	DT	the
first	JJ	first
time	NN	time
through	RB	through
.	SENT	.
Still	RB	still
,	,	,
we	PP	we
very	RB	very
much	RB	much
wanted	VBD	want
to	TO	to
see	VB	see
the	DT	the
aircraft	NN	aircraft
that	IN	that
we	PP	we
'	POS	'
d	NN	d
all	RB	all
helped	VBD	help
build	VB	build
in	IN	in
the	DT	the
air	NN	air
,	,	,
off	IN	off
the	DT	the
ground	NN	ground
,	,	,
like	IN	like
it	PP	it
was	VBD	be
supposed	VBN	suppose
to	TO	to
be	VB	be
.	SENT	.
And	CC	and
on	IN	on
our	PP$	our
third	JJ	third
high-speed	JJ	high-speed
testing	NN	testing
deployment	NN	deployment
on	IN	on
a	DT	a
bitter	JJ	bitter
cold	JJ	cold
morning	NN	morning
in	IN	in
upstate	JJ	upstate
New	NP	New
York	NP	York
,	,	,
we	PP	we
got	VBD	get
to	TO	to
do	VB	do
that	IN	that
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
The	DT	the
picture	NN	picture
behind	IN	behind
me	PP	me
was	VBD	be
snapped	VBN	snap
by	IN	by
the	DT	the
copilot	NN	copilot
in	IN	in
our	PP$	our
chase	JJ	chase
aircraft	NN	aircraft
just	RB	just
moments	NNS	moment
after	IN	after
the	DT	the
wheels	NNS	wheel
got	VBD	get
off	RP	off
the	DT	the
ground	NN	ground
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
all	DT	all
very	RB	very
flattered	VBN	flatter
to	TO	to
see	VB	see
that	DT	that
image	NN	image
become	VB	become
a	DT	a
symbol	NN	symbol
of	IN	of
accomplishing	VBG	accomplish
something	NN	something
that	IN	that
people	NNS	people
had	VBD	have
thought	NN	thought
was	VBD	be
impossible	JJ	impossible
really	RB	really
the	DT	the
