Bryn	NP	Bryn
Freedman	NP	Freedman
:	:	:
So	RB	so
you	PP	you
keep	VBP	keep
talking	VBG	talk
about	IN	about
leadership	NN	leadership
as	IN	as
a	DT	a
real	JJ	real
crisis	NN	crisis
of	IN	of
conformity	NN	conformity
.	SENT	.
Can	MD	can
you	PP	you
explain	VB	explain
to	TO	to
us	PP	us
what	WP	what
you	PP	you
mean	VBP	mean
by	IN	by
that	DT	that
?	SENT	?
What	WP	what
do	VBP	do
you	PP	you
see	VBP	see
as	IN	as
a	DT	a
crisis	NN	crisis
of	IN	of
conformity	NN	conformity
?	SENT	?
Halla	NP	Halla
Tรณmasdรณttir	NP	<unknown>
:	:	:
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
crisis	NN	crisis
of	IN	of
conformity	NN	conformity
when	WRB	when
we	PP	we
continue	VBP	continue
to	TO	to
do	VB	do
business	NN	business
and	CC	and
lead	NN	lead
in	IN	in
the	DT	the
way	NN	way
we	PP	we
always	RB	always
have	VBP	have
,	,	,
yet	RB	yet
the	DT	the
evidence	NN	evidence
is	VBZ	be
overwhelming	JJ	overwhelming
that	IN	that
the	DT	the
world	NN	world
needs	VBZ	need
us	PP	us
to	TO	to
change	VB	change
our	PP$	our
ways	NNS	way
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
look	VBP	look
a	DT	a
little	JJ	little
bit	NN	bit
at	IN	at
that	DT	that
evidence	NN	evidence
.	SENT	.
Science	NP	Science
has	VBZ	have
told	VBN	tell
us	PP	us
that	IN	that
we	PP	we
'	''	'
re	IN	re
facing	VBG	face
a	DT	a
climate	NN	climate
crisis	NN	crisis
,	,	,
yet	RB	yet
40	CD	@card@
percent	NN	percent
of	IN	of
board	NN	board
directors	NNS	director
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
climate	NN	climate
belongs	VBZ	belong
in	IN	in
the	DT	the
boardroom	NN	boardroom
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
kids	NNS	kid
marching	VBG	march
in	IN	in
the	DT	the
streets	NNS	street
now	RB	now
,	,	,
asking	VBG	ask
us	PP	us
to	TO	to
be	VB	be
accountable	JJ	accountable
for	IN	for
their	PP$	their
future	NN	future
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
crisis	NN	crisis
of	IN	of
inequality	NN	inequality
.	SENT	.
We	PP	we
have	VBP	have
Yellow	JJ	yellow
Jackets	NNS	jacket
not	RB	not
just	RB	just
in	IN	in
the	DT	the
streets	NNS	street
of	IN	of
France	NP	France
,	,	,
but	CC	but
all	DT	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
and	CC	and
yet	RB	yet
we	PP	we
continue	VBP	continue
to	TO	to
see	VB	see
examples	NNS	example
of	IN	of
businesses	NNS	business
and	CC	and
other	JJ	other
leaders	NNS	leader
fueling	VBG	fuel
that	DT	that
anger	NN	anger
.	SENT	.
BF	NP	BF
:	:	:
Do	VBP	do
you	PP	you
think	VBP	think
the	DT	the
pitchforks	NNS	pitchfork
are	VBP	be
coming	VBG	come
?	SENT	?
HT	NP	HT
:	:	:
I	PP	I
definitely	RB	definitely
think	VBP	think
this	DT	this
is	VBZ	be
not	RB	not
sustainable	JJ	sustainable
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
why	WRB	why
it	PP	it
