Let	VB	let
me	PP	me
talk	VB	talk
about	IN	about
India	NP	India
through	IN	through
the	DT	the
evolution	NN	evolution
of	IN	of
ideas	NNS	idea
.	SENT	.
Now	RB	now
I	PP	I
believe	VBP	believe
this	DT	this
is	VBZ	be
an	DT	an
interesting	JJ	interesting
way	NN	way
of	IN	of
looking	VBG	look
at	IN	at
it	PP	it
because	IN	because
in	IN	in
every	DT	every
society	NN	society
,	,	,
especially	RB	especially
an	DT	an
open	JJ	open
democratic	JJ	democratic
society	NN	society
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
only	RB	only
when	WRB	when
ideas	NNS	idea
take	VBP	take
root	NN	root
that	IN	that
things	NNS	thing
change	VBP	change
.	SENT	.
Slowly	RB	slowly
ideas	NNS	idea
lead	VB	lead
to	TO	to
ideology	NN	ideology
,	,	,
lead	VBP	lead
to	TO	to
policies	NNS	policy
that	WDT	that
lead	VBP	lead
to	TO	to
actions	NNS	action
.	SENT	.
In	IN	in
1930	CD	@card@
this	DT	this
country	NN	country
went	VBD	go
through	IN	through
a	DT	a
Great	NP	Great
Depression	NP	Depression
,	,	,
which	WDT	which
led	VBN	lead
to	TO	to
all	PDT	all
the	DT	the
ideas	NNS	idea
of	IN	of
the	DT	the
state	NN	state
and	CC	and
social	JJ	social
security	NN	security
,	,	,
and	CC	and
all	PDT	all
the	DT	the
other	JJ	other
things	NNS	thing
that	WDT	that
happened	VBD	happen
in	IN	in
Roosevelt	NP	Roosevelt
'	POS	'
s	NN	S
time	NN	time
.	SENT	.
In	IN	in
the	DT	the
1980s	NNS	1980s
we	PP	we
had	VBD	have
the	DT	the
Reagan	NP	Reagan
revolution	NN	revolution
,	,	,
which	WDT	which
lead	VBP	lead
to	TO	to
deregulation	NN	deregulation
.	SENT	.
And	CC	and
today	NN	today
,	,	,
after	IN	after
the	DT	the
global	JJ	global
economic	JJ	economic
crisis	NN	crisis
,	,	,
there	EX	there
was	VBD	be
a	DT	a
whole	JJ	whole
new	JJ	new
set	NN	set
of	IN	of
rules	NNS	rule
about	RB	about
how	WRB	how
the	DT	the
state	NN	state
should	MD	should
intervene	VB	intervene
.	SENT	.
So	IN	so
ideas	NNS	idea
change	VBP	change
states	NNS	state
.	SENT	.
And	CC	and
I	PP	I
looked	VBD	look
at	IN	at
India	NP	India
and	CC	and
said	VBD	say
,	,	,
really	RB	really
there	EX	there
are	VBP	be
four	CD	four
kinds	NNS	kind
of	IN	of
ideas	NNS	idea
which	WDT	which
really	RB	really
make	VBP	make
an	DT	an
impact	NN	impact
on	IN	on
India	NP	India
.	SENT	.
The	DT	the
first	JJ	first
,	,	,
to	TO	to
