Alright	RB	alright
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
how	WRB	how
I	PP	I
got	VBD	get
my	PP$	my
superpowers	NNS	superpower
through	IN	through
fatherhood	NN	fatherhood
.	SENT	.
I	PP	I
was	VBD	be
working	VBG	work
a	DT	a
job	NN	job
I	PP	I
hated	VBD	hate
,	,	,
OK	UH	OK
?	SENT	?
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
anyone	NN	anyone
here	RB	here
ever	RB	ever
worked	VBD	work
a	DT	a
job	NN	job
they	PP	they
hated	VBD	hate
.	SENT	.
Has	VBZ	have
anyone	NN	anyone
here	RB	here
ever	RB	ever
worked	VBD	work
a	DT	a
job	NN	job
they	PP	they
hated	VBD	hate
?	SENT	?
OK	UH	OK
,	,	,
good	JJ	good
,	,	,
because	IN	because
I	PP	I
'	POS	'
m	NN	m
not	RB	not
alone	RB	alone
and	CC	and
I	PP	I
have	VBP	have
something	NN	something
to	TO	to
confess	VB	confess
;	:	;
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
you	PP	you
guys	VBZ	guy
to	TO	to
judge	VB	judge
me	PP	me
.	SENT	.
This	DT	this
feels	VBZ	feel
like	IN	like
a	DT	a
safe	JJ	safe
space	NN	space
,	,	,
is	VBZ	be
it	PP	it
a	DT	a
safe	JJ	safe
space	NN	space
?	SENT	?
Audience	NN	audience
:	:	:
Yes	UH	yes
.	SENT	.
Glen	NP	Glen
Henry	NP	Henry
:	:	:
OK	UH	OK
,	,	,
I	PP	I
was	VBD	be
working	VBG	work
the	DT	the
job	NN	job
I	PP	I
hated	VBD	hate
,	,	,
my	PP$	my
manager	NN	manager
and	CC	and
I	PP	I
were	VBD	be
not	RB	not
getting	VBG	get
along	RP	along
.	SENT	.
I	PP	I
was	VBD	be
sitting	VBG	sit
in	IN	in
my	PP$	my
car	NN	car
,	,	,
looking	VBG	look
in	IN	in
the	DT	the
rearview	NN	<unknown>
mirror	NN	mirror
,	,	,
trying	VBG	try
to	TO	to
figure	VB	figure
out	IN	out
which	WDT	which
friend	NN	friend
I	PP	I
could	MD	could
call	VB	call
to	TO	to
call	VB	call
in	IN	in
a	DT	a
bomb	NN	bomb
threat	NN	threat
,	,	,
so	IN	so
I	PP	I
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
go	VB	go
back	RB	back
in	IN	in
the	DT	the
building	NN	building
.	SENT	.
OK	UH	OK
,	,	,
this	DT	this
was	VBD	be
having	VBG	have
a	DT	a
lot	NN	lot
of	IN	of
issues	NNS	issue
for	IN	for
me	PP	me
,	,	,
I	PP	I
was	VBD	be
having	VBG	have
a	DT	a
lot	NN	lot
of	IN	of
issues	NNS	issue
at	IN	at
my	PP$	my
job	NN	job
and	CC	and
I	PP	I
'	POS	'
d	NN	d
come	VB	come
home	RB	home
every	DT	every
day	NN	day
from	IN	from
work	NN	work
and	CC	and
my	PP$	my
wife	NN	wife
would	MD	would
ask	VB	ask
me	PP	me
the	DT	the
same	JJ	same
question	NN	question
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
hate	VBP	hate
your	PP$	your
job	NN	job
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
worst	JJS	bad
question	NN	question
anyone	NN	anyone
could	MD	could
ask	VB	ask
you	PP	you
.	SENT	.
She	NN	she
'	POS	'
d	NN	d
say	VBP	say
,	,	,
"	''	"
Hey	NP	Hey
babe	NN	babe
,	,	,
how	WRB	how
was	VBD	be
your	PP$	your
day	NN	day
?	SENT	?
"	``	"
And	CC	and
I	PP	I
'	POS	'
d	NN	d
say	VBP	say
,	,	,
"	``	"
Why	WRB	why
you	PP	you
bringing	VBG	bring
up	RP	up
old	JJ	old
stuff	NN	stuff
?	SENT	?
"	``	"
I	PP	I
just	RB	just
left	VBD	leave
it	PP	it
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
think	VB	think
about	IN	about
that	DT	that
place	NN	place
again	RB	again
.	SENT	.
See	VB	see
,	,	,
we	PP	we
were	VBD	be
spending	VBG	spend
about	RB	about
40	CD	@card@
percent	NN	percent
of	IN	of
my	PP$	my
income	NN	income
on	IN	on
childcare	NP	childcare
.	SENT	.
We	PP	we
had	VBD	have
one	CD	one
child	NN	child
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
pregnant	JJ	pregnant
with	IN	with
our	PP$	our
second	JJ	second
child	NN	child
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
fix	VB	fix
this	DT	this
whole	JJ	whole
thing	NN	thing
of	IN	of
this	DT	this
money	NN	money
situation	NN	situation
,	,	,
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
Hey	NP	Hey
,	,	,
babe	NN	babe
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
great	JJ	great
idea	NN	idea
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
'	POS	'
s	NN	S
up	RB	up
?	SENT	?
"	''	"
She	PP	she
said	VBD	say
,	,	,
