John	NP	John
Hockenberry	NP	Hockenberry
:	:	:
It	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
be	VB	be
here	RB	here
with	IN	with
you	PP	you
,	,	,
Tom	NP	Tom
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
start	VB	start
with	IN	with
a	DT	a
question	NN	question
that	WDT	that
has	VBZ	have
just	RB	just
been	VBN	be
consuming	VBG	consume
me	PP	me
since	IN	since
I	PP	I
first	RB	first
became	VBD	become
familiar	JJ	familiar
with	IN	with
your	PP$	your
work	NN	work
.	SENT	.
In	IN	in
you	PP	you
work	VBP	work
there	EX	there
'	''	'
s	NNS	<unknown>
always	RB	always
this	DT	this
kind	NN	kind
of	IN	of
hybrid	JJ	hybrid
quality	NN	quality
of	IN	of
a	DT	a
natural	JJ	natural
force	NN	force
in	IN	in
some	DT	some
sort	NN	sort
of	IN	of
interplay	NN	interplay
with	IN	with
creative	JJ	creative
force	NN	force
.	SENT	.
Are	VBP	be
they	PP	they
ever	RB	ever
in	IN	in
equilibrium	NN	equilibrium
in	IN	in
the	DT	the
way	NN	way
that	IN	that
you	PP	you
see	VBP	see
your	PP$	your
work	NN	work
?	SENT	?
Tom	NP	Tom
Shannon	NP	Shannon
:	:	:
Yeah	RB	yeah
,	,	,
the	DT	the
subject	JJ	subject
matter	NN	matter
that	IN	that
I	NP	I
'	POS	'
m	NN	m
looking	VBG	look
for	IN	for
,	,	,
it	PP	it
'	POS	'
s	NN	S
usually	RB	usually
to	TO	to
solve	VB	solve
a	DT	a
question	NN	question
.	SENT	.
I	PP	I
had	VBD	have
the	DT	the
question	NN	question
popped	VBN	pop
into	IN	into
my	PP$	my
head	NN	head
:	:	:
What	WP	what
does	VBZ	do
the	DT	the
cone	NN	cone
that	WDT	that
connects	VBZ	connect
the	DT	the
sun	NN	sun
and	CC	and
the	DT	the
Earth	NP	Earth
look	NN	look
like	IN	like
if	IN	if
you	PP	you
could	MD	could
connect	VB	connect
the	DT	the
two	CD	two
