Wow	NN	wow
,	,	,
this	DT	this
is	VBZ	be
bright	JJ	bright
.	SENT	.
It	PP	it
must	MD	must
use	VB	use
a	DT	a
lot	NN	lot
of	IN	of
power	NN	power
.	SENT	.
Well	RB	well
,	,	,
flying	VBG	fly
you	PP	you
all	RB	all
in	IN	in
here	RB	here
must	MD	must
have	VB	have
cost	VBN	cost
a	DT	a
bit	NN	bit
of	IN	of
energy	NN	energy
too	RB	too
.	SENT	.
So	IN	so
the	DT	the
whole	JJ	whole
planet	NN	planet
needs	VBZ	need
a	DT	a
lot	NN	lot
of	IN	of
energy	NN	energy
,	,	,
and	CC	and
so	RB	so
far	RB	far
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
running	VBG	run
mostly	RB	mostly
on	IN	on
fossil	JJ	fossil
fuel	NN	fuel
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
burning	VBG	burn
gas	NN	gas
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
a	DT	a
good	JJ	good
run	NN	run
.	SENT	.
It	PP	it
got	VBD	get
us	PP	us
to	TO	to
where	WRB	where
we	PP	we
are	VBP	be
,	,	,
but	CC	but
we	PP	we
have	VBP	have
to	TO	to
stop	VB	stop
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
do	VBP	do
that	IN	that
anymore	RB	anymore
.	SENT	.
So	RB	so
we	PP	we
are	VBP	be
trying	VBG	try
different	JJ	different
types	NNS	type
of	IN	of
energy	NN	energy
now	RB	now
,	,	,
alternative	JJ	alternative
energy	NN	energy
,	,	,
but	CC	but
it	PP	it
proved	VBD	prove
quite	RB	quite
difficult	JJ	difficult
to	TO	to
find	VB	find
something	NN	something
that	RB	that
'	POS	'
s	NN	S
as	IN	as
convenient	JJ	convenient
and	CC	and
as	IN	as
cost-	NN	<unknown>
effective	JJ	effective
as	IN	as
oil	NN	oil
,	,	,
gas	NN	gas
and	CC	and
coal	NN	coal
.	SENT	.
My	PP$	my
personal	JJ	personal
favorite	NN	favorite
is	VBZ	be
nuclear	JJ	nuclear
energy	NN	energy
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
very	JJ	very
energy-dense	NN	<unknown>
,	,	,
it	PP	it
produces	VBZ	produce
solid	JJ	solid
,	,	,
reliable	JJ	reliable
power	NN	power
,	,	,
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
make	VB	make
any	DT	any
CO2	NP	<unknown>
.	SENT	.
Now	RB	now
we	PP	we
know	VBP	know
of	IN	of
two	CD	two
ways	NNS	way
of	IN	of
making	VBG	make
