Today	NP	Today
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
work	NN	work
.	SENT	.
And	CC	and
the	DT	the
question	NN	question
I	PP	I
want	VBP	want
to	TO	to
ask	VB	ask
and	CC	and
answer	NN	answer
is	VBZ	be
this	DT	this
:	:	:
"	``	"
Why	WRB	why
do	VBP	do
we	PP	we
work	VB	work
?	SENT	?
"	``	"
Why	WRB	why
do	VBP	do
we	PP	we
drag	VB	drag
ourselves	PP	ourselves
out	RP	out
of	IN	of
bed	NN	bed
every	DT	every
morning	NN	morning
instead	RB	instead
of	IN	of
living	VBG	live
our	PP$	our
lives	NNS	life
just	RB	just
filled	VBN	fill
with	IN	with
bouncing	VBG	bounce
from	IN	from
one	CD	one
TED-like	JJ	<unknown>
adventure	NN	adventure
to	TO	to
another	DT	another
?	SENT	?
You	PP	you
may	MD	may
be	VB	be
asking	VBG	ask
yourselves	PP	yourselves
that	DT	that
very	JJ	very
question	NN	question
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
know	VBP	know
of	IN	of
course	NN	course
,	,	,
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
a	DT	a
living	NN	living
,	,	,
but	CC	but
nobody	NN	nobody
in	IN	in
this	DT	this
room	NN	room
thinks	VBZ	think
that	IN	that
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
answer	NN	answer
to	TO	to
the	DT	the
question	NN	question
,	,	,
"	``	"
Why	WRB	why
do	VBP	do
we	PP	we
work	VB	work
?	SENT	?
"	''	"
For	IN	for
folks	NNS	folk
in	IN	in
this	DT	this
room	NN	room
,	,	,
the	DT	the
work	NN	work
we	PP	we
do	VBP	do
is	VBZ	be
challenging	VBG	challenge
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
engaging	JJ	engaging
,	,	,
it	PP	it
'	POS	'
s	NN	S
stimulating	VBG	stimulate
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
meaningful	JJ	meaningful
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
'	POS	'
re	NN	re
lucky	JJ	lucky
,	,	,
it	PP	it
might	MD	might
even	RB	even
be	VB	be
important	JJ	important
.	SENT	.
So	RB	so
,	,	,
we	PP	we
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
work	NN	work
if	IN	if
we	PP	we
didn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
paid	VBN	pay
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
why	WRB	why
we	PP	we
do	VBP	do
what	WP	what
we	PP	we
do	VBP	do
.	SENT	.
And	CC	and
in	IN	in
general	JJ	general
,	,	,
I	PP	I
think	VBP	think
we	PP	we
think	VBP	think
that	IN	that
material	NN	material
rewards	NNS	reward
are	VBP	be
a	DT	a
pretty	RB	pretty
bad	JJ	bad
reason	NN	reason
for	IN	for
doing	VBG	do
the	DT	the
work	NN	work
that	IN	that
we	PP	we
do	VBP	do
.	SENT	.
When	WRB	when
we	PP	we
say	VBP	say
of	IN	of
somebody	NN	somebody
that	IN	that
he	PP	he
'	POS	'
s	NN	S
"	``	"
in	IN	in
it	PP	it
for	IN	for
the	DT	the
money	NN	money
,	,	,
"	``	"
we	PP	we
are	VBP	be
not	RB	not
just	RB	just
being	VBG	be
descriptive	JJ	descriptive
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
totally	RB	totally
obvious	JJ	obvious
,	,	,
but	CC	but
the	DT	the
very	JJ	very
obviousness	NN	obviousness
of	IN	of
it	PP	it
