Lindsay	NP	Lindsay
Levin	NP	Levin
:	:	:
Great	JJ	great
to	TO	to
be	VB	be
here	RB	here
with	IN	with
you	PP	you
.	SENT	.
And	CC	and
you	PP	you
started	VBD	start
your	PP$	your
career	NN	career
at	IN	at
Nestlé	NP	<unknown>
in	IN	in
a	DT	a
beverage	NN	beverage
factory	NN	factory
in	IN	in
Suffolk	NP	Suffolk
,	,	,
Virginia	NP	Virginia
,	,	,
I	PP	I
believe	VBP	believe
,	,	,
way	RB	way
back	RB	back
when	WRB	when
.	SENT	.
And	CC	and
today	NN	today
you	PP	you
run	VBP	run
the	DT	the
largest	JJS	large
business	NN	business
division	NN	division
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
largest	JJS	large
food	NN	food
company	NN	company
.	SENT	.
Give	VB	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
that	DT	that
means	NNS	mean
.	SENT	.
Steve	NP	Steve
Presley	NP	Presley
:	:	:
Yeah	RB	yeah
,	,	,
obviously	RB	obviously
,	,	,
as	IN	as
you	PP	you
said	VBD	say
,	,	,
Nestlé	NP	<unknown>
is	VBZ	be
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
largest	JJS	large
food	NN	food
company	NN	company
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
food	NN	food
and	CC	and
beverage	NN	beverage
companies	NNS	company
in	IN	in
North	NP	North
America	NP	America
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
bet	VB	bet
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
room	NN	room
have	VB	have
a	DT	a
Nestlé	JJ	<unknown>
product	NN	product
in	IN	in
your	PP$	your
house	NN	house
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
actually	RB	actually
in	IN	in
95	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
households	NNS	household
in	IN	in
the	DT	the
US	NP	US
with	IN	with
one	CD	one
of	IN	of
our	PP$	our
brands	NNS	brand
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
our	PP$	our
brands	NNS	brand
,	,	,
most	JJS	most
people	NNS	people
know	VBP	know
us	PP	us
through	IN	through
our	PP$	our
brands	NNS	brand
DiGiorno	NP	<unknown>
,	,	,
Stouffer	NP	Stouffer
'	POS	'
s	NN	S
,	,	,
Hot	JJ	hot
Pockets	NNS	pocket
,	,	,
Starbucks	NNS	Starbuck
at	IN	at
home	NN	home
,	,	,
Coffee-mate	NN	<unknown>
or	CC	or
any	DT	any
of	IN	of
our	PP$	our
Purina	NP	Purina
petcare	NN	<unknown>
products	NNS	product
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
have	VBP	have
a	DT	a
really	RB	really
broad	JJ	broad
,	,	,
vast	JJ	vast
portfolio	NN	portfolio
of	IN	of
products	NNS	product
.	SENT	.
And	CC	and
as	IN	as
we	PP	we
work	VBP	work
across	IN	across
that	DT	that
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
bring	VBP	bring
that	IN	that
to	TO	to
life	NN	life
?	SENT	?
And	CC	and
we	PP	we
bring	VBP	bring
it	PP	it
to	TO	to
life	NN	life
with	IN	with
30	CD	@card@
,	,	,
000	CD	@card@
amazing	JJ	amazing
team	NN	team
members	NNS	member
around	IN	around
the	DT	the
country	NN	country
that	WDT	that
are	VBP	be
spread	VBN	spread
around	IN	around
119	CD	@card@
facilities	NNS	facility
in	IN	in
28	CD	@card@
different	JJ	different
states	NNS	state
that	WDT	that
really	RB	really
are	VBP	be
focused	VBN	focus
on	IN	on
trying	VBG	try
to	TO	to
make	VB	make
our	PP$	our
business	NN	business
and	CC	and
the	DT	the
