Dre	NP	Dre
Urhahn	NP	Urhahn
:	:	:
This	DT	this
theater	NN	theater
is	VBZ	be
built	VBN	build
on	IN	on
Copacabana	NP	Copacabana
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
most	RBS	most
famous	JJ	famous
beach	NN	beach
in	IN	in
the	DT	the
world	NN	world
,	,	,
but	CC	but
25	CD	@card@
kilometers	NNS	kilometer
away	RB	away
from	IN	from
here	RB	here
in	IN	in
the	DT	the
North	NP	North
Zone	NP	Zone
of	IN	of
Rio	NP	Rio
lies	VBZ	lie
a	DT	a
community	NN	community
called	VBN	call
Vila	NP	Vila
Cruzeiro	NN	cruzeiro
,	,	,
and	CC	and
roughly	RB	roughly
60	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
live	VBP	live
there	RB	there
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
people	NNS	people
here	RB	here
in	IN	in
Rio	NP	Rio
mostly	RB	mostly
know	VBP	know
Vila	NP	Vila
Cruzeiro	NN	cruzeiro
from	IN	from
the	DT	the
news	NN	news
,	,	,
and	CC	and
unfortunately	RB	unfortunately
,	,	,
news	NN	news
from	IN	from
Vila	NP	Vila
Cruzeiro	NN	cruzeiro
often	RB	often
is	VBZ	be
not	RB	not
good	JJ	good
news	NN	news
.	SENT	.
But	CC	but
Vila	NP	Vila
Cruzeiro	NN	cruzeiro
is	VBZ	be
also	RB	also
the	DT	the
place	NN	place
where	WRB	where
our	PP$	our
story	NN	story
begins	VBZ	begin
.	SENT	.
Jeroen	NP	Jeroen
Koolhaas	NP	<unknown>
:	:	:
Ten	CD	ten
years	NNS	year
ago	RB	ago
,	,	,
we	PP	we
first	RB	first
came	VBD	come
to	TO	to
Rio	NP	Rio
to	TO	to
shoot	VB	shoot
a	DT	a
documentary	NN	documentary
about	IN	about
life	NN	life
in	IN	in
the	DT	the
favelas	NNS	<unknown>
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
learned	VBD	learn
that	IN	that
favelas	NNS	<unknown>
are	VBP	be
informal	JJ	informal
communities	NNS	community
.	SENT	.
They	PP	they
emerged	VBD	emerge
over	IN	over
the	DT	the
years	NNS	year
when	WRB	when
immigrants	NNS	immigrant
from	IN	from
the	DT	the
countryside	NN	countryside
came	VBD	come
