Welcome	JJ	welcome
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
to	TO	to
the	DT	the
Alchemy	NN	alchemy
of	IN	of
Pop	NP	Pop
.	SENT	.
What	WP	what
else	RB	else
in	IN	in
the	DT	the
world	NN	world
can	MD	can
change	VB	change
your	PP$	your
mind	NN	mind
,	,	,
can	MD	can
change	VB	change
your	PP$	your
mood	NN	mood
,	,	,
can	MD	can
change	VB	change
your	PP$	your
entire	JJ	entire
energetic	JJ	energetic
frequency	NN	frequency
in	IN	in
3	CD	@card@
.	SENT	.
5	CD	@card@
minutes	NNS	minute
?	SENT	?
For	IN	for
me	PP	me
,	,	,
that	WDT	that
'	POS	'
s	JJ	<unknown>
pop	NN	pop
music	NN	music
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
,	,	,
that	WDT	that
'	POS	'
s	NN	S
alchemy	NN	alchemy
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Kesha	NP	Kesha
,	,	,
and	CC	and
I	PP	I
am	VBP	be
a	DT	a
pop	JJ	pop
star	NN	star
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
singer	NN	singer
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
songwriter	NN	songwriter
,	,	,
I	PP	I
'	POS	'
m	NN	m
an	DT	an
activist	NN	activist
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
a	DT	a
surprisingly	RB	surprisingly
good	JJ	good
scuba	NN	scuba
diver	NN	diver
,	,	,
amongst	IN	amongst
many	JJ	many
other	JJ	other
things	NNS	thing
.	SENT	.
But	CC	but
the	DT	the
thing	NN	thing
that	WDT	that
drives	VBZ	drive
me	PP	me
the	DT	the
most	JJS	most
in	IN	in
this	DT	this
life	NN	life
is	VBZ	be
to	TO	to
write	VB	write
pop	NN	pop
songs	NNS	song
.	SENT	.
And	CC	and
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
why	WRB	why
.	SENT	.
For	IN	for
me	PP	me
,	,	,
songwriting	VBG	songwrite
and	CC	and
scuba	NN	scuba
diving	NN	diving
are	VBP	be
actually	RB	actually
very	RB	very
similar	JJ	similar
.	SENT	.
When	WRB	when
I	PP	I
go	VBP	go
diving	NN	diving
,	,	,
I	PP	I
like	VBP	like
to	TO	to
go	VB	go
deep	JJ	deep
.	SENT	.
I	PP	I
just	RB	just
jump	VBP	jump
right	RB	right
in	IN	in
that	DT	that
bitch	NN	bitch
.	SENT	.
