Francesca	NP	Francesca
Fedeli	NP	<unknown>
:	:	:
Ciao	NN	<unknown>
.	SENT	.
So	IN	so
he	PP	he
'	POS	'
s	JJ	<unknown>
Mario	NP	Mario
.	SENT	.
He	PP	he
'	''	'
s	VBG	<unknown>
our	PP$	our
son	NN	son
.	SENT	.
He	PP	he
was	VBD	be
born	VBN	bear
two	CD	two
and	CC	and
a	DT	a
half	NN	half
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
I	PP	I
had	VBD	have
a	DT	a
pretty	RB	pretty
tough	JJ	tough
pregnancy	NN	pregnancy
because	IN	because
I	PP	I
had	VBD	have
to	TO	to
stay	VB	stay
still	RB	still
in	IN	in
a	DT	a
bed	NN	bed
for	IN	for
,	,	,
like	VB	like
,	,	,
eight	CD	eight
months	NNS	month
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
end	NN	end
everything	NN	everything
seemed	VBD	seem
to	TO	to
be	VB	be
under	IN	under
control	NN	control
.	SENT	.
So	RB	so
he	PP	he
got	VBD	get
the	DT	the
right	JJ	right
weight	NN	weight
at	IN	at
birth	NN	birth
.	SENT	.
He	PP	he
got	VBD	get
the	DT	the
right	JJ	right
Apgar	NP	Apgar
index	NN	index
.	SENT	.
So	RB	so
we	PP	we
were	VBD	be
pretty	RB	pretty
reassured	VBN	reassure
by	IN	by
this	DT	this
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
end	NN	end
,	,	,
10	CD	@card@
days	NNS	day
later	RBR	later
after	IN	after
he	PP	he
was	VBD	be
born	VBN	bear
,	,	,
we	PP	we
discovered	VBD	discover
that	IN	that
he	PP	he
had	VBD	have
a	DT	a
stroke	NN	stroke
.	SENT	.
As	IN	as
you	PP	you
might	MD	might
know	VB	know
,	,	,
a	DT	a
stroke	NN	stroke
is	VBZ	be
a	DT	a
brain	NN	brain
injury	NN	injury
.	SENT	.
A	DT	a
perinatal	JJ	perinatal
stroke	NN	stroke
could	MD	could
be	VB	be
something	NN	something
that	WDT	that
can	MD	can
happen	VB	happen
during	IN	during
the	DT	the
nine	CD	nine
months	NNS	month
of	IN	of
pregnancy	NN	pregnancy
or	CC	or
just	RB	just
suddenly	RB	suddenly
after	IN	after
the	DT	the
birth	NN	birth
,	,	,
and	CC	and
in	IN	in
his	PP$	his
case	NN	case
,	,	,
as	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
the	DT	the
right	JJ	right
part	NN	part
of	IN	of
his	PP$	his
brain	NN	brain
has	VBZ	have
gone	VBN	go
.	SENT	.
So	IN	so
the	DT	the
effect	NN	effect
that	IN	that
this	DT	this
stroke	NN	stroke
could	MD	could
have	VB	have
on	IN	on
Mario	NP	Mario
'	POS	'
s	NN	S
body	NN	body
could	MD	could
be	VB	be
the	DT	the
fact	NN	fact
that	IN	that
he	PP	he
couldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
able	JJ	able
to	TO	to
control	VB	control
the	DT	the
left	VBN	leave
side	NN	side
of	IN	of
his	PP$	his
body	NN	body
.	SENT	.
Just	RB	just
imagine	VB	imagine
,	,	,
if	IN	if
you	PP	you
have	VBP	have
a	DT	a
computer	NN	computer
and	CC	and
a	DT	a
printer	NN	printer
and	CC	and
you	PP	you
want	VBP	want
to	TO	to
transmit	VB	transmit
,	,	,
to	TO	to
input	NN	input
to	TO	to
print	VB	print
out	RP	out
a	DT	a
document	NN	document
,	,	,
but	CC	but
the	DT	the
printer	NN	printer
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
right	JJ	right
drives	NNS	drive
,	,	,
so	RB	so
the	DT	the
same	JJ	same
is	VBZ	be
for	IN	for
Mario	NP	Mario
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
like	VBP	like
,	,	,
he	PP	he
would	MD	would
like	VB	like
to	TO	to
move	VB	move
his	PP$	his
left	VBN	leave
side	NN	side
of	IN	of
his	PP$	his
body	NN	body
,	,	,
but	CC	but
he	PP	he
'	POS	'
s	NN	S
not	RB	not
able	JJ	able
to	TO	to
transmit	VB	transmit
the	DT	the
right	JJ	right
input	NN	input
to	TO	to
move	VB	move
his	PP$	his
left	VBN	leave
arm	NN	arm
and	CC	and
left	JJ	left
leg	NN	leg
.	SENT	.
So	IN	so
life	NN	life
had	VBD	have
to	TO	to
change	VB	change
.	SENT	.
We	PP	we
needed	VBD	need
to	TO	to
change	VB	change
our	PP$	our
schedule	NN	schedule
.	SENT	.
We	PP	we
needed	VBD	need
to	TO	to
change	VB	change
the	DT	the
impact	NN	impact
that	IN	that
this	DT	this
birth	NN	birth
had	VBD	have
on	IN	on
our	PP$	our
life	NN	life
.	SENT	.
Roberto	NP	Roberto
D	NP	D
'	POS	'
Angelo	NP	Angelo
:	:	:
As	IN	as
you	PP	you
may	MD	may
imagine	VB	imagine
,	,	,
unfortunately	RB	unfortunately
,	,	,
we	PP	we
were	VBD	be
not	RB	not
ready	JJ	ready
.	SENT	.
Nobody	NN	nobody
taught	VBD	teach
us	PP	us
how	WRB	how
to	TO	to
deal	VB	deal
with	IN	with
such	JJ	such
kinds	NNS	kind
of	IN	of
disabilities	NNS	disability
,	,	,
and	CC	and
as	IN	as
many	JJ	many
questions	NNS	question
as	IN	as
possible	JJ	possible
started	VBD	start
to	TO	to
come	VB	come
to	TO	to
our	PP$	our
minds	NNS	mind
.	SENT	.
And	CC	and
that	WDT	that
has	VBZ	have
been	VBN	be
really	RB	really
a	DT	a
tough	JJ	tough
time	NN	time
.	SENT	.
Questions	NNS	question
,	,	,
some	DT	some
basics	NNS	basic
,	,	,
like	VB	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
why	WRB	why
did	VBD	do
this	DT	this
happen	VB	happen
to	TO	to
us	PP	us
?	SENT	?
And	CC	and
what	WP	what
went	VBD	go
wrong	JJ	wrong
?	SENT	?
Some	DT	some
more	RBR	more
tough	JJ	tough
,	,	,
like	JJ	like
,	,	,
really	RB	really
,	,	,
what	WP	what
will	MD	will
be	VB	be
the	DT	the
impact	NN	impact
on	IN	on
Mario	NP	Mario
'	POS	'
s	NN	S
life	NN	life
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
at	IN	at
the	DT	the
end	NN	end
,	,	,
will	MD	will
he	PP	he
be	VB	be
able	JJ	able
to	TO	to
work	VB	work
?	SENT	?
Will	MD	will
he	PP	he
be	VB	be
able	JJ	able
to	TO	to
be	VB	be
normal	JJ	normal
?	SENT	?
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
as	IN	as
a	DT	a
parent	NN	parent
,	,	,
especially	RB	especially
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
why	WRB	why
is	VBZ	be
he	PP	he
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
better	JJR	good
than	IN	than
us	PP	us
?	SENT	?
And	CC	and
this	DT	this
,	,	,
indeed	RB	indeed
,	,	,
really	RB	really
is	VBZ	be
tough	JJ	tough
to	TO	to
say	VB	say
,	,	,
but	CC	but
a	DT	a
few	JJ	few
months	NNS	month
later	RBR	later
,	,	,
we	PP	we
realized	VBD	realize
that	IN	that
we	PP	we
were	VBD	be
really	RB	really
feeling	VBG	feel
like	IN	like
a	DT	a
failure	NN	failure
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
only	JJ	only
real	JJ	real
product	NN	product
of	IN	of
our	PP$	our
life	NN	life
,	,	,
at	IN	at
the	DT	the
end	NN	end
,	,	,
was	VBD	be
a	DT	a
failure	NN	failure
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
it	PP	it
was	VBD	be
not	RB	not
a	DT	a
failure	NN	failure
for	IN	for
ourselves	PP	ourselves
in	IN	in
itself	PP	itself
,	,	,
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
failure	NN	failure
that	WDT	that
will	MD	will
impact	VB	impact
his	PP$	his
full	JJ	full
life	NN	life
.	SENT	.
Honestly	RB	honestly
,	,	,
we	PP	we
went	VBD	go
down	RP	down
.	SENT	.
I	PP	I
mean	VBP	mean
we	PP	we
went	VBD	go
really	RB	really
down	RB	down
,	,	,
but	CC	but
at	IN	at
the	DT	the
end	NN	end
,	,	,
we	PP	we
started	VBD	start
to	TO	to
look	VB	look
at	IN	at
him	PP	him
,	,	,
and	CC	and
we	PP	we
said	VBD	say
,	,	,
we	PP	we
have	VBP	have
to	TO	to
react	VB	react
.	SENT	.
So	RB	so
immediately	RB	immediately
,	,	,
as	IN	as
Francesca	NP	Francesca
said	VBD	say
,	,	,
we	PP	we
changed	VBD	change
