Imagine	VB	imagine
this	DT	this
.	SENT	.
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
applying	VBG	apply
to	TO	to
a	DT	a
ton	NN	ton
of	IN	of
jobs	NNS	job
for	IN	for
months	NNS	month
,	,	,
and	CC	and
now	RB	now
finally	RB	finally
,	,	,
you	PP	you
'	POS	'
re	NN	re
getting	VBG	get
not	RB	not
just	RB	just
one	CD	one
,	,	,
but	CC	but
two	CD	two
job	NN	job
offers	NNS	offer
.	SENT	.
Congratulations	NNS	congratulation
!	SENT	!
It	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
celebrate	VB	celebrate
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
great	JJ	great
news	NN	news
,	,	,
right	RB	right
?	SENT	?
But	CC	but
after	IN	after
the	DT	the
celebration	NN	celebration
comes	VBZ	come
the	DT	the
time	NN	time
where	WRB	where
you	PP	you
can	MD	can
ask	VB	ask
yourself	PP	yourself
,	,	,
how	WRB	how
is	VBZ	be
it	PP	it
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
choose	VB	choose
between	IN	between
those	DT	those
two	CD	two
job	NN	job
offers	NNS	offer
?	SENT	?
Some	DT	some
people	NNS	people
are	VBP	be
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
"	``	"
Just	RB	just
go	VB	go
for	IN	for
the	DT	the
salary	NN	salary
,	,	,
The	DT	the
higher	JJR	high
the	DT	the
better	JJR	good
,	,	,
"	''	"
right	NN	right
?	SENT	?
Others	NNS	other
are	VBP	be
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
"	``	"
No	UH	no
,	,	,
go	VB	go
for	IN	for
the	DT	the
title	NN	title
,	,	,
the	DT	the
position	NN	position
.	SENT	.
The	DT	the
higher	JJR	high
the	DT	the
better	RBR	well
.	SENT	.
"	''	"
And	CC	and
others	NNS	other
are	VBP	be
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
"	``	"
Look	VB	look
for	IN	for
the	DT	the
mission	NN	mission
,	,	,
the	DT	the
kind	NN	kind
of	IN	of
projects	NNS	project
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
working	VBG	work
on	IN	on
.	SENT	.
The	DT	the
more	JJR	more
experience	NN	experience
,	,	,
the	DT	the
better	RBR	well
.	SENT	.
"	''	"
Well	RB	well
,	,	,
I	PP	I
suggest	VBP	suggest
that	IN	that
you	PP	you
look	VBP	look
at	IN	at
a	DT	a
completely	RB	completely
different	JJ	different
criteria	NNS	criterion
.	SENT	.
I	PP	I
suggest	VBP	suggest
that	IN	that
you	PP	you
choose	VBP	choose
your	PP$	your
next	JJ	next
job	NN	job
based	VBN	base
on	IN	on
the	DT	the
company	NN	company
culture	NN	culture
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Marion	NP	Marion
.	SENT	.
Or	CC	or
better	RBR	well
said	VBD	say
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Marion	NP	Marion
,	,	,
and	CC	and
I	PP	I
am	VBP	be
passionate	JJ	passionate
about	IN	about
corporate	JJ	corporate
cultures	NNS	culture
.	SENT	.
When	WRB	when
I	PP	I
say	VBP	say
my	PP$	my
name	NN	name
,	,	,
people	NNS	people
can	MD	can
guess	VB	guess
that	IN	that
I	PP	I
am	VBP	be
French	JJ	French
,	,	,
and	CC	and
they	PP	they
usually	RB	usually
want	VBP	want
to	TO	to
guess	VB	guess
further	RBR	further
.	SENT	.
Where	WRB	where
in	RB	in
France	NP	France
is	VBZ	be
she	PP	she
from	IN	from
?	SENT	?
And	CC	and
there	EX	there
is	VBZ	be
a	DT	a
city	NN	city
that	WDT	that
comes	VBZ	come
to	TO	to
their	PP$	their
mind	NN	mind
,	,	,
the	DT	the
capital	NN	capital
of	IN	of
love	NN	love
,	,	,
Paris	NP	Paris
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
to	TO	to
disappoint	VB	disappoint
you	PP	you
.	SENT	.
As	RB	as
beautiful	JJ	beautiful
as	IN	as
Paris	NP	Paris
is	VBZ	be
,	,	,
I	PP	I
come	VBP	come
from	IN	from
an	DT	an
even	RB	even
better	JJR	good
place	NN	place
,	,	,
even	RB	even
more	RBR	more
beautiful	JJ	beautiful
.	SENT	.
So	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
come	VBN	come
from	IN	from
Paris	NP	Paris
,	,	,
I	PP	I
come	VBP	come
from	IN	from
Tahiti	NP	Tahiti
.	SENT	.
And	CC	and
Tahiti	NP	Tahiti
is	VBZ	be
this	DT	this
island	NN	island
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
nowhere	NN	nowhere
in	IN	in
the	DT	the
Pacific	NP	Pacific
Ocean	NP	Ocean
.	SENT	.
And	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
dream	VBP	dream
of	IN	of
retiring	VBG	retire
there	RB	there
with	IN	with
a	DT	a
coconut	NN	coconut
in	IN	in
their	PP$	their
hand	NN	hand
by	IN	by
the	DT	the
beach	NN	beach
.	SENT	.
Well	RB	well
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
wait	NN	wait
for	IN	for
retirement	NN	retirement
.	SENT	.
I	PP	I
actually	RB	actually
spent	VBD	spend
my	PP$	my
childhood	NN	childhood
there	RB	there
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
I	PP	I
was	VBD	be
,	,	,
five	CD	five
,	,	,
six	CD	six
years	NNS	year
old	JJ	old
,	,	,
living	VBG	live
the	DT	the
best	JJS	good
time	NN	time
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
And	CC	and
Tahiti	NP	Tahiti
is	VBZ	be
great	JJ	great
,	,	,
yes	UH	yes
,	,	,
for	IN	for
the	DT	the
beaches	NNS	beach
and	CC	and
the	DT	the
coconuts	NNS	coconut
.	SENT	.
But	CC	but
the	DT	the
best	JJS	good
thing	NN	thing
in	IN	in
Tahiti	NP	Tahiti
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
diversity	NN	diversity
.	SENT	.
Because	RB	because
,	,	,
you	PP	you
see	VBP	see
,	,	,
Tahiti	NP	Tahiti
is	VBZ	be
an	DT	an
island	NN	island
with	IN	with
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
melting-pot	NN	melting-pot
culture	NN	culture
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
about	IN	about
these	DT	these
two	CD	two
job	NN	job
positions	NNS	position
that	IN	that
you	PP	you
have	VBP	have
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
about	IN	about
which	WDT	which
one	CD	one
should	MD	should
you	PP	you
choose	VB	choose
,	,	,
and	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
corporate	JJ	corporate
culture	NN	culture
,	,	,
you	PP	you
might	MD	might
find	VB	find
it	PP	it
hard	JJ	hard
to	TO	to
know	VB	know
from	IN	from
the	DT	the
outside	IN	outside
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
like	JJ	like
to	TO	to
work	VB	work
in	IN	in
that	DT	that
company	NN	company
.	SENT	.
Most	JJS	most
people	NNS	people
think	VBP	think
that	IN	that
it	PP	it
is	VBZ	be
impossible	JJ	impossible
to	TO	to
know	VB	know
beforehand	RB	beforehand
what	WP	what
a	DT	a
company	NN	company
culture	NN	culture
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
like	JJ	like
before	IN	before
you	PP	you
work	VBP	work
there	RB	there
,	,	,
right	RB	right
?	SENT	?
How	WRB	how
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
know	VB	know
before	IN	before
you	PP	you
go	VBP	go
to	TO	to
Japan	NP	Japan
what	WP	what
the	DT	the
culture	NN	culture
in	IN	in
Japan	NP	Japan
is	VBZ	be
really	RB	really
like	JJ	like
?	SENT	?
Well	RB	well
,	,	,
I	PP	I
disagree	VBP	disagree
with	IN	with
this	DT	this
,	,	,
and	CC	and
in	IN	in
my	PP$	my
sharing	NN	sharing
today	NN	today
,	,	,
I	PP	I
would	MD	would
like	VB	like
to	TO	to
share	VB	share
with	IN	with
you	PP	you
two	CD	two
different	JJ	different
ways	NNS	way
for	IN	for
you	PP	you
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
a	DT	a
company	NN	company
culture	NN	culture
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
like	IN	like
beforehand	RB	beforehand
,	,	,
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
avoid	VB	avoid
you	PP	you
signing	VBG	sign
a	DT	a
contract	NN	contract
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
regret	VB	regret
down	RP	down
the	DT	the
line	NN	line
.	SENT	.
I	PP	I
think	VBP	think
most	JJS	most
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
follow	VB	follow
those	DT	those
two	CD	two
tips	NNS	tip
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
share	NN	share
,	,	,
and	CC	and
the	DT	the
numbers	NNS	number
show	VBP	show
.	SENT	.
Gallup	NP	Gallup
has	VBZ	have
run	VBN	run
a	DT	a
study	NN	study
on	IN	on
the	DT	the
state	NN	state
of	IN	of
workplace	NN	workplace
worldwide	RB	worldwide
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
pulled	VBD	pull
the	DT	the
numbers	NNS	number
for	IN	for
East	NP	East
Asia	NP	Asia
,	,	,
and	CC	and
the	DT	the
numbers	NNS	number
are	VBP	be
dreadful	JJ	dreadful
.	SENT	.
Overall	RB	overall
,	,	,
there	EX	there
is	VBZ	be
only	RB	only
17	CD	@card@
percent	NN	percent
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
engaged	VBN	engage
in	IN	in
their	PP$	their
work	NN	work
.	SENT	.
That	DT	that
means	VBZ	mean
about	RB	about
80	CD	@card@
are	VBP	be
not	RB	not
.	SENT	.
When	WRB	when
people	NNS	people
are	VBP	be
not	RB	not
engaged	VBN	engage
,	,	,
then	RB	then
they	PP	they
tend	VBP	tend
to	TO	to
want	VB	want
to	TO	to
leave	VB	leave
and	CC	and
go	VB	go
somewhere	RB	somewhere
else	RB	else
.	SENT	.
More	JJR	more
than	IN	than
half	NN	half
of	IN	of
them	PP	them
want	VBP	want
to	TO	to
quit	VB	quit
.	SENT	.
And	CC	and
if	IN	if
they	PP	they
can	MD	can
'	''	'
t	NN	t
quit	VBD	quit
,	,	,
because	IN	because
maybe	RB	maybe
the	DT	the
marketplace	NN	marketplace
is	VBZ	be
not	RB	not
that	DT	that
great	JJ	great
,	,	,
what	WP	what
happens	VBZ	happen
is	VBZ	be
people	NNS	people
are	VBP	be
starting	VBG	start
to	TO	to
be	VB	be
quiet	JJ	quiet
quitting	VBG	quit
.	SENT	.
That	DT	that
means	VBZ	mean
they	PP	they
'	''	'
re	IN	re
coming	VBG	come
to	TO	to
work	VB	work
,	,	,
but	CC	but
really	RB	really
they	PP	they
do	VBP	do
the	DT	the
bare	JJ	bare
minimum	NN	minimum
not	RB	not
to	TO	to
get	VB	get
fired	VBN	fire
.	SENT	.
For	IN	for
employees	NNS	employee
and	CC	and
employers	NNS	employer
,	,	,
this	DT	this
is	VBZ	be
dreadful	JJ	dreadful
numbers	NNS	number
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
take	VB	take
those	DT	those
numbers	NNS	number
and	CC	and
bring	VB	bring
them	PP	them
to	TO	to
reality	NN	reality
.	SENT	.
What	WP	what
does	VBZ	do
that	DT	that
look	NN	look
like	IN	like
,	,	,
really	RB	really
?	SENT	?
And	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
you	PP	you
an	DT	an
example	NN	example
of	IN	of
a	DT	a
coaching	NN	coaching
client	NN	client
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
who	WP	who
is	VBZ	be
a	DT	a
lawyer	NN	lawyer
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
call	VBP	call
her	PP$	her
Junita	NP	Junita
.	SENT	.
And	CC	and
Junita	NP	Junita
is	VBZ	be
an	DT	an
awesome	JJ	awesome
lawyer	NN	lawyer
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
really	RB	really
great	JJ	great
at	IN	at
what	WP	what
she	PP	she
does	VBZ	do
,	,	,
but	CC	but
she	PP	she
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
end	VB	end
up	RP	up
in	IN	in
a	DT	a
law	NN	law
firm	NN	firm
,	,	,
she	PP	she
found	VBD	find
it	PP	it
a	DT	a
bit	NN	bit
boring	NN	boring
.	SENT	.
She	PP	she
wanted	VBD	want
something	NN	something
more	RBR	more
exciting	JJ	exciting
and	CC	and
fancy	JJ	fancy
.	SENT	.
So	RB	so
she	PP	she
ended	VBD	end
up	RP	up
in	IN	in
a	DT	a
startup	NN	startup
.	SENT	.
But	CC	but
after	IN	after
a	DT	a
few	JJ	few
months	NNS	month
,	,	,
she	PP	she
just	RB	just
realized	VBD	realize
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
right	JJ	right
fit	NN	fit
here	RB	here
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
Junita	NP	Junita
really	RB	really
,	,	,
really	RB	really
likes	VBZ	like
things	NNS	thing
done	VBN	do
well	RB	well
.	SENT	.
She	PP	she
likes	VBZ	like
to	TO	to
take	VB	take
her	PP$	her
time	NN	time
and	CC	and
double	JJ	double
check	NN	check
.	SENT	.
But	CC	but
she	PP	she
'	POS	'
s	NNS	<unknown>
surrounded	VBN	surround
with	IN	with
entrepreneurs	NNS	entrepreneur
and	CC	and
startuppers	NNS	startupper
,	,	,
people	NNS	people
who	WP	who
want	VBP	want
to	TO	to
go	VB	go
fast	RB	fast
and	CC	and
break	VB	break
things	NNS	thing
.	SENT	.
So	RB	so
there	EX	there
were	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
tensions	NNS	tension
between	IN	between
her	PP	her
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
team	NN	team
.	SENT	.
So	RB	so
very	RB	very
quickly	RB	quickly
,	,	,
after	IN	after
a	DT	a
few	JJ	few
months	NNS	month
,	,	,
she	PP	she
just	RB	just
burnt	VBD	burn
out	RP	out
.	SENT	.
Professionally	RB	professionally
,	,	,
she	PP	she
was	VBD	be
questioning	VBG	question
herself	PP	herself
.	SENT	.
As	IN	as
a	DT	a
lawyer	NN	lawyer
,	,	,
she	PP	she
was	VBD	be
questioning	VBG	question
herself	PP	herself
.	SENT	.
As	IN	as
an	DT	an
individual	NN	individual
,	,	,
she	PP	she
was	VBD	be
questioning	VBG	question
herself	PP	herself
.	SENT	.
"	``	"
Why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
I	PP	I
can	MD	can
'	''	'
t	NN	t
fit	NN	fit
in	IN	in
here	RB	here
?	SENT	?
"	``	"
So	RB	so
we	PP	we
worked	VBD	work
together	RB	together
,	,	,
and	CC	and
she	PP	she
moved	VBD	move
to	TO	to
a	DT	a
more	RBR	more
traditional	JJ	traditional
workplace	NN	workplace
culture	NN	culture
,	,	,
where	WRB	where
she	PP	she
saw	VBD	see
that	IN	that
people	NNS	people
were	VBD	be
behaving	VBG	behave
a	DT	a
little	JJ	little
bit	NN	bit
more	JJR	more
like	IN	like
her	PP	her
and	CC	and
shared	VBD	share
her	PP$	her
work	NN	work
ethics	NNS	ethic
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
she	PP	she
really	RB	really
thrived	VBD	thrive
in	IN	in
her	PP$	her
job	NN	job
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
wish	VBP	wish
to	TO	to
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
you	PP	you
,	,	,
is	VBZ	be
to	TO	to
experience	VB	experience
a	DT	a
place	NN	place
,	,	,
an	DT	an
environment	NN	environment
that	WDT	that
brings	VBZ	bring
not	RB	not
the	DT	the
worst	JJS	bad
,	,	,
but	CC	but
the	DT	the
best	JJS	good
out	RB	out
of	IN	of
you	PP	you
.	SENT	.
So	RB	so
basically	RB	basically
