Hi	UH	hi
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Marwa	NP	Marwa
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
an	DT	an
architect	NN	architect
.	SENT	.
I	PP	I
was	VBD	be
born	VBN	bear
and	CC	and
raised	VBN	raise
in	IN	in
Homs	NP	Homs
,	,	,
a	DT	a
city	NN	city
in	IN	in
the	DT	the
central	JJ	central
western	JJ	western
part	NN	part
of	IN	of
Syria	NP	Syria
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
lived	VBD	live
here	RB	here
.	SENT	.
After	IN	after
six	CD	six
years	NNS	year
of	IN	of
war	NN	war
,	,	,
Homs	NP	Homs
is	VBZ	be
now	RB	now
a	DT	a
half-destroyed	JJ	<unknown>
city	NN	city
.	SENT	.
My	PP$	my
family	NN	family
and	CC	and
I	PP	I
were	VBD	be
lucky	JJ	lucky
;	:	;
our	PP$	our
place	NN	place
is	VBZ	be
still	RB	still
standing	VBG	stand
.	SENT	.
Although	IN	although
for	IN	for
two	CD	two
years	NNS	year
,	,	,
we	PP	we
were	VBD	be
like	IN	like
prisoners	NNS	prisoner
at	IN	at
home	NN	home
.	SENT	.
Outside	IN	outside
there	EX	there
were	VBD	be
demonstrations	NNS	demonstration
and	CC	and
battles	NNS	battle
and	CC	and
bombings	NNS	bombing
and	CC	and
snipers	NNS	sniper
.	SENT	.
My	PP$	my
husband	NN	husband
and	CC	and
I	PP	I
used	VBD	use
to	TO	to
run	VB	run
an	DT	an
architecture	NN	architecture
studio	NN	studio
in	IN	in
the	DT	the
old	JJ	old
town	NN	town
main	JJ	main
square	NN	square
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
gone	VBN	go
,	,	,
as	RB	as
is	VBZ	be
most	JJS	most
of	IN	of
the	DT	the
old	JJ	old
town	NN	town
itself	PP	itself
.	SENT	.
Half	NN	half
of	IN	of
the	DT	the
city	NN	city
'	POS	'
s	JJ	<unknown>
other	JJ	other
neighborhoods	NNS	neighborhood
are	VBP	be
now	RB	now
rubble	NN	rubble
.	SENT	.
Since	IN	since
the	DT	the
ceasefire	NN	ceasefire
in	IN	in
late	JJ	late
2015	CD	@card@
,	,	,
large	JJ	large
parts	NNS	part
of	IN	of
Homs	NP	Homs
have	VBP	have
been	VBN	be
more	JJR	more
or	CC	or
less	RBR	less
quiet	JJ	quiet
.	SENT	.
The	DT	the
economy	NN	economy
is	VBZ	be
completely	RB	completely
broken	VBN	break
,	,	,
and	CC	and
people	NNS	people
are	VBP	be
still	RB	still
fighting	VBG	fight
.	SENT	.
The	DT	the
merchants	NNS	merchant
who	WP	who
had	VBD	have
stalls	NNS	stall
in	IN	in
the	DT	the
old	JJ	old
city	NN	city
market	NN	market
now	RB	now
trade	VB	trade
out	RP	out
of	IN	of
sheds	NNS	shed
on	IN	on
the	DT	the
streets	NNS	street
.	SENT	.
Under	IN	under
our	PP$	our
apartment	NN	apartment
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
carpenter	NN	carpenter
,	,	,
sweetshops	NNS	sweetshop
,	,	,
a	DT	a
butcher	NN	butcher
,	,	,
a	DT	a
printing	NN	printing
house	NN	house
,	,	,
workshops	NNS	workshop
,	,	,
among	IN	among
many	JJ	many
more	JJR	more
.	SENT	.
I	PP	I
have	VBP	have
started	VBN	start
teaching	VBG	teach
part-time	JJ	part-time
,	,	,
and	CC	and
